model,station,comparison,metric,median_delta,ci_low,ci_high,p_two_sided,p_fdr
EC-Earth3,500003,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.006306189599231404,-0.046348388536029066,0.07236200014851014,0.8035982008995503,0.9839977970198575
EC-Earth3,500004,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-8.736387535956112,-14.426133386507294,-3.1616464485724545,0.001999000499750125,0.009995002498750625
EC-Earth3,500004,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.046236320028062106,-0.10742164860748052,0.05789529057012231,0.31384307846076964,0.508934721828275
EC-Earth3,500005,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-2.386259643537329,-5.919916615520787,0.6408152791436783,0.12393803098450774,0.23238380809595202
EC-Earth3,500005,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.004463076962795132,-0.04747712538925647,0.05838198703418422,0.8595702148925537,0.9866764730842126
EC-Earth3,500006,QDM_P_monthly minus QDM_NP_monthly,mRMSE,0.24272984008234744,-1.3914450169183845,2.0956946152389873,0.767616191904048,0.8373994820771432
EC-Earth3,500006,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.016480990296962483,-0.0452163414839418,0.004958129793760168,0.16391804097951024,0.339140774440366
EC-Earth3,500007,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-4.705655469819003,-10.571764781488278,-0.16807976086247417,0.041979010494752625,0.1199400299850075
EC-Earth3,500007,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.07223627212255518,-0.13594207851377355,0.03375290404457775,0.15592203898050974,0.3341186549582352
EC-Earth3,500008,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-0.9668268066795918,-2.952856784925452,0.8866676177411247,0.335832083958021,0.5258909007034944
EC-Earth3,500008,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.008678652339982884,-0.008791442049188313,0.02958710632835396,0.3818090954522739,0.5727136431784108
EC-Earth3,500009,QDM_P_monthly minus QDM_NP_monthly,mRMSE,0.3203095338011117,-0.5476922816938143,1.373082195302471,0.4947526236881559,0.6676661669165417
EC-Earth3,500009,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.011794836839633671,-0.02273196131556736,0.0011287380021332448,0.07296351824087956,0.2751565393773701
EC-Earth3,500201,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-9.829317984913942,-18.632641122790293,-3.1547309126092515,0.0009995002498750624,0.006663334999167083
EC-Earth3,500201,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.005927811354526247,-0.059757689832447364,0.11081078267659387,0.8715642178910544,0.9866764730842126
EC-Earth3,500202,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-7.379533146812825,-21.66517772723471,11.064645311462666,0.3938030984507746,0.5711429999286071
EC-Earth3,500202,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.092568397157618,-0.279318691008073,0.13679090281216244,0.37381309345327335,0.5727136431784108
EC-Earth3,500301,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-6.4040341774124485,-13.829329745181374,0.06518188402935789,0.053973013493253376,0.13493253373313344
EC-Earth3,500301,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.08728126298044542,-0.13149916557253977,0.04263141706743944,0.11594202898550725,0.31620553359683795
MIROC6,500001,QDM_P_monthly minus QDM_NP_monthly,mRMSE,1.05903629372731,-3.2296957394554213,5.855705090377798,0.6326836581709145,0.805847076461769
MIROC6,500001,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.014464262499333858,-0.04590341521188423,0.008675392932847732,0.20689655172413793,0.40044493882091214
MIROC6,500002,QDM_P_monthly minus QDM_NP_monthly,mRMSE,6.908731288503773,-3.0516420850163923,21.181527132845183,0.6446776611694153,0.805847076461769
MIROC6,500002,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.03971593758771402,-0.155039770182051,0.0248451085442871,0.6646676661669165,0.889120657062773
MIROC6,500003,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-7.7130357429330445,-14.280487756585547,2.2148023196105777,0.10194902548725637,0.20389805097451275
MIROC6,500003,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.04441256384290254,-0.033437824937794035,0.1279820189066903,0.2318840579710145,0.43478260869565216
MIROC6,500004,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-13.03695061621854,-21.360773783800198,-5.589635069604511,0.001999000499750125,0.009995002498750625
MIROC6,500004,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.049913764928628646,-0.035813474859802887,0.20166158521619243,0.30884557721139433,0.508934721828275
MIROC6,500005,QDM_P_monthly minus QDM_NP_monthly,mRMSE,2.1121471891152694,-0.9845873727905282,5.23321456803687,0.17791104447776113,0.31396066672546086
MIROC6,500005,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.008252928437174234,-0.06202338759601437,0.03367268069643875,0.7406296851574213,0.9257871064467768
MIROC6,500006,QDM_P_monthly minus QDM_NP_monthly,mRMSE,2.108424491411917,0.3237117141197647,3.9957962123300605,0.017991004497751123,0.059970014992503734
MIROC6,500006,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.011538111396488193,-0.03509791622784901,0.010569380820401719,0.34182908545727136,0.5397301349325337
MIROC6,500007,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-9.334309819229446,-21.236609493121552,-1.000225799230156,0.0079960019990005,0.029985007496251874
MIROC6,500007,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.04162125962809898,-0.011341818017688032,0.20235257557390002,0.272863568215892,0.4677661169415292
MIROC6,500008,QDM_P_monthly minus QDM_NP_monthly,mRMSE,0.4421249781491383,-2.834704772229427,3.4253592815146905,0.7916041979010495,0.8481473548939816
MIROC6,500008,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.007465159972280699,-0.0347559038613,0.031501349881223925,0.6816591704147926,0.889120657062773
MIROC6,500009,QDM_P_monthly minus QDM_NP_monthly,mRMSE,4.199670500449297,2.2447140752596604,6.254197915023298,0.0009995002498750624,0.006663334999167083
MIROC6,500009,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.03700088761138487,-0.06496000694649154,-0.015305560572803556,0.0009995002498750624,0.014992503748125937
MIROC6,500201,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-12.873298705055191,-31.505051207673787,0.021053840140216024,0.051974012993503245,0.13493253373313344
MIROC6,500201,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.06021249950373825,0.005377979754531792,0.3286828500454264,0.012993503248375811,0.08662335498917208
MIROC6,500202,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-25.22549872593693,-57.69929736525601,-3.815600124688963,0.0029985007496251873,0.012850717498393659
MIROC6,500202,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.05256596917080553,-0.09061450562752622,0.5990777888596882,0.7286356821589205,0.9257871064467768
MIROC6,500301,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-17.966584930190564,-47.162665916166134,0.006088172978408538,0.051974012993503245,0.13493253373313344
MIROC6,500301,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.01978887260589829,-0.07025259095384201,0.4283992993397832,0.847576211894053,0.9866764730842126
