model,station,method,metric,raw,corrected,delta_corrected_minus_raw,ci_low,ci_high,p_two_sided,n_bootstrap,p_fdr,point_improved,ci_improved,ci_worsened,fdr_significant
ACCESS-ESM1-5,500003,QDM_P_monthly,mRMSE,117.76242087873466,143.42110379351845,25.658682914783796,13.527705285178945,37.437757886660805,0.0009995002498750624,2000,0.0035276479407355147,False,False,True,True
ACCESS-ESM1-5,500003,QDM_P_monthly,mKGE,0.2252309919280634,0.03914098586832804,-0.18609000605973536,-0.3991933482245756,0.029860977916212096,0.10394802598700649,2000,0.22274576997215675,False,False,False,False
ACCESS-ESM1-5,500004,QDM_NP_annual,mRMSE,151.74981826054074,159.08934682469203,7.339528564151294,-2.1575556937613496,16.068363994552993,0.12893553223388307,2000,0.14596475347232046,False,False,False,False
ACCESS-ESM1-5,500004,QDM_NP_annual,mKGE,-0.08134220338351583,-0.10582388479762139,-0.02448168141410556,-0.1309399928822042,0.09792669080354159,0.6866566716641679,2000,0.762951857404631,False,False,False,False
ACCESS-ESM1-5,500004,QDM_NP_monthly,mRMSE,151.74981826054074,125.90591484682784,-25.843903413712894,-42.456498289577816,-9.319959424805376,0.001999000499750125,2000,0.0070552958814710295,True,True,False,True
ACCESS-ESM1-5,500004,QDM_NP_monthly,mKGE,-0.08134220338351583,0.21069257901952254,0.2920347824030384,0.14099637350775723,0.46178746284034744,0.0009995002498750624,2000,0.005451819544773068,True,True,False,True
ACCESS-ESM1-5,500004,QDM_P_annual,mRMSE,151.74981826054074,186.89292342962435,35.14310516908361,22.950349224764253,48.15688312247703,0.0009995002498750624,2000,0.0015376926921154808,False,False,True,True
ACCESS-ESM1-5,500004,QDM_P_annual,mKGE,-0.08134220338351583,-0.42362437053838997,-0.34228216715487414,-0.5093108886321964,-0.194327964996934,0.0009995002498750624,2000,0.0028557149996430355,False,False,True,True
ACCESS-ESM1-5,500004,QDM_P_monthly,mRMSE,151.74981826054074,108.81958411408263,-42.930234146458105,-64.26139161557654,-23.976736880202314,0.0009995002498750624,2000,0.0035276479407355147,True,True,False,True
ACCESS-ESM1-5,500004,QDM_P_monthly,mKGE,-0.08134220338351583,0.3006349918483674,0.3819771952318832,0.18563260862226255,0.6273274760984033,0.0009995002498750624,2000,0.004613078076346442,True,True,False,True
