variant,model,station,metric,delta,ci_low,ci_high,p_value,improvement_direction,q_value,fdr_reject
sens_monthly,CESM2,500004,mNSE,-0.42604703347842027,-1.3942683991673936,0.39983328437990306,0.344,higher,0.54,False
sens_monthly,CESM2,500005,mRMSE,-21.656636254525335,-37.447005229394534,-6.5287725756125905,0.0,lower,0.0,True
sens_monthly,CESM2,500005,mPBIAS_abs,-9.994586348603342,-19.761278068133134,-0.07161934585032485,0.049,lower,0.12423,False
sens_monthly,CESM2,500005,mNSE,0.6274103234012355,0.1865070419078576,1.2427742402029345,0.0,higher,0.0,True
sens_monthly,CESM2,500006,mRMSE,-23.03560409941661,-39.80814019053969,-8.031217206183799,0.003,lower,0.01286,True
sens_monthly,CESM2,500006,mPBIAS_abs,-7.179291238291101,-16.836703083306723,4.976161625677616,0.21,lower,0.37235,False
sens_monthly,CESM2,500006,mNSE,0.7123335341203335,0.23488872636709024,1.3655705151437858,0.003,higher,0.01286,True
sens_monthly,CESM2,500007,mRMSE,-20.651375288041574,-30.540400344531612,-10.625116030909611,0.0,lower,0.0,True
sens_monthly,CESM2,500007,mPBIAS_abs,-12.269506598998994,-21.665280674462384,0.9299602022959381,0.055,lower,0.135,False
sens_monthly,CESM2,500007,mNSE,0.8118684321283131,0.42915947682347677,1.2578546381438935,0.0,higher,0.0,True
sens_monthly,CESM2,500008,mRMSE,-25.466337093745672,-35.27999254606279,-14.605964866194146,0.0,lower,0.0,True
sens_monthly,CESM2,500008,mPBIAS_abs,1.2985456666092234,-17.752982137544777,16.195130620559716,0.853,lower,0.86258,False
sens_monthly,CESM2,500008,mNSE,0.7818870405235973,0.42398269414564754,1.1601895208598159,0.0,higher,0.0,True
sens_monthly,CESM2,500009,mRMSE,-39.47144480978691,-55.33159819861189,-25.175439483652465,0.0,lower,0.0,True
sens_monthly,CESM2,500009,mPBIAS_abs,-10.784823291526838,-20.532670299517196,1.6545361410767174,0.079,lower,0.18,False
sens_monthly,CESM2,500009,mNSE,1.3201041833773657,0.7633839992376696,1.9621674359254264,0.0,higher,0.0,True
sens_monthly,CESM2,500201,mRMSE,18.455638658182508,-1.4287441177092821,39.128443590622226,0.087,lower,0.18424,False
sens_monthly,CESM2,500201,mPBIAS_abs,-8.582916606834656,-23.5537532434348,17.474641071899985,0.328,lower,0.52714,False
sens_monthly,CESM2,500201,mNSE,-0.6357472943988992,-1.5692049122897833,0.04546426691826491,0.087,higher,0.18424,False
sens_monthly,CESM2,500202,mRMSE,14.645420171990333,-2.5095031172895834,31.628023309340815,0.095,lower,0.19655,False
sens_monthly,CESM2,500202,mPBIAS_abs,-3.3851783636082318,-14.634242996761557,11.887873624324529,0.554,lower,0.68748,False
sens_monthly,CESM2,500202,mNSE,-0.48918734873160163,-1.3410388299092433,0.07339774917906122,0.095,higher,0.19655,False
sens_monthly,CESM2,500301,mRMSE,14.35249379981039,4.948410425059973,24.743092607209054,0.001,lower,0.00462,True
sens_monthly,CESM2,500301,mPBIAS_abs,6.90576920457534,-5.709450651788493,17.016476153005407,0.318,lower,0.51568,False
sens_monthly,CESM2,500301,mNSE,-0.41973201820473616,-0.9267756746939375,-0.1098933296582614,0.001,higher,0.00462,True
sens_monthly,CanESM5,500001,mRMSE,24.08990084999832,-7.549711090680762,72.13684138380792,0.456,lower,0.6463,False
sens_monthly,CanESM5,500001,mPBIAS_abs,10.171863919736337,-6.0055180205853995,22.946562855063195,0.189,lower,0.3402,False
sens_monthly,CanESM5,500001,mNSE,-0.7317347907535768,-2.5701231490742966,0.1790859190197732,0.456,higher,0.6463,False
