Date,YEAR,MONTH,DAY,Precipitation_mm,QC_Flag,Source_Row
1961-12-05,1961,12,5,0.0,OK,340
1961-12-06,1961,12,6,0.0,OK,341
1961-12-07,1961,12,7,0.0,OK,342
1961-12-08,1961,12,8,0.0,OK,343
1961-12-09,1961,12,9,0.0,OK,344
1961-12-10,1961,12,10,0.0,OK,345
1961-12-11,1961,12,11,0.0,OK,346
1961-12-12,1961,12,12,0.0,OK,347
1961-12-13,1961,12,13,0.0,OK,348
1961-12-14,1961,12,14,0.0,OK,349
1961-12-15,1961,12,15,0.0,OK,350
1961-12-16,1961,12,16,0.0,OK,351
1961-12-17,1961,12,17,0.0,OK,352
1961-12-18,1961,12,18,0.0,OK,353
1961-12-19,1961,12,19,0.0,OK,354
1961-12-20,1961,12,20,0.0,OK,355
1961-12-21,1961,12,21,0.0,OK,356
1961-12-22,1961,12,22,0.0,OK,357
1961-12-23,1961,12,23,75.0,OK,358
1961-12-24,1961,12,24,0.0,OK,359
1961-12-25,1961,12,25,0.0,OK,360
1961-12-26,1961,12,26,0.1,OK,361
1961-12-27,1961,12,27,0.0,OK,362
1961-12-28,1961,12,28,0.0,OK,363
1961-12-29,1961,12,29,0.0,OK,364
1961-12-30,1961,12,30,0.0,OK,365
1961-12-31,1961,12,31,0.0,OK,366
1962-01-01,1962,1,1,0.0,OK,367
1962-01-02,1962,1,2,0.0,OK,368
1962-01-03,1962,1,3,0.0,OK,369
1962-01-04,1962,1,4,0.0,OK,370
1962-01-05,1962,1,5,0.0,OK,371
1962-01-06,1962,1,6,0.0,OK,372
1962-01-07,1962,1,7,0.0,OK,373
1962-01-08,1962,1,8,0.0,OK,374
1962-01-09,1962,1,9,0.0,OK,375
1962-01-10,1962,1,10,0.0,OK,376
1962-01-11,1962,1,11,0.0,OK,377
1962-01-12,1962,1,12,0.0,OK,378
1962-01-13,1962,1,13,0.0,OK,379
1962-01-14,1962,1,14,0.0,OK,380
1962-01-15,1962,1,15,0.0,OK,381
1962-01-16,1962,1,16,0.0,OK,382
1962-01-17,1962,1,17,0.0,OK,383
1962-01-18,1962,1,18,0.0,OK,384
1962-01-19,1962,1,19,0.0,OK,385
1962-01-20,1962,1,20,0.0,OK,386
1962-01-21,1962,1,21,0.0,OK,387
1962-01-22,1962,1,22,0.0,OK,388
1962-01-23,1962,1,23,0.0,OK,389
1962-01-24,1962,1,24,0.0,OK,390
1962-01-25,1962,1,25,0.0,OK,391
1962-01-26,1962,1,26,0.0,OK,392
1962-01-27,1962,1,27,0.0,OK,393
1962-01-28,1962,1,28,0.0,OK,394
1962-01-29,1962,1,29,0.0,OK,395
1962-01-30,1962,1,30,0.0,OK,396
1962-01-31,1962,1,31,0.0,OK,397
1962-02-01,1962,2,1,0.0,OK,398
1962-02-02,1962,2,2,0.0,OK,399
1962-02-03,1962,2,3,0.0,OK,400
1962-02-04,1962,2,4,0.0,OK,401
1962-02-05,1962,2,5,0.0,OK,402
1962-02-06,1962,2,6,0.0,OK,403
1962-02-07,1962,2,7,0.0,OK,404
1962-02-08,1962,2,8,0.0,OK,405
1962-02-09,1962,2,9,0.0,OK,406
1962-02-10,1962,2,10,0.0,OK,407
1962-02-11,1962,2,11,0.0,OK,408
1962-02-12,1962,2,12,0.0,OK,409
1962-02-13,1962,2,13,0.0,OK,410
1962-02-14,1962,2,14,0.0,OK,411
1962-02-15,1962,2,15,0.0,OK,412
1962-02-16,1962,2,16,0.0,OK,413
1962-02-17,1962,2,17,0.0,OK,414
1962-02-18,1962,2,18,0.0,OK,415
1962-02-19,1962,2,19,0.0,OK,416
1962-02-20,1962,2,20,0.0,OK,417
1962-02-21,1962,2,21,0.0,OK,418
1962-02-22,1962,2,22,0.0,OK,419
1962-02-23,1962,2,23,0.0,OK,420
1962-02-24,1962,2,24,0.0,OK,421
1962-02-25,1962,2,25,0.0,OK,422
1962-02-26,1962,2,26,0.0,OK,423
1962-02-27,1962,2,27,0.0,OK,424
1962-02-28,1962,2,28,0.0,OK,425
1962-03-01,1962,3,1,0.0,OK,426
1962-03-02,1962,3,2,7.5,OK,427
1962-03-03,1962,3,3,0.0,OK,428
1962-03-04,1962,3,4,0.0,OK,429
1962-03-05,1962,3,5,0.0,OK,430
1962-03-06,1962,3,6,0.0,OK,431
1962-03-07,1962,3,7,0.0,OK,432
1962-03-08,1962,3,8,0.0,OK,433
1962-03-09,1962,3,9,0.0,OK,434
1962-03-10,1962,3,10,0.0,OK,435
1962-03-11,1962,3,11,0.0,OK,436
1962-03-12,1962,3,12,0.0,OK,437
1962-03-13,1962,3,13,0.0,OK,438
1962-03-14,1962,3,14,0.0,OK,439
1962-03-15,1962,3,15,0.0,OK,440
1962-03-16,1962,3,16,0.0,OK,441
1962-03-17,1962,3,17,0.0,OK,442
1962-03-18,1962,3,18,0.0,OK,443
1962-03-19,1962,3,19,0.0,OK,444
1962-03-20,1962,3,20,0.0,OK,445
1962-03-21,1962,3,21,0.0,OK,446
1962-03-22,1962,3,22,0.0,OK,447
1962-03-23,1962,3,23,0.0,OK,448
1962-03-24,1962,3,24,0.0,OK,449
1962-03-25,1962,3,25,0.0,OK,450
1962-03-26,1962,3,26,0.0,OK,451
1962-03-27,1962,3,27,0.0,OK,452
1962-03-28,1962,3,28,0.0,OK,453
1962-03-29,1962,3,29,0.0,OK,454
1962-03-30,1962,3,30,0.0,OK,455
1962-03-31,1962,3,31,0.0,OK,456
1962-04-01,1962,4,1,0.0,OK,457
1962-04-02,1962,4,2,0.0,OK,458
1962-04-03,1962,4,3,0.0,OK,459
1962-04-04,1962,4,4,28.0,OK,460
1962-04-05,1962,4,5,0.0,OK,461
1962-04-06,1962,4,6,0.0,OK,462
1962-04-07,1962,4,7,0.0,OK,463
1962-04-08,1962,4,8,0.0,OK,464
