method,model,station,family,grouping,group,period,usable,note,fallback_used,applied_grouping,applied_group,wet_threshold_obs_mm,wet_threshold_model_mm,n_obs_wet_cal,n_mod_wet_cal,n_input,n_wet_target,n_delta_clipped_low,n_delta_clipped_high,n_output_capped,output_cap_mm,max_output_mm,obs_dist,obs_aic,obs_ks_d,obs_ks_p,obs_n_params,mod_dist,mod_aic,mod_ks_d,mod_ks_p,mod_n_params
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,09,validation,True,,False,monthly,09,1.0,6.493693333333329,256,256,420,161,0,0,0,,95.0316772018758,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,10,calibration,True,,False,monthly,10,1.0,6.04875,155,155,620,155,0,0,0,,79.3,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,10,validation,True,,False,monthly,10,1.0,6.04875,155,155,434,190,0,0,0,,78.57336417594634,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,11,calibration,True,,False,monthly,11,1.0,4.639615,57,57,600,57,0,0,0,,94.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,11,validation,True,,False,monthly,11,1.0,4.639615,57,57,420,47,0,0,0,,80.28413479180138,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,12,calibration,False,"insufficient wet days obs=9, model=9",True,annual,all,1.0,2.9516096774193543,9,9,620,0,0,0,0,,,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,12,validation,False,"insufficient wet days obs=9, model=9",True,annual,all,1.0,2.9516096774193543,9,9,434,2,0,0,0,,5.2468843386829,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,01,calibration,True,,False,monthly,01,1.0,2.1220322580645146,36,36,620,36,0,0,0,,9.5,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,01,validation,True,,False,monthly,01,1.0,2.1220322580645146,36,36,434,32,0,0,0,,27.69696721894332,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,02,calibration,True,,False,monthly,02,1.0,2.148375221238937,61,61,565,61,0,0,0,,10.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,02,validation,True,,False,monthly,02,1.0,2.148375221238937,61,61,395,42,0,0,0,,8.857897418016261,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,03,calibration,True,,False,monthly,03,1.0,1.5206387096774194,132,132,620,132,0,0,0,,32.3,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,03,validation,True,,False,monthly,03,1.0,1.5206387096774194,132,132,434,113,0,0,0,,46.81285608856089,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,04,calibration,True,,False,monthly,04,1.0,0.9512833333333333,274,274,600,274,0,0,0,,39.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,04,validation,True,,False,monthly,04,1.0,0.9512833333333333,274,274,420,234,0,0,0,,13.27264054796505,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,05,calibration,True,,False,monthly,05,1.0,0.3127193548387097,533,533,620,533,0,0,0,,42.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,05,validation,True,,False,monthly,05,1.0,0.3127193548387097,533,533,434,371,0,0,0,,27.87098895118237,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500005,nonparametric,monthly,06,calibration,True,,False,monthly,06,1.0,0.8140400000000001,536,536,600,536,0,0,0,,24.1,,,,,,,,,,
