source_type,season_type,metric,phase_contrast_absolute,phase_contrast_absolute_ci_low,phase_contrast_absolute_ci_high,phase_contrast_absolute_permutation_p,phase_contrast_absolute_valid_bootstrap,phase_contrast_pct,phase_contrast_pct_ci_low,phase_contrast_pct_ci_high,phase_contrast_pct_permutation_p,phase_contrast_pct_valid_bootstrap,neutral_centered_asymmetry_absolute,neutral_centered_asymmetry_absolute_ci_low,neutral_centered_asymmetry_absolute_ci_high,neutral_centered_asymmetry_absolute_permutation_p,neutral_centered_asymmetry_absolute_valid_bootstrap,neutral_centered_asymmetry_pct,neutral_centered_asymmetry_pct_ci_low,neutral_centered_asymmetry_pct_ci_high,neutral_centered_asymmetry_pct_permutation_p,neutral_centered_asymmetry_pct_valid_bootstrap,resampling_unit,bootstrap_repetitions,permutation_repetitions,true_asymmetry_p_bh_primary
RAW,HOT_DRY,CDD,-7.4,-11.933376623376628,-1.7443939393939358,0.0086,5000,-17.014124164453804,-42.738241830034475,-7.716429295292536,0.0428,5000,-2.8777777777777747,-11.418617424242418,7.925624999999991,0.4034,5000,-6.967405853199725,-36.39805126585759,37.657713682241756,0.6366,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,HOT_DRY,Rx5day,22.08986722222224,9.455279756944448,38.788134374999984,0.0054,5000,53.73468047174252,22.31402922241357,90.36906491094042,0.0006,5000,-23.9935403030303,-38.347586780303025,17.477822777777725,0.0626,5000,-31.375978828307954,-53.072263550524426,46.274489793735775,0.2374,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,HOT_DRY,CWD,6.041666666666667,2.516439393939394,8.666761363636363,0.0004,5000,38.55060640320674,19.369124487300994,59.954041039961645,0.0014,5000,1.3291666666666657,-7.010489718614719,4.06677083333333,0.6114,5000,12.481962481962466,-39.61079044412377,39.30387020832818,0.5456,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,HOT_DRY,R10mm,1.1749999999999998,0.5333333333333334,2.8666666666666667,0.1124,5000,110.78679120551041,27.74895833333338,177.32407617597832,0.0002,5000,-3.1222222222222227,-4.9168055555555545,1.719280303030301,0.0284,5000,-50.34813298360096,-84.67788429025497,97.667786979969,0.2542,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,HOT_DRY,R20mm,0.2875,0.0625,0.9,0.1352,5000,115.99296536796537,37.537960776597146,194.84720719095714,0.0052,5000,0.05984848484848537,-0.7030934343434342,0.8500000000000001,0.8302,5000,-18.31439393939393,-69.02839766912547,158.352000734402,0.7492,5000,management-season climate year,5000,4999,0.9709090909090908
QDM,RAINY,PRCPTOT,361.22100500919345,206.44195964673997,501.8957900765348,0.0002,5000,40.6545356845301,23.63561142851819,60.516331528301535,0.0002,5000,133.89922192776643,-96.47991752917764,363.26035234288827,0.3844,5000,14.934379489249764,-9.475525399866225,45.7003655405464,0.382,5000,management-season climate year,5000,4999,0.9251657142857143
QDM,RAINY,wet_day_frequency_pct,10.867712450592887,4.612108566252593,15.870562182382827,0.0002,5000,23.200612905487887,10.312227051312055,34.134404853704936,0.0002,5000,-1.8931159420289827,-9.90714770962733,6.216920760399021,0.6976,5000,-4.414544629187969,-19.60644115790519,14.161399977644011,0.6636,5000,management-season climate year,5000,4999,0.9251657142857143
QDM,RAINY,Rx1day,18.586820109295417,2.999193630337946,37.54645181629206,0.0364,5000,28.859547174914265,3.661591978779094,60.19907512424402,0.024,5000,31.68132261139589,4.397860028449268,56.90547163846443,0.0598,5000,45.08059309167655,7.261617475790021,105.83579089011182,0.0692,5000,management-season climate year,5000,4999,0.5622857142857143
QDM,RAINY,CDD,-4.583333333333332,-7.666799242424242,-0.32586309523809953,0.0122,5000,-30.634051571882722,-55.75085425188767,-1.5488952266417884,0.0194,5000,1.4371212121212116,-4.479211309523809,7.755303030303018,0.6684,5000,10.722427238820678,-31.870599774448156,60.52069639493478,0.6716,5000,management-season climate year,5000,4999,0.9251657142857143
QDM,RAINY,Rx5day,25.290394610248878,-2.593304590888025,70.84615087926414,0.1776,5000,20.477502601637962,-2.1614599823104776,59.265920981483475,0.1132,5000,102.88583688898349,46.59748356335949,142.4054849433233,0.004,5000,87.12010551806054,38.74064759861364,131.85030689990495,0.0024,5000,management-season climate year,5000,4999,0.1152
QDM,RAINY,CWD,1.8928571428571432,-0.4162283549783539,3.916241883116883,0.1112,5000,11.721964612138024,-2.9381242850116953,26.713047249037757,0.2054,5000,-4.45297619047619,-9.822575757575759,-0.9658400974026016,0.0488,5000,-32.149520546324354,-56.65202779700169,-3.49826376853531,0.0774,5000,management-season climate year,5000,4999,0.5622857142857143
QDM,RAINY,R10mm,11.085714285714285,6.026696428571433,16.441858766233764,0.0002,5000,46.11435174994497,25.352767807601147,64.9891733549938,0.0002,5000,0.5670454545454557,-6.147886904761903,8.53572916666667,0.9044,5000,2.9225552258601537,-20.68318596840057,38.86392050870131,0.882,5000,management-season climate year,5000,4999,0.9709090909090908
QDM,RAINY,R20mm,4.977380952380953,3.0010714285714286,7.279851190476189,0.0004,5000,63.27340744910404,37.693337457924756,95.18057887131312,0.0002,5000,2.3583333333333334,-1.400208333333333,6.7887202380952365,0.3354,5000,23.013141426783477,-11.655426969385319,95.35605401600861,0.3542,5000,management-season climate year,5000,4999,0.9251657142857143
QDM,HOT_DRY,PRCPTOT,116.1676006991501,38.28175367738474,193.515703962956,0.0008,5000,67.76615303189982,18.124013018361058,111.79570770151302,0.0006,5000,103.68330861627949,-35.84750414898751,202.51073021151305,0.1286,5000,53.39501803427161,-10.76306629417495,127.55214862467756,0.0966,5000,management-season climate year,5000,4999,0.5796
QDM,HOT_DRY,wet_day_frequency_pct,7.1760421898543445,3.197513812154698,8.862914364640885,0.0002,5000,50.657113371154466,21.40432239151593,65.40446257577183,0.0002,5000,-0.2975891511803095,-5.171950862213295,3.8398776637726897,0.9026,5000,-2.417006826253388,-33.79237299465242,30.296015098366322,0.89,5000,management-season climate year,5000,4999,0.9709090909090908
QDM,HOT_DRY,Rx1day,12.912706537487558,-0.7955134975356524,31.873547101032237,0.1456,5000,60.99512012814508,0.16037758818513753,117.2708018616105,0.0072,5000,34.81623214284015,-2.005808511161257,61.72501791651055,0.0578,5000,86.99970874039218,6.408043328660185,232.9286457441274,0.057,5000,management-season climate year,5000,4999,0.5622857142857143
QDM,HOT_DRY,CDD,-28.422077922077925,-36.40867694805195,-12.40818993506494,0.0002,5000,-50.78726200386977,-70.4068438339412,-24.79358678441225,0.0002,5000,15.966666666666676,1.8611972402597432,43.137743055555546,0.1216,5000,32.81759392870505,3.4376658700204104,94.52143806416929,0.082,5000,management-season climate year,5000,4999,0.5622857142857143
QDM,HOT_DRY,Rx5day,36.6780006077268,-0.8175881435946524,71.42434696440051,0.0408,5000,85.05448902644565,0.40724354048372474,131.16938865655717,0.002,5000,62.15604622653203,2.470957035941866,116.71386479679148,0.0998,5000,114.57756232727615,13.698998585472483,251.58390950554184,0.0376,5000,management-season climate year,5000,4999,0.5622857142857143
QDM,HOT_DRY,CWD,2.3125,0.6779545454545457,3.2250568181818173,0.0004,5000,42.39162561576355,13.27194180951464,62.13688833355145,0.0002,5000,-0.2999999999999996,-2.1764330808080787,1.827320075757575,0.7828,5000,-3.4234349101109185,-35.32552446396808,39.27445503052268,0.8646,5000,management-season climate year,5000,4999,0.9709090909090908
QDM,HOT_DRY,R10mm,3.753787878787879,1.499810606060607,5.448119588744589,0.0002,5000,76.99592074592076,26.178016434366555,113.4498261628943,0.0002,5000,1.670833333333334,-3.250275974025974,3.9485227272727266,0.3178,5000,32.64802631578948,-43.716564779064775,86.52759740259738,0.2488,5000,management-season climate year,5000,4999,0.9251657142857143
QDM,HOT_DRY,R20mm,0.9318181818181819,0.137471590909091,2.0568181818181817,0.0652,5000,111.84750733137828,0.7879387077975865,177.26717032967025,0.0002,5000,0.7166666666666666,-1.3728535353535347,2.7669534632034627,0.4432,5000,28.328445747800576,-43.76891832889052,181.1696816770185,0.4562,5000,management-season climate year,5000,4999,0.9251657142857143
