source_type,season_type,metric,phase,response_absolute,response_pct,ci_low_absolute,ci_high_absolute,ci_low_pct,ci_high_pct,permutation_p_pct,valid_bootstrap_repetitions,n_groups,n_phase_min,n_phase_median,n_neutral_min,n_neutral_median,resampling_unit,bootstrap_repetitions,permutation_repetitions,permutation_p_bh_primary
QDM,RAINY,R20mm,EL_NINO,-1.6538461538461542,-17.210743801652896,-3.5579166666666655,0.7916666666666665,-32.19556419593123,10.097150112547641,0.226,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.4017777777777778
QDM,RAINY,R20mm,LA_NINA,4.133333333333333,38.22486441385064,1.7422470238095242,6.662604166666664,16.002452412250786,91.01772873090474,0.0164,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.11135999999999999
QDM,HOT_DRY,PRCPTOT,EL_NINO,-25.31264464130558,-14.862028189807013,-90.07319473228907,36.91979982095611,-38.068525378232735,26.36260116285532,0.3598,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.5233454545454546
QDM,HOT_DRY,PRCPTOT,LA_NINA,122.56005758178243,74.11392437461734,23.025232335566173,179.3784841402585,13.94984847302003,107.90301735728758,0.001,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.024
QDM,HOT_DRY,wet_day_frequency_pct,EL_NINO,-3.3287292817679575,-25.47766090900319,-5.742507952452707,-0.9944751381215475,-35.357336956521735,-8.18795329208408,0.013,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.104
QDM,HOT_DRY,wet_day_frequency_pct,LA_NINA,3.4392265193370175,24.120053272450537,0.1350138121546951,5.732044198895028,0.3623991744525784,42.96940104166666,0.0174,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.11135999999999999
QDM,HOT_DRY,Rx1day,EL_NINO,11.45325821925816,40.88354261264103,-12.727036549336525,23.475479056603703,-27.506138609898283,93.8693970548675,0.065,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.20700000000000002
QDM,HOT_DRY,Rx1day,LA_NINA,28.81228557119018,92.1532178747315,3.2734976305311196,39.89311747665023,13.87549639011381,146.59863289425138,0.0028,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.04114285714285715
QDM,HOT_DRY,CDD,EL_NINO,22.916666666666675,45.6496178718401,11.706565656565658,35.80717261904763,20.4823703910911,80.4439279001074,0.0004,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.024
QDM,HOT_DRY,CDD,LA_NINA,-6.2363636363636346,-9.913084331688982,-13.039999999999994,8.1875,-22.311890219219716,16.940858323418052,0.3566,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.5233454545454546
QDM,HOT_DRY,Rx5day,EL_NINO,15.810441449175883,29.910909948921258,-25.98156022718825,40.24616457423635,-30.58243912322765,84.49642082002687,0.1976,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.3776
QDM,HOT_DRY,Rx5day,LA_NINA,65.50134486915168,104.57401628173015,8.462386264126524,80.2126304181106,21.14347834526853,155.74986355192019,0.003,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.04114285714285715
