source_type,season_type,metric,model,grid_signature,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
RAW,RAINY,Rx5day,EC-Earth3,grid_b0bcd3659d8a5c3a,EL_NINO,6,10,68.02825,61.522228000000005,6.506021999999994,10.575075402015665,True
RAW,RAINY,Rx5day,MIROC6,grid_93ab3a1ad3d3fc3b,EL_NINO,12,4,125.42416666666664,96.089,29.335166666666638,30.5291622003212,True
RAW,RAINY,Rx5day,MIROC6,grid_da55f68884e350d6,EL_NINO,12,4,158.68866666666665,110.91325,47.77541666666664,43.07458005843904,True
RAW,RAINY,Rx5day,ACCESS-ESM1-5,grid_21d480dde29ff4ec,LA_NINA,2,13,182.2935,204.38876923076924,,,False
RAW,RAINY,Rx5day,ACCESS-ESM1-5,grid_e450cbe008c0e055,LA_NINA,2,13,209.39349999999996,162.9957692307692,,,False
RAW,RAINY,Rx5day,CESM2,grid_366816579f298e84,LA_NINA,5,4,152.1096,102.98075,49.12885,47.70682870342273,True
RAW,RAINY,Rx5day,CESM2,grid_52ecc812ca873fb0,LA_NINA,5,4,125.05340000000001,104.46275,20.59065000000001,19.71099746081738,True
RAW,RAINY,Rx5day,CESM2,grid_92e164725cf75def,LA_NINA,5,4,185.517,131.653,53.864000000000004,40.913613818143155,True
RAW,RAINY,Rx5day,CanESM5,grid_b9e4c92f2230d843,LA_NINA,7,10,174.80785714285716,135.3671,39.440757142857166,29.136146924073255,True
RAW,RAINY,Rx5day,CanESM5,grid_ee53d9b7e1b78404,LA_NINA,7,10,95.25285714285714,116.64739999999999,-21.394542857142852,-18.341208511413758,True
RAW,RAINY,Rx5day,EC-Earth3,grid_54322c8bcd695ea9,LA_NINA,4,10,84.156825,83.31004,0.846784999999997,1.0164261114266624,True
RAW,RAINY,Rx5day,EC-Earth3,grid_aa9c230c24e29294,LA_NINA,4,10,110.1406,109.09183,1.0487700000000046,0.9613643844823252,True
RAW,RAINY,Rx5day,EC-Earth3,grid_b0bcd3659d8a5c3a,LA_NINA,4,10,75.36724,61.522228000000005,13.84501199999999,22.50408096403789,True
RAW,RAINY,Rx5day,MIROC6,grid_93ab3a1ad3d3fc3b,LA_NINA,12,4,121.98675000000003,96.089,25.89775000000003,26.95183631841317,True
RAW,RAINY,Rx5day,MIROC6,grid_da55f68884e350d6,LA_NINA,12,4,141.49433333333337,110.91325,30.581083333333368,27.572073970723395,True
RAW,RAINY,CWD,ACCESS-ESM1-5,grid_21d480dde29ff4ec,EL_NINO,4,13,39.5,32.76923076923077,6.7307692307692335,20.539906103286395,True
RAW,RAINY,CWD,ACCESS-ESM1-5,grid_e450cbe008c0e055,EL_NINO,4,13,20.0,21.307692307692307,-1.3076923076923066,-6.1371841155234605,True
RAW,RAINY,CWD,CESM2,grid_366816579f298e84,EL_NINO,11,4,21.0,22.5,-1.5,-6.666666666666667,True
RAW,RAINY,CWD,CESM2,grid_52ecc812ca873fb0,EL_NINO,11,4,14.272727272727273,20.0,-5.727272727272727,-28.636363636363633,True
RAW,RAINY,CWD,CESM2,grid_92e164725cf75def,EL_NINO,11,4,31.363636363636363,53.0,-21.636363636363637,-40.82332761578044,True
RAW,RAINY,CWD,CanESM5,grid_b9e4c92f2230d843,EL_NINO,5,10,18.8,24.4,-5.599999999999998,-22.95081967213114,True
RAW,RAINY,CWD,CanESM5,grid_ee53d9b7e1b78404,EL_NINO,5,10,16.6,15.3,1.3000000000000007,8.496732026143794,True
RAW,RAINY,CWD,EC-Earth3,grid_54322c8bcd695ea9,EL_NINO,6,10,41.333333333333336,50.6,-9.266666666666666,-18.313570487483528,True
RAW,RAINY,CWD,EC-Earth3,grid_aa9c230c24e29294,EL_NINO,6,10,70.66666666666667,76.1,-5.433333333333323,-7.139728427507653,True
RAW,RAINY,CWD,EC-Earth3,grid_b0bcd3659d8a5c3a,EL_NINO,6,10,25.166666666666668,30.0,-4.833333333333332,-16.111111111111107,True
RAW,RAINY,CWD,MIROC6,grid_93ab3a1ad3d3fc3b,EL_NINO,12,4,32.666666666666664,41.75,-9.083333333333336,-21.75648702594811,True
RAW,RAINY,CWD,MIROC6,grid_da55f68884e350d6,EL_NINO,12,4,78.16666666666667,71.25,6.916666666666671,9.707602339181294,True
RAW,RAINY,CWD,ACCESS-ESM1-5,grid_21d480dde29ff4ec,LA_NINA,2,13,59.0,32.76923076923077,,,False
RAW,RAINY,CWD,ACCESS-ESM1-5,grid_e450cbe008c0e055,LA_NINA,2,13,15.5,21.307692307692307,,,False
RAW,RAINY,CWD,CESM2,grid_366816579f298e84,LA_NINA,5,4,23.2,22.5,0.6999999999999993,3.111111111111108,True
RAW,RAINY,CWD,CESM2,grid_52ecc812ca873fb0,LA_NINA,5,4,19.8,20.0,-0.1999999999999993,-0.9999999999999964,True
RAW,RAINY,CWD,CESM2,grid_92e164725cf75def,LA_NINA,5,4,42.2,53.0,-10.799999999999997,-20.377358490566035,True
RAW,RAINY,CWD,CanESM5,grid_b9e4c92f2230d843,LA_NINA,7,10,29.142857142857142,24.4,4.742857142857144,19.437939110070264,True
RAW,RAINY,CWD,CanESM5,grid_ee53d9b7e1b78404,LA_NINA,7,10,17.571428571428573,15.3,2.2714285714285722,14.845938375350144,True
RAW,RAINY,CWD,EC-Earth3,grid_54322c8bcd695ea9,LA_NINA,4,10,58.25,50.6,7.649999999999999,15.11857707509881,True
RAW,RAINY,CWD,EC-Earth3,grid_aa9c230c24e29294,LA_NINA,4,10,72.75,76.1,-3.3499999999999943,-4.402102496714842,True
RAW,RAINY,CWD,EC-Earth3,grid_b0bcd3659d8a5c3a,LA_NINA,4,10,36.75,30.0,6.75,22.5,True
RAW,RAINY,CWD,MIROC6,grid_93ab3a1ad3d3fc3b,LA_NINA,12,4,35.583333333333336,41.75,-6.166666666666664,-14.770459081836322,True
RAW,RAINY,CWD,MIROC6,grid_da55f68884e350d6,LA_NINA,12,4,62.25,71.25,-9.0,-12.631578947368421,True
RAW,RAINY,R10mm,ACCESS-ESM1-5,grid_21d480dde29ff4ec,EL_NINO,4,13,40.5,47.46153846153846,-6.96153846153846,-14.667747163695296,True
RAW,RAINY,R10mm,ACCESS-ESM1-5,grid_e450cbe008c0e055,EL_NINO,4,13,17.5,20.692307692307693,-3.1923076923076934,-15.427509293680302,True
RAW,RAINY,R10mm,CESM2,grid_366816579f298e84,EL_NINO,11,4,22.181818181818183,30.0,-7.818181818181817,-26.060606060606055,True
RAW,RAINY,R10mm,CESM2,grid_52ecc812ca873fb0,EL_NINO,11,4,15.272727272727273,19.25,-3.9772727272727266,-20.661157024793383,True
RAW,RAINY,R10mm,CESM2,grid_92e164725cf75def,EL_NINO,11,4,37.45454545454545,49.25,-11.795454545454547,-23.950161513613295,True
RAW,RAINY,R10mm,CanESM5,grid_b9e4c92f2230d843,EL_NINO,5,10,28.4,41.6,-13.200000000000003,-31.730769230769234,True
RAW,RAINY,R10mm,CanESM5,grid_ee53d9b7e1b78404,EL_NINO,5,10,17.2,28.9,-11.7,-40.484429065743946,True
RAW,RAINY,R10mm,EC-Earth3,grid_54322c8bcd695ea9,EL_NINO,6,10,28.333333333333332,35.3,-6.966666666666665,-19.73559962228517,True
RAW,RAINY,R10mm,EC-Earth3,grid_aa9c230c24e29294,EL_NINO,6,10,46.166666666666664,61.5,-15.333333333333336,-24.932249322493227,True
RAW,RAINY,R10mm,EC-Earth3,grid_b0bcd3659d8a5c3a,EL_NINO,6,10,16.0,15.5,0.5,3.225806451612903,True
RAW,RAINY,R10mm,MIROC6,grid_93ab3a1ad3d3fc3b,EL_NINO,12,4,25.833333333333332,29.5,-3.666666666666668,-12.429378531073452,True
RAW,RAINY,R10mm,MIROC6,grid_da55f68884e350d6,EL_NINO,12,4,53.416666666666664,51.75,1.6666666666666643,3.2206119162640854,True
RAW,RAINY,R10mm,ACCESS-ESM1-5,grid_21d480dde29ff4ec,LA_NINA,2,13,58.5,47.46153846153846,,,False
RAW,RAINY,R10mm,ACCESS-ESM1-5,grid_e450cbe008c0e055,LA_NINA,2,13,31.5,20.692307692307693,,,False
RAW,RAINY,R10mm,CESM2,grid_366816579f298e84,LA_NINA,5,4,42.8,30.0,12.799999999999997,42.66666666666666,True
RAW,RAINY,R10mm,CESM2,grid_52ecc812ca873fb0,LA_NINA,5,4,28.4,19.25,9.149999999999999,47.53246753246753,True
RAW,RAINY,R10mm,CESM2,grid_92e164725cf75def,LA_NINA,5,4,58.6,49.25,9.350000000000001,18.984771573604064,True
RAW,RAINY,R10mm,CanESM5,grid_b9e4c92f2230d843,LA_NINA,7,10,48.142857142857146,41.6,6.5428571428571445,15.728021978021982,True
RAW,RAINY,R10mm,CanESM5,grid_ee53d9b7e1b78404,LA_NINA,7,10,32.714285714285715,28.9,3.8142857142857167,13.19822046465646,True
RAW,RAINY,R10mm,EC-Earth3,grid_54322c8bcd695ea9,LA_NINA,4,10,39.0,35.3,3.700000000000003,10.481586402266299,True
RAW,RAINY,R10mm,EC-Earth3,grid_aa9c230c24e29294,LA_NINA,4,10,64.25,61.5,2.75,4.471544715447155,True
RAW,RAINY,R10mm,EC-Earth3,grid_b0bcd3659d8a5c3a,LA_NINA,4,10,19.5,15.5,4.0,25.806451612903224,True
RAW,RAINY,R10mm,MIROC6,grid_93ab3a1ad3d3fc3b,LA_NINA,12,4,40.0,29.5,10.5,35.59322033898305,True
RAW,RAINY,R10mm,MIROC6,grid_da55f68884e350d6,LA_NINA,12,4,56.5,51.75,4.75,9.178743961352657,True
RAW,RAINY,R20mm,ACCESS-ESM1-5,grid_21d480dde29ff4ec,EL_NINO,4,13,16.5,18.615384615384617,-2.1153846153846168,-11.363636363636369,True
RAW,RAINY,R20mm,ACCESS-ESM1-5,grid_e450cbe008c0e055,EL_NINO,4,13,6.5,7.6923076923076925,-1.1923076923076925,-15.500000000000004,True
RAW,RAINY,R20mm,CESM2,grid_366816579f298e84,EL_NINO,11,4,9.0,12.25,-3.25,-26.53061224489796,True
RAW,RAINY,R20mm,CESM2,grid_52ecc812ca873fb0,EL_NINO,11,4,6.636363636363637,7.75,-1.1136363636363633,-14.369501466275656,True
RAW,RAINY,R20mm,CESM2,grid_92e164725cf75def,EL_NINO,11,4,14.818181818181818,17.0,-2.1818181818181817,-12.83422459893048,True
RAW,RAINY,R20mm,CanESM5,grid_b9e4c92f2230d843,EL_NINO,5,10,4.2,8.2,-3.999999999999999,-48.78048780487804,True
RAW,RAINY,R20mm,CanESM5,grid_ee53d9b7e1b78404,EL_NINO,5,10,2.6,5.7,-3.1,-54.3859649122807,True
