Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion,p_MK_BH,Significant_MK_BH,Trend_MK_BH
1981-2014,Observed,Historical,465011,SDII,mm day-1,mm day-1 year-1,1981,2014,34,203.0,4550.333333333333,9662.044282377865,2.994537551299556,0.0027486122017265,Increasing,True,2.0550238079848646,0.0398767052098616,Increasing,True,0.3618538324420677,0.053838337122273,0.0191071428571429,0.1651824351670247,2.1233706576172877,16.012277403396286,33,0.5616853288086435,0.5429907019285255,OK,OK,True,0.011910652874148168,True,Increasing
1981-2014,Observed,Historical,465012,SDII,mm day-1,mm day-1 year-1,1981,2014,34,189.0,4550.333333333333,12967.615335009756,2.7869953447738443,0.0053199243220735,Increasing,True,1.6509266934621385,0.098753544451391,No significant trend,False,0.3368983957219251,0.0486736353077817,0.013263856362217,0.2250592818428184,2.849816570583054,11.930592428636142,33,0.9249082852915268,0.7741784696273326,OK,OK,False,0.015617762966731874,True,Increasing
1981-2014,Observed,Historical,465201,SDII,mm day-1,mm day-1 year-1,1981,2014,34,-127.0,4550.333333333333,383.608087077899,-1.8678798587314065,0.0617788189001975,No significant trend,False,-6.433194293040086,1.2494976332763543e-10,Decreasing,True,-0.2263814616755793,-0.0545004826254829,-0.1252839752839752,0.0060699588477364,0.0843032936219835,403.30571368250696,33,-0.4578483531890082,-0.1177315295615855,OK,FACTOR_LT_ONE,False,0.0866114813992965,False,No significant trend
1981-2014,Observed,Historical,465001,Rx1day,mm,mm year-1,1981,2014,34,162.0,4549.333333333333,2296.74078670851,2.386997677679507,0.0169865985790643,Increasing,True,3.3594631725507287,0.0007809405918181,Increasing,True,0.2887700534759358,0.8411764705882351,0.1400000000000001,1.5285714285714285,0.504852165894309,67.34644772647744,33,-0.2475739170528454,0.4713127992816572,OK,FACTOR_LT_ONE,True,0.03282545401089452,True,Increasing
1981-2014,Observed,Historical,465002,Rx1day,mm,mm year-1,1981,2014,34,115.0,4550.333333333333,633.8169602002629,1.6899865388522248,0.0910305299729307,No significant trend,False,4.5281720866100414,5.949612045323031e-06,Increasing,True,0.2049910873440285,0.8000000000000002,-0.105,1.5148148148148148,0.139290226401054,244.0946567356769,33,-0.430354886799473,0.0248147082654444,OK,FACTOR_LT_ONE,False,0.11942537418467054,False,No significant trend
1981-2014,Observed,Historical,465003,Rx1day,mm,mm year-1,1981,2014,34,119.0,4550.333333333333,596.9432276201957,1.7492843121452852,0.0802418863438708,No significant trend,False,4.829648149357548,1.367745194169992e-06,Increasing,True,0.2121212121212121,0.6384615384615387,-0.1,1.4,0.1311867030152067,259.1726083401824,33,-0.4344066484923966,-0.093496548997857,OK,FACTOR_LT_ONE,False,0.10825084667144835,False,No significant trend
1981-2014,Observed,Historical,465004,Rx1day,mm,mm year-1,1981,2014,34,-133.0,4550.333333333333,1680.1559295279164,-1.956826518670997,0.0503678681310844,No significant trend,False,-3.2203207968460803,0.0012804722075034,Decreasing,True,-0.2370766488413547,-1.682142857142857,-3.4500000000000006,0.0124999999999998,0.3692379890545564,92.08153279963932,33,-0.3153810054727218,0.0711468911303117,OK,FACTOR_LT_ONE,False,0.07581689623942178,False,No significant trend
1981-2014,Observed,Historical,465005,Rx1day,mm,mm year-1,1981,2014,34,245.0,4550.333333333333,3387.556678432112,3.617164170876692,0.0002978484014356,Increasing,True,4.192243897362425,2.76208811931186e-05,Increasing,True,0.4367201426024955,1.2,0.5799999999999997,1.942857142857143,0.7444634118596687,45.67047817040201,33,-0.1277682940701656,0.3077772167355397,OK,FACTOR_LT_ONE,True,0.005264543618885741,True,Increasing
1981-2014,Observed,Historical,465006,Rx1day,mm,mm year-1,1981,2014,34,-183.0,4550.333333333333,2069.170156139668,-2.6980486848342538,0.0069747239583513,Decreasing,True,-4.001043609689192,6.306373289506384e-05,Decreasing,True,-0.3262032085561497,-3.0999999999999983,-4.84375,-1.0,0.4547293581729545,74.76974905822604,33,-0.2726353209135227,0.1622137155210244,OK,FACTOR_LT_ONE,True,0.017810455822218497,True,Decreasing
1981-2014,Observed,Historical,465007,Rx1day,mm,mm year-1,1981,2014,34,209.0,4550.333333333333,1910.1980807226616,3.083484211239147,0.0020459196617492,Increasing,True,4.759092354708272,1.944654469469025e-06,Increasing,True,0.3725490196078431,1.13125,0.4937499999999999,1.9777777777777772,0.419792999939051,80.99229859701423,33,-0.2901035000304744,-0.2571929588210798,OK,FACTOR_LT_ONE,True,0.009970411350660237,True,Increasing
