Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
1981-2014,Observed,Historical,465001,2009,OK,R20mm,9.0,days
1981-2014,Observed,Historical,465001,2009,OK,R50mm,1.0,days
1981-2014,Observed,Historical,465001,2009,OK,R95p,343.9,mm
1981-2014,Observed,Historical,465001,2009,OK,R99p,210.7,mm
1981-2014,Observed,Historical,465001,2009,OK,Rx1day,56.0,mm
1981-2014,Observed,Historical,465001,2009,OK,Rx5day,90.7,mm
1981-2014,Observed,Historical,465001,2009,OK,SDII,10.43888888888889,mm day-1
1981-2014,Observed,Historical,465001,2010,OK,CDD,48.0,days
1981-2014,Observed,Historical,465001,2010,OK,CWD,5.0,days
1981-2014,Observed,Historical,465001,2010,OK,PRCPTOT,822.5999999999999,mm
1981-2014,Observed,Historical,465001,2010,OK,R10mm,28.0,days
1981-2014,Observed,Historical,465001,2010,OK,R20mm,14.0,days
1981-2014,Observed,Historical,465001,2010,OK,R50mm,1.0,days
1981-2014,Observed,Historical,465001,2010,OK,R95p,439.6,mm
1981-2014,Observed,Historical,465001,2010,OK,R99p,218.3,mm
1981-2014,Observed,Historical,465001,2010,OK,Rx1day,53.2,mm
1981-2014,Observed,Historical,465001,2010,OK,Rx5day,87.0,mm
1981-2014,Observed,Historical,465001,2010,OK,SDII,11.26849315068493,mm day-1
1981-2014,Observed,Historical,465001,2011,OK,CDD,62.0,days
1981-2014,Observed,Historical,465001,2011,OK,CWD,7.0,days
1981-2014,Observed,Historical,465001,2011,OK,PRCPTOT,802.4,mm
1981-2014,Observed,Historical,465001,2011,OK,R10mm,26.0,days
1981-2014,Observed,Historical,465001,2011,OK,R20mm,12.0,days
1981-2014,Observed,Historical,465001,2011,OK,R50mm,1.0,days
1981-2014,Observed,Historical,465001,2011,OK,R95p,394.0,mm
1981-2014,Observed,Historical,465001,2011,OK,R99p,193.0,mm
1981-2014,Observed,Historical,465001,2011,OK,Rx1day,66.0,mm
1981-2014,Observed,Historical,465001,2011,OK,Rx5day,99.0,mm
1981-2014,Observed,Historical,465001,2011,OK,SDII,9.330232558139535,mm day-1
1981-2014,Observed,Historical,465001,2012,OK,CDD,40.0,days
1981-2014,Observed,Historical,465001,2012,OK,CWD,10.0,days
1981-2014,Observed,Historical,465001,2012,OK,PRCPTOT,965.3,mm
1981-2014,Observed,Historical,465001,2012,OK,R10mm,41.0,days
1981-2014,Observed,Historical,465001,2012,OK,R20mm,14.0,days
1981-2014,Observed,Historical,465001,2012,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465001,2012,OK,R95p,447.0,mm
1981-2014,Observed,Historical,465001,2012,OK,R99p,169.0,mm
1981-2014,Observed,Historical,465001,2012,OK,Rx1day,48.0,mm
1981-2014,Observed,Historical,465001,2012,OK,Rx5day,90.0,mm
1981-2014,Observed,Historical,465001,2012,OK,SDII,10.379569892473118,mm day-1
1981-2014,Observed,Historical,465001,2013,OK,CDD,38.0,days
1981-2014,Observed,Historical,465001,2013,OK,CWD,7.0,days
1981-2014,Observed,Historical,465001,2013,OK,PRCPTOT,956.1000000000001,mm
1981-2014,Observed,Historical,465001,2013,OK,R10mm,29.0,days
1981-2014,Observed,Historical,465001,2013,OK,R20mm,15.0,days
1981-2014,Observed,Historical,465001,2013,OK,R50mm,3.0,days
1981-2014,Observed,Historical,465001,2013,OK,R95p,556.5,mm
1981-2014,Observed,Historical,465001,2013,OK,R99p,238.0,mm
1981-2014,Observed,Historical,465001,2013,OK,Rx1day,85.0,mm
1981-2014,Observed,Historical,465001,2013,OK,Rx5day,160.0,mm
1981-2014,Observed,Historical,465001,2013,OK,SDII,10.506593406593408,mm day-1
1981-2014,Observed,Historical,465001,2014,OK,CDD,80.0,days
1981-2014,Observed,Historical,465001,2014,OK,CWD,4.0,days
1981-2014,Observed,Historical,465001,2014,OK,PRCPTOT,766.9,mm
1981-2014,Observed,Historical,465001,2014,OK,R10mm,25.0,days
1981-2014,Observed,Historical,465001,2014,OK,R20mm,14.0,days
1981-2014,Observed,Historical,465001,2014,OK,R50mm,2.0,days
1981-2014,Observed,Historical,465001,2014,OK,R95p,491.0,mm
1981-2014,Observed,Historical,465001,2014,OK,R99p,304.0,mm
1981-2014,Observed,Historical,465001,2014,OK,Rx1day,75.0,mm
1981-2014,Observed,Historical,465001,2014,OK,Rx5day,142.0,mm
1981-2014,Observed,Historical,465001,2014,OK,SDII,11.798461538461538,mm day-1
1981-2014,Observed,Historical,465002,1981,OK,CDD,23.0,days
1981-2014,Observed,Historical,465002,1981,OK,CWD,112.0,days
