Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion,MK_p_FDR_BH,MK_significant_FDR_BH
1981-2014,Observed,Historical,351010,R10mm,days,days year-1,1981,2014,34,24.0,4526.666666666667,1511.724818831733,0.3418523568345597,0.7324620055372998,No significant trend,False,0.5915500078009418,0.5541519587906809,No significant trend,False,0.0427807486631016,0.0434782608695652,-0.2666666666666666,0.238095238095238,0.3339598274296906,101.80865244086311,33,-0.3330200862851546,0.176761081913277,OK,FACTOR_LT_ONE,True,0.9418586066507527,False
1981-2014,Observed,Historical,351011,R10mm,days,days year-1,1981,2014,34,97.0,4513.0,993.909918839262,1.4290208529869883,0.1529982399666105,No significant trend,False,3.045073085402345,0.0023262377356931,Increasing,True,0.1729055258467023,0.16,-0.0588235294117647,0.3888888888888889,0.2202326432172084,154.38220012855624,33,-0.3898836783913957,0.0742551933389872,OK,FACTOR_LT_ONE,False,0.4808955510715804,False
1981-2014,Observed,Historical,351012,R10mm,days,days year-1,1981,2014,34,-78.0,4510.0,334.52209495538267,-1.146574963245519,0.2515573289230537,No significant trend,False,-4.2099634094780045,2.554120503865093e-05,Decreasing,True,-0.1390374331550802,-0.1111111111111111,-0.2758620689655172,0.08,0.0741734135156059,458.3852675574447,33,-0.462913293242197,-0.3057536961264904,OK,FACTOR_LT_ONE,False,0.6298961834037153,False
1981-2014,Observed,Historical,351201,R10mm,days,days year-1,1981,2014,34,-18.0,4524.0,1286.2197833845903,-0.2527479392162723,0.8004630001255958,No significant trend,False,-0.4740141746695151,0.6354897992591895,No significant trend,False,-0.0320855614973262,0.0,-0.35,0.2,0.2843102969461959,119.58764900602353,33,-0.357844851526902,-0.0579869646757111,OK,FACTOR_LT_ONE,True,0.9460017274211586,False
1981-2014,Observed,Historical,351001,R20mm,days,days year-1,1981,2014,34,-21.0,4490.333333333333,1292.0641407277988,-0.2984631408655824,0.7653497041419737,No significant trend,False,-0.5564010731122501,0.577936705469327,No significant trend,False,-0.0374331550802139,0.0,-0.2,0.1071428571428571,0.2877434802303761,118.1608006297087,33,-0.3561282598848119,-0.1061606160616061,OK,FACTOR_LT_ONE,True,0.9460017274211586,False
1981-2014,Observed,Historical,351002,R20mm,days,days year-1,1981,2014,34,4.0,4514.0,1963.0912216458844,0.0446519548929751,0.9643847299111908,No significant trend,False,0.067709719430009,0.9460167120837616,No significant trend,False,0.0071301247771836,0.0,-0.2352941176470588,0.2272727272727272,0.4348895041306788,78.18077851284134,33,-0.2825552479346606,0.3281835773710199,OK,FACTOR_LT_ONE,True,0.9850501169807164,False
1981-2014,Observed,Historical,351003,R20mm,days,days year-1,1981,2014,34,-157.0,4529.0,3859.2891381197705,-2.318053408619151,0.0204464186034108,Decreasing,True,-2.511140079738184,0.0120341933118001,Decreasing,True,-0.2798573975044563,-0.5,-0.8,-0.0952380952380952,0.8521283148862377,39.90009415957399,33,-0.0739358425568811,0.4852976372777123,OK,FACTOR_LT_ONE,True,0.12712338522990194,False
1981-2014,Observed,Historical,351004,R20mm,days,days year-1,1981,2014,34,-113.0,4507.666666666667,1684.6449314599076,-1.6681769882857451,0.0952805975866376,No significant trend,False,-2.7287505285782108,0.006357477872203,Decreasing,True,-0.2014260249554367,-0.1428571428571428,-0.2903225806451613,-0.0,0.373728817154457,90.97505581419551,33,-0.3131355914227715,0.4029980805712701,OK,FACTOR_LT_ONE,False,0.34936219115100453,False
1981-2014,Observed,Historical,351005,R20mm,days,days year-1,1981,2014,34,-128.0,4477.333333333333,1290.8568845496122,-1.897990379491751,0.0576973493587761,No significant trend,False,-3.5347985916769877,0.0004080860803433,Decreasing,True,-0.2281639928698752,-0.1739130434782608,-0.3571428571428571,-0.0,0.2883093101287103,117.9289006824696,33,-0.3558453449356448,0.174537837090691,OK,FACTOR_LT_ONE,False,0.2578350299470307,False
1981-2014,Observed,Historical,351006,R20mm,days,days year-1,1981,2014,34,127.0,4509.0,2174.710439468459,1.8764216167568355,0.060597408576361,No significant trend,False,2.701903447708375,0.0068943779883597,Increasing,True,0.2263814616755793,0.2,-0.0,0.3888888888888889,0.4823043777929605,70.49490231787867,33,-0.2588478111035197,0.1579787980110127,OK,FACTOR_LT_ONE,False,0.2598344441978895,False
