Model,Scenario,Station,Index,Baseline_Period,Future_Period,Baseline_mean,Future_mean,Absolute_change,Relative_change_pct,Unit
CESM2,SSP2-4.5,465009,R10mm,1995-2014,2021-2050,36.25,28.433333333333334,-7.816666666666666,-21.563218390804597,days
CESM2,SSP2-4.5,465009,R20mm,1995-2014,2021-2050,4.8,4.466666666666667,-0.33333333333333304,-6.9444444444444375,days
CESM2,SSP2-4.5,465009,R50mm,1995-2014,2021-2050,0.0,0.1,0.1,,days
CESM2,SSP2-4.5,465009,R95p,1995-2014,2021-2050,247.627,223.71300000000002,-23.913999999999987,-9.657266776240066,mm
CESM2,SSP2-4.5,465009,R99p,1995-2014,2021-2050,28.690999999999995,47.724000000000004,19.03300000000001,66.33787598898613,mm
CESM2,SSP2-4.5,465010,PRCPTOT,1995-2014,2021-2050,1152.5825,1019.2273333333334,-133.3551666666666,-11.570118986421068,mm
CESM2,SSP2-4.5,465010,SDII,1995-2014,2021-2050,5.624739652750544,5.244647620925551,-0.3800920318249936,-6.757504440923332,mm day-1
CESM2,SSP2-4.5,465010,Rx1day,1995-2014,2021-2050,31.647000000000002,33.70766666666667,2.060666666666666,6.511412350828407,mm
CESM2,SSP2-4.5,465010,Rx5day,1995-2014,2021-2050,91.5875,96.28500000000001,4.697500000000005,5.128975023884269,mm
CESM2,SSP2-4.5,465010,CDD,1995-2014,2021-2050,31.2,27.866666666666667,-3.333333333333332,-10.68376068376068,days
CESM2,SSP2-4.5,465010,CWD,1995-2014,2021-2050,31.7,26.5,-5.199999999999999,-16.403785488958988,days
CESM2,SSP2-4.5,465010,R10mm,1995-2014,2021-2050,28.65,23.1,-5.549999999999997,-19.371727748691093,days
CESM2,SSP2-4.5,465010,R20mm,1995-2014,2021-2050,4.2,3.9,-0.30000000000000027,-7.1428571428571495,days
CESM2,SSP2-4.5,465010,R50mm,1995-2014,2021-2050,0.05,0.13333333333333333,0.08333333333333333,166.66666666666663,days
CESM2,SSP2-4.5,465010,R95p,1995-2014,2021-2050,215.30100000000002,200.48266666666666,-14.818333333333356,-6.882612404649006,mm
CESM2,SSP2-4.5,465010,R99p,1995-2014,2021-2050,30.357499999999998,46.437000000000005,16.079500000000007,52.967141563040464,mm
CESM2,SSP2-4.5,465011,PRCPTOT,1995-2014,2021-2050,1206.9985,1061.3519999999999,-145.64650000000006,-12.066833554474183,mm
CESM2,SSP2-4.5,465011,SDII,1995-2014,2021-2050,5.753418625223434,5.320158394824344,-0.4332602303990898,-7.530483328636009,mm day-1
CESM2,SSP2-4.5,465011,Rx1day,1995-2014,2021-2050,29.878500000000003,30.56833333333333,0.6898333333333291,2.3087950644554747,mm
CESM2,SSP2-4.5,465011,Rx5day,1995-2014,2021-2050,89.0475,90.391,1.343500000000006,1.5087453325472426,mm
CESM2,SSP2-4.5,465011,CDD,1995-2014,2021-2050,29.45,27.0,-2.4499999999999993,-8.319185059422749,days
CESM2,SSP2-4.5,465011,CWD,1995-2014,2021-2050,32.15,27.3,-4.849999999999998,-15.085536547433897,days
CESM2,SSP2-4.5,465011,R10mm,1995-2014,2021-2050,30.4,24.466666666666665,-5.933333333333334,-19.517543859649123,days
CESM2,SSP2-4.5,465011,R20mm,1995-2014,2021-2050,3.6,3.433333333333333,-0.16666666666666696,-4.629629629629638,days
CESM2,SSP2-4.5,465011,R50mm,1995-2014,2021-2050,0.05,0.03333333333333333,-0.01666666666666667,-33.333333333333336,days
CESM2,SSP2-4.5,465011,R95p,1995-2014,2021-2050,211.1045,190.236,-20.86850000000001,-9.885388516114062,mm
CESM2,SSP2-4.5,465011,R99p,1995-2014,2021-2050,28.4015,38.04966666666667,9.648166666666668,33.970623617297214,mm
CESM2,SSP2-4.5,465012,PRCPTOT,1995-2014,2021-2050,1231.0059999999999,1083.0953333333334,-147.91066666666643,-12.015430198282255,mm
CESM2,SSP2-4.5,465012,SDII,1995-2014,2021-2050,5.894706905948427,5.464249968373144,-0.4304569375752827,-7.30243156179492,mm day-1
CESM2,SSP2-4.5,465012,Rx1day,1995-2014,2021-2050,30.700499999999998,32.021,1.3205000000000027,4.301232878943349,mm
CESM2,SSP2-4.5,465012,Rx5day,1995-2014,2021-2050,91.276,93.91833333333334,2.6423333333333403,2.894882919204764,mm
CESM2,SSP2-4.5,465012,CDD,1995-2014,2021-2050,29.45,27.0,-2.4499999999999993,-8.319185059422749,days
CESM2,SSP2-4.5,465012,CWD,1995-2014,2021-2050,31.55,26.4,-5.150000000000002,-16.323296354992085,days
CESM2,SSP2-4.5,465012,R10mm,1995-2014,2021-2050,32.7,25.866666666666667,-6.833333333333336,-20.897043832823655,days
CESM2,SSP2-4.5,465012,R20mm,1995-2014,2021-2050,3.95,3.8333333333333335,-0.1166666666666667,-2.953586497890296,days
CESM2,SSP2-4.5,465012,R50mm,1995-2014,2021-2050,0.0,0.06666666666666667,0.06666666666666667,,days
CESM2,SSP2-4.5,465012,R95p,1995-2014,2021-2050,223.54749999999999,200.72766666666666,-22.81983333333332,-10.208046761128317,mm
CESM2,SSP2-4.5,465012,R99p,1995-2014,2021-2050,23.337,40.05133333333333,16.714333333333332,71.62160231963549,mm
CESM2,SSP2-4.5,465201,PRCPTOT,1995-2014,2021-2050,1094.7994999999999,967.2376666666667,-127.5618333333332,-11.651615965602215,mm
CESM2,SSP2-4.5,465201,SDII,1995-2014,2021-2050,12.373896776602901,11.852616814313203,-0.5212799622896984,-4.212738894633072,mm day-1
CESM2,SSP2-4.5,465201,Rx1day,1995-2014,2021-2050,94.493,88.83233333333332,-5.660666666666671,-5.990567202508832,mm
CESM2,SSP2-4.5,465201,Rx5day,1995-2014,2021-2050,200.894,203.909,3.0149999999999864,1.5007914621641196,mm
CESM2,SSP2-4.5,465201,CDD,1995-2014,2021-2050,67.1,64.46666666666667,-2.6333333333333258,-3.9244908097367004,days
CESM2,SSP2-4.5,465201,CWD,1995-2014,2021-2050,10.3,10.233333333333333,-0.0666666666666682,-0.6472491909385262,days
CESM2,SSP2-4.5,465201,R10mm,1995-2014,2021-2050,33.45,28.566666666666666,-4.883333333333336,-14.598903836572006,days
CESM2,SSP2-4.5,465201,R20mm,1995-2014,2021-2050,15.5,13.233333333333333,-2.2666666666666675,-14.6236559139785,days
CESM2,SSP2-4.5,465201,R50mm,1995-2014,2021-2050,2.95,2.8,-0.15000000000000036,-5.084745762711876,days
CESM2,SSP2-4.5,465201,R95p,1995-2014,2021-2050,298.1065,274.0316666666667,-24.074833333333288,-8.07591694019865,mm
CESM2,SSP2-4.5,465201,R99p,1995-2014,2021-2050,107.6625,126.111,18.44850000000001,17.1354928596308,mm
CESM2,SSP5-8.5,465001,PRCPTOT,1995-2014,2021-2050,1480.632,1159.0226666666667,-321.6093333333333,-21.721084870064495,mm
CESM2,SSP5-8.5,465001,SDII,1995-2014,2021-2050,7.034709046957031,6.031488948554613,-1.0032200984024175,-14.261003428938904,mm day-1
CESM2,SSP5-8.5,465001,Rx1day,1995-2014,2021-2050,36.702,33.33566666666666,-3.366333333333337,-9.172070550197093,mm
CESM2,SSP5-8.5,465001,Rx5day,1995-2014,2021-2050,107.798,102.22600000000001,-5.5719999999999885,-5.168927067292518,mm
CESM2,SSP5-8.5,465001,CDD,1995-2014,2021-2050,28.4,27.966666666666665,-0.43333333333333357,-1.5258215962441324,days
CESM2,SSP5-8.5,465001,CWD,1995-2014,2021-2050,29.0,22.4,-6.600000000000001,-22.758620689655178,days
CESM2,SSP5-8.5,465001,R10mm,1995-2014,2021-2050,47.85,32.4,-15.450000000000003,-32.2884012539185,days
CESM2,SSP5-8.5,465001,R20mm,1995-2014,2021-2050,8.0,5.633333333333334,-2.3666666666666663,-29.58333333333333,days
CESM2,SSP5-8.5,465001,R50mm,1995-2014,2021-2050,0.05,0.13333333333333333,0.08333333333333333,166.66666666666663,days
CESM2,SSP5-8.5,465001,R95p,1995-2014,2021-2050,255.417,175.85733333333334,-79.55966666666666,-31.148931616402454,mm
