Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,R10mm,15.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,R20mm,2.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,R95p,115.52,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,R99p,28.83,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,Rx1day,28.83,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,Rx5day,61.31999999999999,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,SDII,4.922105263157895,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,CDD,15.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,CWD,18.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,PRCPTOT,1223.1299999999999,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,R10mm,31.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,R20mm,7.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,R95p,274.29,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,R99p,34.4,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,Rx1day,34.4,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,Rx5day,70.66,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2028,OK,SDII,6.208781725888325,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,CDD,16.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,CWD,24.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,PRCPTOT,1091.6799999999998,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,R10mm,21.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,R20mm,2.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,R95p,124.1,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,R99p,29.99,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,Rx1day,29.99,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,Rx5day,85.28999999999999,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2029,OK,SDII,5.173838862559241,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,CDD,31.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,CWD,35.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,PRCPTOT,1315.63,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,R10mm,41.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,R20mm,7.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,R50mm,1.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,R95p,344.21,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,R99p,129.35,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,Rx1day,58.69,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,Rx5day,169.98000000000002,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2030,OK,SDII,6.417707317073171,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,CDD,11.0,days
