model,station,scenario,window,index,raw_change_pct,method,bc_change_pct,S_mod,S_bc,PE_pct
ACCESS-ESM1-5,351005,ssp585,Near,CDD,-4.912,qm,-5.974,0.951,0.94,-1.117
ACCESS-ESM1-5,351005,ssp585,Near,CWD,15.033,qm,16.966,1.15,1.17,1.681
ACCESS-ESM1-5,351005,ssp585,Near,PRCPTOT,13.923,qm,17.834,1.139,1.178,3.433
ACCESS-ESM1-5,351005,ssp585,Near,PRCPTOT_dry,30.061,qm,48.331,1.301,1.483,14.047
ACCESS-ESM1-5,351005,ssp585,Near,PRCPTOT_wet,5.426,qm,5.135,1.054,1.051,-0.276
ACCESS-ESM1-5,351005,ssp585,Near,R10mm,22.595,qm,21.747,1.226,1.217,-0.691
ACCESS-ESM1-5,351005,ssp585,Near,R20mm,20.325,qm,19.854,1.203,1.199,-0.391
ACCESS-ESM1-5,351005,ssp585,Near,R50mm,83.333,qm,17.949,1.833,1.179,-35.664
ACCESS-ESM1-5,351005,ssp585,Near,R95p,24.624,qm,16.149,1.246,1.161,-6.8
ACCESS-ESM1-5,351005,ssp585,Near,R99p,28.451,qm,-1.333,1.285,0.987,-23.187
ACCESS-ESM1-5,351005,ssp585,Near,Rx1day,13.722,qm,8.854,1.137,1.089,-4.28
ACCESS-ESM1-5,351005,ssp585,Near,Rx5day,1.89,qm,1.159,1.019,1.012,-0.717
ACCESS-ESM1-5,351005,ssp585,Near,SDII,7.216,qm,9.606,1.072,1.096,2.229
ACCESS-ESM1-5,351005,ssp585,Near,q50,3.499,qm,11.797,1.035,1.118,8.018
ACCESS-ESM1-5,351005,ssp585,Near,q90,8.37,qm,10.075,1.084,1.101,1.573
ACCESS-ESM1-5,351005,ssp585,Near,q95,12.714,qm,13.052,1.127,1.131,0.3
ACCESS-ESM1-5,351005,ssp585,Near,q99,9.894,qm,4.885,1.099,1.049,-4.558
ACCESS-ESM1-5,351005,ssp585,Near,wet_day_pct,8.535,qm,12.125,1.085,1.121,3.307
ACCESS-ESM1-5,351006,ssp245,Near,CDD,1.365,qm,-7.089,1.014,0.929,-8.34
ACCESS-ESM1-5,351006,ssp245,Near,CWD,6.806,qm,17.965,1.068,1.18,10.448
ACCESS-ESM1-5,351006,ssp245,Near,PRCPTOT,5.727,qm,0.669,1.057,1.007,-4.784
ACCESS-ESM1-5,351006,ssp245,Near,PRCPTOT_dry,8.833,qm,4.206,1.088,1.042,-4.251
ACCESS-ESM1-5,351006,ssp245,Near,PRCPTOT_wet,3.939,qm,-2.427,1.039,0.976,-6.125
ACCESS-ESM1-5,351006,ssp245,Near,R10mm,-3.704,qm,-4.031,0.963,0.96,-0.339
ACCESS-ESM1-5,351006,ssp245,Near,R20mm,40.476,qm,-0.952,1.405,0.99,-29.492
ACCESS-ESM1-5,351006,ssp245,Near,R50mm,216.667,qm,,3.167,,
ACCESS-ESM1-5,351006,ssp245,Near,R95p,54.83,qm,2.768,1.548,1.028,-33.625
ACCESS-ESM1-5,351006,ssp245,Near,R99p,49.6,qm,39.746,1.496,1.397,-6.587
ACCESS-ESM1-5,351006,ssp245,Near,Rx1day,32.916,qm,11.491,1.329,1.115,-16.119
ACCESS-ESM1-5,351006,ssp245,Near,Rx5day,26.64,qm,5.152,1.266,1.052,-16.968
ACCESS-ESM1-5,351006,ssp245,Near,SDII,10.252,qm,0.712,1.103,1.007,-8.653
ACCESS-ESM1-5,351006,ssp245,Near,q50,3.068,qm,-2.642,1.031,0.974,-5.54
ACCESS-ESM1-5,351006,ssp245,Near,q90,4.214,qm,-0.045,1.042,1.0,-4.086
ACCESS-ESM1-5,351006,ssp245,Near,q95,7.132,qm,0.495,1.071,1.005,-6.195
ACCESS-ESM1-5,351006,ssp245,Near,q99,49.495,qm,9.199,1.495,1.092,-26.955
ACCESS-ESM1-5,351006,ssp245,Near,wet_day_pct,-1.388,qm,1.033,0.986,1.01,2.455
ACCESS-ESM1-5,351006,ssp585,Near,CDD,3.184,qm,-11.614,1.032,0.884,-14.341
ACCESS-ESM1-5,351006,ssp585,Near,CWD,4.014,qm,23.377,1.04,1.234,18.615
ACCESS-ESM1-5,351006,ssp585,Near,PRCPTOT,4.368,qm,6.152,1.044,1.062,1.709
ACCESS-ESM1-5,351006,ssp585,Near,PRCPTOT_dry,28.412,qm,17.32,1.284,1.173,-8.638
ACCESS-ESM1-5,351006,ssp585,Near,PRCPTOT_wet,-8.969,qm,-2.472,0.91,0.975,7.137
ACCESS-ESM1-5,351006,ssp585,Near,R10mm,-5.983,qm,11.765,0.94,1.118,18.877
ACCESS-ESM1-5,351006,ssp585,Near,R20mm,-9.524,qm,7.619,0.905,1.076,18.947
ACCESS-ESM1-5,351006,ssp585,Near,R50mm,-16.667,qm,,0.833,,
ACCESS-ESM1-5,351006,ssp585,Near,R95p,-4.835,qm,2.129,0.952,1.021,7.318
ACCESS-ESM1-5,351006,ssp585,Near,R99p,-38.282,qm,1.919,0.617,1.019,65.136
ACCESS-ESM1-5,351006,ssp585,Near,Rx1day,-8.188,qm,1.221,0.918,1.012,10.248
ACCESS-ESM1-5,351006,ssp585,Near,Rx5day,-11.673,qm,-7.58,0.883,0.924,4.634
ACCESS-ESM1-5,351006,ssp585,Near,SDII,1.796,qm,4.394,1.018,1.044,2.553
ACCESS-ESM1-5,351006,ssp585,Near,q50,7.698,qm,3.664,1.077,1.037,-3.745
ACCESS-ESM1-5,351006,ssp585,Near,q90,2.386,qm,7.153,1.024,1.072,4.656
ACCESS-ESM1-5,351006,ssp585,Near,q95,-6.193,qm,0.686,0.938,1.007,7.334
ACCESS-ESM1-5,351006,ssp585,Near,q99,-4.964,qm,0.783,0.95,1.008,6.047
ACCESS-ESM1-5,351006,ssp585,Near,wet_day_pct,6.072,qm,2.896,1.061,1.029,-2.995
ACCESS-ESM1-5,351007,ssp245,Near,CDD,1.365,qm,-5.346,1.014,0.947,-6.62
ACCESS-ESM1-5,351007,ssp245,Near,CWD,6.806,qm,15.344,1.068,1.153,7.994
ACCESS-ESM1-5,351007,ssp245,Near,PRCPTOT,5.727,qm,0.729,1.057,1.007,-4.727
ACCESS-ESM1-5,351007,ssp245,Near,PRCPTOT_dry,8.833,qm,4.253,1.088,1.043,-4.208
ACCESS-ESM1-5,351007,ssp245,Near,PRCPTOT_wet,3.939,qm,-2.445,1.039,0.976,-6.142
ACCESS-ESM1-5,351007,ssp245,Near,R10mm,-3.704,qm,-3.996,0.963,0.96,-0.303
ACCESS-ESM1-5,351007,ssp245,Near,R20mm,40.476,qm,-3.955,1.405,0.96,-31.629
ACCESS-ESM1-5,351007,ssp245,Near,R50mm,216.667,qm,,3.167,,
ACCESS-ESM1-5,351007,ssp245,Near,R95p,49.902,qm,1.807,1.499,1.018,-32.084
ACCESS-ESM1-5,351007,ssp245,Near,R99p,46.469,qm,41.861,1.465,1.419,-3.146
ACCESS-ESM1-5,351007,ssp245,Near,Rx1day,32.916,qm,11.9,1.329,1.119,-15.811
ACCESS-ESM1-5,351007,ssp245,Near,Rx5day,26.64,qm,5.252,1.266,1.053,-16.889
ACCESS-ESM1-5,351007,ssp245,Near,SDII,10.252,qm,0.647,1.103,1.006,-8.712
ACCESS-ESM1-5,351007,ssp245,Near,q50,3.068,qm,-2.142,1.031,0.979,-5.055
ACCESS-ESM1-5,351007,ssp245,Near,q90,4.214,qm,0.285,1.042,1.003,-3.77
ACCESS-ESM1-5,351007,ssp245,Near,q95,7.132,qm,0.688,1.071,1.007,-6.014
ACCESS-ESM1-5,351007,ssp245,Near,q99,49.495,qm,8.795,1.495,1.088,-27.225
ACCESS-ESM1-5,351007,ssp245,Near,wet_day_pct,-1.388,qm,1.072,0.986,1.011,2.495
ACCESS-ESM1-5,351007,ssp585,Near,CDD,3.184,qm,-10.692,1.032,0.893,-13.448
ACCESS-ESM1-5,351007,ssp585,Near,CWD,4.014,qm,23.598,1.04,1.236,18.828
ACCESS-ESM1-5,351007,ssp585,Near,PRCPTOT,4.368,qm,6.103,1.044,1.061,1.662
ACCESS-ESM1-5,351007,ssp585,Near,PRCPTOT_dry,28.412,qm,16.678,1.284,1.167,-9.138
ACCESS-ESM1-5,351007,ssp585,Near,PRCPTOT_wet,-8.969,qm,-2.248,0.91,0.978,7.383
ACCESS-ESM1-5,351007,ssp585,Near,R10mm,-5.983,qm,11.877,0.94,1.119,18.997
ACCESS-ESM1-5,351007,ssp585,Near,R20mm,-9.524,qm,-4.52,0.905,0.955,5.531
ACCESS-ESM1-5,351007,ssp585,Near,R50mm,-16.667,qm,,0.833,,
ACCESS-ESM1-5,351007,ssp585,Near,R95p,-8.586,qm,2.427,0.914,1.024,12.048
ACCESS-ESM1-5,351007,ssp585,Near,R99p,-32.399,qm,6.326,0.676,1.063,57.286
ACCESS-ESM1-5,351007,ssp585,Near,Rx1day,-8.188,qm,0.489,0.918,1.005,9.451
ACCESS-ESM1-5,351007,ssp585,Near,Rx5day,-11.673,qm,-7.412,0.883,0.926,4.824
ACCESS-ESM1-5,351007,ssp585,Near,SDII,1.796,qm,4.077,1.018,1.041,2.241
ACCESS-ESM1-5,351007,ssp585,Near,q50,7.698,qm,3.996,1.077,1.04,-3.437
ACCESS-ESM1-5,351007,ssp585,Near,q90,2.386,qm,6.901,1.024,1.069,4.411
ACCESS-ESM1-5,351007,ssp585,Near,q95,-6.193,qm,0.952,0.938,1.01,7.617
ACCESS-ESM1-5,351007,ssp585,Near,q99,-4.964,qm,0.476,0.95,1.005,5.724
ACCESS-ESM1-5,351007,ssp585,Near,wet_day_pct,6.072,qm,3.064,1.061,1.031,-2.836
ACCESS-ESM1-5,351008,ssp245,Near,CDD,1.365,qm,-6.405,1.014,0.936,-7.665
ACCESS-ESM1-5,351008,ssp245,Near,CWD,6.806,qm,17.967,1.068,1.18,10.449
ACCESS-ESM1-5,351008,ssp245,Near,PRCPTOT,5.727,qm,2.787,1.057,1.028,-2.781
ACCESS-ESM1-5,351008,ssp245,Near,PRCPTOT_dry,8.833,qm,5.857,1.088,1.059,-2.735
ACCESS-ESM1-5,351008,ssp245,Near,PRCPTOT_wet,3.939,qm,0.248,1.039,1.002,-3.552
ACCESS-ESM1-5,351008,ssp245,Near,R10mm,-3.704,qm,-3.579,0.963,0.964,0.129
ACCESS-ESM1-5,351008,ssp245,Near,R20mm,40.476,qm,-0.952,1.405,0.99,-29.492
