model,season_type,ENSO_phase,station,index,mag_err_raw,mag_err_qdm,delta_mag_err
MIROC6,HOT_DRY,EL_NINO,351003,R50mm,25.0,0.0,-25.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,R50mm,25.0,62.5,37.5
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,R95p,51.56,78.63,27.07
CanESM5,HOT_DRY,EL_NINO,351003,R95p,51.56,4.6,-46.96
CESM2,HOT_DRY,EL_NINO,351003,R95p,51.56,1038.12,986.56
EC-Earth3,HOT_DRY,EL_NINO,351003,R95p,51.56,19.41,-32.15
FGOALS-g3,HOT_DRY,EL_NINO,351003,R95p,56.48,53.62,-2.86
MIROC6,HOT_DRY,EL_NINO,351003,R95p,51.56,14.37,-37.19
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,R95p,51.56,21.06,-30.5
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,R99p,100.0,66.0,-34.0
CanESM5,HOT_DRY,EL_NINO,351003,R99p,100.0,66.79,-33.21
CESM2,HOT_DRY,EL_NINO,351003,R99p,100.0,100.0,0.0
EC-Earth3,HOT_DRY,EL_NINO,351003,R99p,100.0,160.58,60.58
FGOALS-g3,HOT_DRY,EL_NINO,351003,R99p,100.0,179.48,79.48
MIROC6,HOT_DRY,EL_NINO,351003,R99p,100.0,140.84,40.84
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,R99p,100.0,100.63,0.63
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,Rx1day,0.66,25.07,24.41
CanESM5,HOT_DRY,EL_NINO,351003,Rx1day,3.02,69.89,66.87
CESM2,HOT_DRY,EL_NINO,351003,Rx1day,57.27,266.82,209.55
EC-Earth3,HOT_DRY,EL_NINO,351003,Rx1day,47.0,25.31,-21.69
FGOALS-g3,HOT_DRY,EL_NINO,351003,Rx1day,13.83,89.95,76.12
MIROC6,HOT_DRY,EL_NINO,351003,Rx1day,86.57,32.73,-53.84
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,Rx1day,0.45,56.59,56.14
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,Rx5day,25.63,0.08,-25.55
CanESM5,HOT_DRY,EL_NINO,351003,Rx5day,13.08,134.04,120.96
CESM2,HOT_DRY,EL_NINO,351003,Rx5day,87.89,262.76,174.87
EC-Earth3,HOT_DRY,EL_NINO,351003,Rx5day,46.65,44.95,-1.7
FGOALS-g3,HOT_DRY,EL_NINO,351003,Rx5day,32.63,107.08,74.45
MIROC6,HOT_DRY,EL_NINO,351003,Rx5day,117.6,47.4,-70.2
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,Rx5day,17.28,54.8,37.52
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,SDII,2.0,4.74,2.74
CanESM5,HOT_DRY,EL_NINO,351003,SDII,18.33,36.4,18.07
CESM2,HOT_DRY,EL_NINO,351003,SDII,22.3,87.69,65.39
EC-Earth3,HOT_DRY,EL_NINO,351003,SDII,13.61,32.59,18.98
FGOALS-g3,HOT_DRY,EL_NINO,351003,SDII,18.5,49.9,31.4
MIROC6,HOT_DRY,EL_NINO,351003,SDII,42.51,7.67,-34.84
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,SDII,8.29,56.28,47.99
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,wet_day_freq,10.32,14.49,4.17
CanESM5,HOT_DRY,EL_NINO,351003,wet_day_freq,25.24,49.73,24.49
CESM2,HOT_DRY,EL_NINO,351003,wet_day_freq,35.42,117.49,82.07
EC-Earth3,HOT_DRY,EL_NINO,351003,wet_day_freq,28.95,58.67,29.72
FGOALS-g3,HOT_DRY,EL_NINO,351003,wet_day_freq,39.06,31.14,-7.92
MIROC6,HOT_DRY,EL_NINO,351003,wet_day_freq,38.23,41.43,3.2
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,wet_day_freq,33.45,15.14,-18.31
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,CDD,4.31,5.33,1.02
CanESM5,HOT_DRY,EL_NINO,351004,CDD,21.13,46.19,25.06
CESM2,HOT_DRY,EL_NINO,351004,CDD,5.3,8.7,3.4
EC-Earth3,HOT_DRY,EL_NINO,351004,CDD,9.89,15.0,5.11
FGOALS-g3,HOT_DRY,EL_NINO,351004,CDD,37.7,32.38,-5.32
MIROC6,HOT_DRY,EL_NINO,351004,CDD,38.69,20.0,-18.69
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,CDD,26.59,8.94,-17.65
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,CWD,0.31,21.73,21.42
CanESM5,HOT_DRY,EL_NINO,351004,CWD,7.97,130.95,122.98
CESM2,HOT_DRY,EL_NINO,351004,CWD,55.91,101.19,45.28
EC-Earth3,HOT_DRY,EL_NINO,351004,CWD,16.04,82.25,66.21
FGOALS-g3,HOT_DRY,EL_NINO,351004,CWD,50.59,101.19,50.6
MIROC6,HOT_DRY,EL_NINO,351004,CWD,91.93,77.38,-14.55
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,CWD,50.43,34.52,-15.91
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,PRCPTOT,1.32,22.76,21.44
CanESM5,HOT_DRY,EL_NINO,351004,PRCPTOT,1.16,94.07,92.91
CESM2,HOT_DRY,EL_NINO,351004,PRCPTOT,48.82,430.82,382.0
EC-Earth3,HOT_DRY,EL_NINO,351004,PRCPTOT,31.16,155.61,124.45
FGOALS-g3,HOT_DRY,EL_NINO,351004,PRCPTOT,18.06,56.76,38.7
MIROC6,HOT_DRY,EL_NINO,351004,PRCPTOT,102.88,20.86,-82.02
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,PRCPTOT,14.24,56.75,42.51
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,R20mm,10.71,47.62,36.91
CanESM5,HOT_DRY,EL_NINO,351004,R20mm,35.71,160.71,125.0
CESM2,HOT_DRY,EL_NINO,351004,R20mm,223.21,389.88,166.67
EC-Earth3,HOT_DRY,EL_NINO,351004,R20mm,129.46,173.21,43.75
FGOALS-g3,HOT_DRY,EL_NINO,351004,R20mm,26.79,49.6,22.81
MIROC6,HOT_DRY,EL_NINO,351004,R20mm,504.46,7.93,-496.53
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,R20mm,89.29,35.71,-53.58
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,R50mm,37.5,20.83,-16.67
CanESM5,HOT_DRY,EL_NINO,351004,R50mm,37.5,37.5,0.0
CESM2,HOT_DRY,EL_NINO,351004,R50mm,37.5,37.5,0.0
EC-Earth3,HOT_DRY,EL_NINO,351004,R50mm,37.5,93.75,56.25
FGOALS-g3,HOT_DRY,EL_NINO,351004,R50mm,62.5,104.17,41.67
MIROC6,HOT_DRY,EL_NINO,351004,R50mm,37.5,20.83,-16.67
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,R50mm,37.5,125.0,87.5
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,R95p,50.56,10.33,-40.23
CanESM5,HOT_DRY,EL_NINO,351004,R95p,50.56,111.03,60.47
CESM2,HOT_DRY,EL_NINO,351004,R95p,50.56,864.0,813.44
EC-Earth3,HOT_DRY,EL_NINO,351004,R95p,50.56,145.66,95.1
FGOALS-g3,HOT_DRY,EL_NINO,351004,R95p,0.0,118.85,118.85
MIROC6,HOT_DRY,EL_NINO,351004,R95p,50.56,16.43,-34.13
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,R95p,50.56,166.36,115.8
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,R99p,52.01,50.03,-1.98
CanESM5,HOT_DRY,EL_NINO,351004,R99p,52.01,43.99,-8.02
CESM2,HOT_DRY,EL_NINO,351004,R99p,52.01,52.01,0.0
EC-Earth3,HOT_DRY,EL_NINO,351004,R99p,52.01,159.16,107.15
FGOALS-g3,HOT_DRY,EL_NINO,351004,R99p,52.01,232.12,180.11
MIROC6,HOT_DRY,EL_NINO,351004,R99p,52.01,52.01,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,R99p,52.01,52.01,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,Rx1day,0.91,34.03,33.12
