source_type,model,season_type,station,index,A_LaNina_pct,A_ElNino_pct,ASYM_pct,A_LaNina_abs,A_ElNino_abs,ASYM_abs
OBSERVED,OBSERVED,RAINY,351006,CWD,-2.88,0.33,-3.21,-1.433,0.167,-1.6
OBSERVED,OBSERVED,RAINY,351006,PRCPTOT,10.75,4.57,6.18,96.99,41.25,55.74
OBSERVED,OBSERVED,RAINY,351006,R20mm,39.46,-18.92,58.38,2.433,-1.167,3.6
OBSERVED,OBSERVED,RAINY,351006,R50mm,380.0,-100.0,480.0,1.9,-0.5,2.4
OBSERVED,OBSERVED,RAINY,351006,R95p,64.0,-32.32,96.32,139.377,-70.383,209.76
OBSERVED,OBSERVED,RAINY,351006,R99p,121.31,-49.73,171.04,105.827,-43.383,149.21
OBSERVED,OBSERVED,RAINY,351006,Rx1day,-2.87,-35.2,32.33,-1.84,-22.6,20.76
OBSERVED,OBSERVED,RAINY,351006,Rx5day,91.89,-13.09,104.98,90.087,-12.833,102.92
OBSERVED,OBSERVED,RAINY,351006,SDII,30.31,-32.09,62.4,2.593,-2.745,5.338
OBSERVED,OBSERVED,RAINY,351006,wet_day_freq,-5.16,23.51,-28.67,-3.677,16.758,-20.435
OBSERVED,OBSERVED,RAINY,351007,CDD,37.65,32.35,5.3,2.133,1.833,0.3
OBSERVED,OBSERVED,RAINY,351007,CWD,-6.26,47.47,-53.73,-3.1,23.5,-26.6
OBSERVED,OBSERVED,RAINY,351007,PRCPTOT,6.7,4.2,2.5,60.357,37.817,22.54
OBSERVED,OBSERVED,RAINY,351007,R20mm,23.33,-50.0,73.33,1.4,-3.0,4.4
OBSERVED,OBSERVED,RAINY,351007,R50mm,200.0,-100.0,300.0,0.667,-0.333,1.0
OBSERVED,OBSERVED,RAINY,351007,R95p,44.42,-47.1,91.52,88.473,-93.817,182.29
OBSERVED,OBSERVED,RAINY,351007,R99p,136.8,-29.94,166.74,77.817,-17.033,94.85
OBSERVED,OBSERVED,RAINY,351007,Rx1day,50.99,-26.28,77.27,25.867,-13.333,39.2
OBSERVED,OBSERVED,RAINY,351007,Rx5day,48.31,-8.52,56.83,41.877,-7.383,49.26
OBSERVED,OBSERVED,RAINY,351007,SDII,21.09,-26.04,47.13,1.624,-2.005,3.629
OBSERVED,OBSERVED,RAINY,351007,wet_day_freq,-5.39,21.41,-26.8,-3.968,15.763,-19.731
OBSERVED,OBSERVED,RAINY,351008,CDD,-14.0,-20.0,6.0,-1.4,-2.0,0.6
OBSERVED,OBSERVED,RAINY,351008,CWD,8.13,3.85,4.28,2.467,1.167,1.3
OBSERVED,OBSERVED,RAINY,351008,PRCPTOT,-3.84,-14.47,10.63,-34.37,-129.55,95.18
OBSERVED,OBSERVED,RAINY,351008,R20mm,-7.0,-70.0,63.0,-0.467,-4.667,4.2
OBSERVED,OBSERVED,RAINY,351008,R50mm,-73.33,-100.0,26.67,-1.1,-1.5,0.4
OBSERVED,OBSERVED,RAINY,351008,R95p,-23.81,-80.04,56.23,-63.18,-212.35,149.17
OBSERVED,OBSERVED,RAINY,351008,R99p,-68.6,-100.0,31.4,-98.177,-143.117,44.94
OBSERVED,OBSERVED,RAINY,351008,Rx1day,-26.27,-56.01,29.74,-17.113,-36.483,19.37
OBSERVED,OBSERVED,RAINY,351008,Rx5day,-22.49,-48.25,25.76,-28.403,-60.933,32.53
OBSERVED,OBSERVED,RAINY,351008,SDII,-19.51,-42.83,23.32,-1.723,-3.783,2.06
OBSERVED,OBSERVED,RAINY,351008,wet_day_freq,11.02,21.13,-10.11,7.464,14.313,-6.849
OBSERVED,OBSERVED,RAINY,351009,CDD,-25.0,68.75,-93.75,-0.667,1.833,-2.5
OBSERVED,OBSERVED,RAINY,351009,CWD,23.01,59.41,-36.4,18.333,47.333,-29.0
OBSERVED,OBSERVED,RAINY,351009,PRCPTOT,4.86,-10.06,14.92,48.243,-99.967,148.21
OBSERVED,OBSERVED,RAINY,351009,R20mm,52.73,-72.73,125.46,0.967,-1.333,2.3
OBSERVED,OBSERVED,RAINY,351009,R50mm,-100.0,-100.0,0.0,-0.167,-0.167,0.0
OBSERVED,OBSERVED,RAINY,351009,R95p,14.54,-33.36,47.9,24.857,-57.033,81.89
OBSERVED,OBSERVED,RAINY,351009,R99p,35.95,-77.67,113.62,20.287,-43.833,64.12
