season_type,ENSO_phase,station,index,observed_pct_response,raw_dir_agreement,qdm_dir_agreement
HOT_DRY,LA_NINA,351002,R20mm,48.15,0.43,0.57
HOT_DRY,LA_NINA,351002,R50mm,38.89,0.14,0.14
HOT_DRY,LA_NINA,351002,R95p,70.43,0.0,0.0
HOT_DRY,LA_NINA,351002,R99p,-45.93,0.0,0.14
HOT_DRY,LA_NINA,351002,Rx1day,17.1,0.57,0.29
HOT_DRY,LA_NINA,351002,Rx5day,37.59,0.57,0.29
HOT_DRY,LA_NINA,351002,SDII,5.01,0.43,0.14
HOT_DRY,LA_NINA,351002,wet_day_freq,10.12,0.57,0.71
HOT_DRY,LA_NINA,351003,CDD,-2.45,0.29,0.71
HOT_DRY,LA_NINA,351003,CWD,-22.22,0.43,0.43
HOT_DRY,LA_NINA,351003,PRCPTOT,13.62,0.57,0.57
HOT_DRY,LA_NINA,351003,R20mm,19.05,0.43,0.57
HOT_DRY,LA_NINA,351003,R50mm,-16.67,0.0,0.71
HOT_DRY,LA_NINA,351003,R95p,83.47,0.14,0.43
HOT_DRY,LA_NINA,351003,R99p,-47.88,0.0,0.71
HOT_DRY,LA_NINA,351003,Rx1day,1.36,0.57,0.29
HOT_DRY,LA_NINA,351003,Rx5day,-13.94,0.43,0.57
HOT_DRY,LA_NINA,351003,SDII,34.12,0.43,0.29
HOT_DRY,LA_NINA,351003,wet_day_freq,9.3,0.57,0.71
HOT_DRY,LA_NINA,351004,CDD,-7.67,0.29,0.71
HOT_DRY,LA_NINA,351004,CWD,-10.05,0.43,0.57
HOT_DRY,LA_NINA,351004,PRCPTOT,-8.7,0.43,0.43
HOT_DRY,LA_NINA,351004,R20mm,38.89,0.43,0.57
HOT_DRY,LA_NINA,351004,R50mm,-44.44,0.0,0.86
HOT_DRY,LA_NINA,351004,R95p,-46.55,0.14,0.71
HOT_DRY,LA_NINA,351004,R99p,-50.12,0.0,0.57
HOT_DRY,LA_NINA,351004,Rx1day,-21.59,0.43,0.71
HOT_DRY,LA_NINA,351004,Rx5day,-9.1,0.43,0.71
HOT_DRY,LA_NINA,351004,SDII,-2.13,0.57,0.71
HOT_DRY,LA_NINA,351004,wet_day_freq,1.61,0.57,0.57
HOT_DRY,LA_NINA,351005,CDD,-1.95,0.29,0.29
HOT_DRY,LA_NINA,351005,CWD,-41.8,0.43,0.57
HOT_DRY,LA_NINA,351005,PRCPTOT,21.64,0.57,0.57
HOT_DRY,LA_NINA,351005,R20mm,14.38,0.43,0.57
HOT_DRY,LA_NINA,351005,R50mm,122.22,0.14,0.0
HOT_DRY,LA_NINA,351005,R95p,283.17,0.29,0.29
HOT_DRY,LA_NINA,351005,R99p,0.0,1.0,0.71
HOT_DRY,LA_NINA,351005,Rx1day,37.35,0.57,0.43
HOT_DRY,LA_NINA,351005,Rx5day,37.95,0.57,0.57
HOT_DRY,LA_NINA,351005,SDII,41.13,0.43,0.14
HOT_DRY,LA_NINA,351005,wet_day_freq,-13.53,0.43,0.43
HOT_DRY,LA_NINA,351006,CDD,5.32,0.57,0.14
HOT_DRY,LA_NINA,351006,CWD,66.67,0.57,0.43
HOT_DRY,LA_NINA,351006,PRCPTOT,-13.97,0.43,0.43
HOT_DRY,LA_NINA,351006,R20mm,-23.28,0.43,0.43
HOT_DRY,LA_NINA,351006,R50mm,-55.56,0.0,0.57
HOT_DRY,LA_NINA,351006,R95p,-43.08,0.43,0.43
HOT_DRY,LA_NINA,351006,R99p,-59.44,0.0,0.43
HOT_DRY,LA_NINA,351006,Rx1day,-35.78,0.43,0.57
HOT_DRY,LA_NINA,351006,Rx5day,-22.84,0.43,0.57
HOT_DRY,LA_NINA,351006,SDII,-32.7,0.57,0.57
HOT_DRY,LA_NINA,351006,wet_day_freq,31.32,0.71,0.57
HOT_DRY,LA_NINA,351007,CDD,-21.92,0.43,0.57
HOT_DRY,LA_NINA,351007,CWD,70.25,0.57,0.57
HOT_DRY,LA_NINA,351007,PRCPTOT,4.02,0.57,0.57
HOT_DRY,LA_NINA,351007,R20mm,-17.99,0.29,0.43
HOT_DRY,LA_NINA,351007,R50mm,-25.93,0.0,0.14
HOT_DRY,LA_NINA,351007,R95p,-22.31,0.29,0.43
HOT_DRY,LA_NINA,351007,R99p,-33.5,0.14,0.43
HOT_DRY,LA_NINA,351007,Rx1day,-22.51,0.57,0.57
HOT_DRY,LA_NINA,351007,Rx5day,2.59,0.57,0.57
HOT_DRY,LA_NINA,351007,SDII,-31.54,0.43,0.43
HOT_DRY,LA_NINA,351007,wet_day_freq,39.46,0.71,0.57
HOT_DRY,LA_NINA,351008,CDD,-17.7,0.29,0.57
HOT_DRY,LA_NINA,351008,CWD,117.39,0.57,0.43
HOT_DRY,LA_NINA,351008,PRCPTOT,-5.68,0.43,0.43
HOT_DRY,LA_NINA,351008,R20mm,-28.57,0.43,0.43
HOT_DRY,LA_NINA,351008,R50mm,-92.06,0.0,0.14
HOT_DRY,LA_NINA,351008,R95p,-51.18,0.43,0.43
HOT_DRY,LA_NINA,351008,R99p,-79.82,0.0,0.57
HOT_DRY,LA_NINA,351008,Rx1day,-56.58,0.43,0.57
HOT_DRY,LA_NINA,351008,Rx5day,-40.35,0.43,0.43
HOT_DRY,LA_NINA,351008,SDII,-62.36,0.57,0.43
HOT_DRY,LA_NINA,351008,wet_day_freq,77.54,0.57,0.57
HOT_DRY,LA_NINA,351009,CDD,-23.36,0.29,0.43
HOT_DRY,LA_NINA,351009,CWD,59.72,0.57,0.57
HOT_DRY,LA_NINA,351009,PRCPTOT,33.93,0.57,0.57
HOT_DRY,LA_NINA,351009,R20mm,66.67,0.43,0.43
HOT_DRY,LA_NINA,351009,R50mm,0.0,0.86,0.71
HOT_DRY,LA_NINA,351009,R95p,14.65,0.43,0.57
HOT_DRY,LA_NINA,351009,R99p,38.76,0.43,0.43
HOT_DRY,LA_NINA,351009,Rx1day,4.55,0.57,0.43
HOT_DRY,LA_NINA,351009,Rx5day,23.62,0.57,0.57
HOT_DRY,LA_NINA,351009,SDII,-0.92,0.57,0.57
HOT_DRY,LA_NINA,351009,wet_day_freq,33.42,0.57,0.57
HOT_DRY,LA_NINA,351010,CDD,-12.42,0.29,0.71
HOT_DRY,LA_NINA,351010,CWD,42.36,0.57,0.43
HOT_DRY,LA_NINA,351010,PRCPTOT,26.11,0.57,0.57
HOT_DRY,LA_NINA,351010,R20mm,122.22,0.43,0.57
HOT_DRY,LA_NINA,351010,R50mm,0.0,0.86,0.57
HOT_DRY,LA_NINA,351010,R95p,-5.46,0.57,0.43
HOT_DRY,LA_NINA,351010,R99p,166.1,0.43,0.57
HOT_DRY,LA_NINA,351010,Rx1day,6.95,0.57,0.29
HOT_DRY,LA_NINA,351010,Rx5day,18.32,0.57,0.43
HOT_DRY,LA_NINA,351010,SDII,-6.39,0.57,0.71
HOT_DRY,LA_NINA,351010,wet_day_freq,36.54,0.71,0.71
HOT_DRY,LA_NINA,351011,CDD,21.09,0.71,0.57
HOT_DRY,LA_NINA,351011,CWD,8.59,0.57,0.71
HOT_DRY,LA_NINA,351011,PRCPTOT,4.23,0.57,0.57
HOT_DRY,LA_NINA,351011,R20mm,13.25,0.43,0.0
HOT_DRY,LA_NINA,351011,R50mm,55.56,0.14,0.0
HOT_DRY,LA_NINA,351011,R95p,2.88,0.0,0.0
HOT_DRY,LA_NINA,351011,R99p,-79.71,0.0,0.0
HOT_DRY,LA_NINA,351011,Rx1day,-41.12,0.43,0.57
HOT_DRY,LA_NINA,351011,Rx5day,-16.91,0.43,0.86
HOT_DRY,LA_NINA,351011,SDII,-0.82,0.57,0.43
HOT_DRY,LA_NINA,351011,wet_day_freq,5.21,0.57,0.57
HOT_DRY,LA_NINA,351012,CDD,-21.42,0.29,0.57
HOT_DRY,LA_NINA,351012,CWD,17.65,0.57,0.29
HOT_DRY,LA_NINA,351012,PRCPTOT,57.07,0.57,0.57
HOT_DRY,LA_NINA,351012,R20mm,75.21,0.43,0.57
HOT_DRY,LA_NINA,351012,R50mm,22.22,0.14,0.29
HOT_DRY,LA_NINA,351012,R95p,46.64,0.0,0.43
HOT_DRY,LA_NINA,351012,R99p,0.0,1.0,0.86
HOT_DRY,LA_NINA,351012,Rx1day,33.58,0.57,0.29
HOT_DRY,LA_NINA,351012,Rx5day,40.33,0.57,0.43
HOT_DRY,LA_NINA,351012,SDII,12.01,0.43,0.43
HOT_DRY,LA_NINA,351012,wet_day_freq,25.63,0.71,0.71
HOT_DRY,LA_NINA,351201,CDD,1.51,0.71,0.57
HOT_DRY,LA_NINA,351201,CWD,-0.97,0.43,0.43
HOT_DRY,LA_NINA,351201,PRCPTOT,9.84,0.57,0.57
HOT_DRY,LA_NINA,351201,R20mm,43.52,0.43,0.57
HOT_DRY,LA_NINA,351201,R50mm,-22.22,0.0,0.71
HOT_DRY,LA_NINA,351201,R95p,-25.05,0.0,0.57
HOT_DRY,LA_NINA,351201,R99p,-59.18,0.0,0.43
HOT_DRY,LA_NINA,351201,Rx1day,-19.37,0.43,0.71
HOT_DRY,LA_NINA,351201,Rx5day,1.25,0.57,0.29
HOT_DRY,LA_NINA,351201,SDII,2.44,0.43,0.29
HOT_DRY,LA_NINA,351201,wet_day_freq,0.96,0.57,0.71
RAINY,EL_NINO,351001,CDD,38.46,0.43,0.29
