model,season_type,ENSO_phase,station,index,R_RAW_pct,R_QDM_pct,PE_ENSO_pct
MIROC6,HOT_DRY,EL_NINO,351002,R50mm,0.0,-100.0,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,R50mm,0.0,0.0,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,R95p,0.0,-100.0,0.0
CanESM5,HOT_DRY,EL_NINO,351002,R95p,0.0,111.76,0.0
CESM2,HOT_DRY,EL_NINO,351002,R95p,0.0,0.0,0.0
EC-Earth3,HOT_DRY,EL_NINO,351002,R95p,0.0,-58.99,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351002,R95p,-4.92,236.89,-4914.84
MIROC6,HOT_DRY,EL_NINO,351002,R95p,0.0,-62.58,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,R95p,0.0,0.0,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,R99p,0.0,-100.0,0.0
CanESM5,HOT_DRY,EL_NINO,351002,R99p,0.0,0.0,0.0
CESM2,HOT_DRY,EL_NINO,351002,R99p,0.0,0.0,0.0
EC-Earth3,HOT_DRY,EL_NINO,351002,R99p,0.0,0.0,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351002,R99p,0.0,0.0,0.0
MIROC6,HOT_DRY,EL_NINO,351002,R99p,0.0,0.0,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,R99p,0.0,0.0,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,Rx1day,-57.71,-34.75,-39.79
CanESM5,HOT_DRY,EL_NINO,351002,Rx1day,-26.75,34.58,-229.27
CESM2,HOT_DRY,EL_NINO,351002,Rx1day,11.75,274.88,2239.4
EC-Earth3,HOT_DRY,EL_NINO,351002,Rx1day,32.69,-1.55,-104.74
FGOALS-g3,HOT_DRY,EL_NINO,351002,Rx1day,-9.9,126.94,-1382.22
MIROC6,HOT_DRY,EL_NINO,351002,Rx1day,111.83,-36.18,-132.35
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,Rx1day,-24.18,142.32,-688.59
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,Rx5day,-61.03,-56.92,-6.73
CanESM5,HOT_DRY,EL_NINO,351002,Rx5day,-31.47,67.91,-315.79
CESM2,HOT_DRY,EL_NINO,351002,Rx5day,20.58,241.58,1073.86
EC-Earth3,HOT_DRY,EL_NINO,351002,Rx5day,8.8,-25.03,-384.43
FGOALS-g3,HOT_DRY,EL_NINO,351002,Rx5day,-11.92,115.36,-1067.79
MIROC6,HOT_DRY,EL_NINO,351002,Rx5day,107.18,-22.76,-121.24
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,Rx5day,-27.27,87.06,-419.25
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,SDII,-13.13,5.7,-143.41
CanESM5,HOT_DRY,EL_NINO,351002,SDII,-25.39,57.87,-327.92
CESM2,HOT_DRY,EL_NINO,351002,SDII,11.69,94.72,710.27
EC-Earth3,HOT_DRY,EL_NINO,351002,SDII,9.53,4.45,-53.31
FGOALS-g3,HOT_DRY,EL_NINO,351002,SDII,-25.56,73.85,-388.93
MIROC6,HOT_DRY,EL_NINO,351002,SDII,54.99,-34.88,-163.43
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,SDII,-15.35,87.6,-670.68
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,wet_day_freq,-19.98,-53.08,165.67
CanESM5,HOT_DRY,EL_NINO,351002,wet_day_freq,0.51,25.0,4801.96
CESM2,HOT_DRY,EL_NINO,351002,wet_day_freq,12.78,123.08,863.07
EC-Earth3,HOT_DRY,EL_NINO,351002,wet_day_freq,3.76,51.92,1280.85
FGOALS-g3,HOT_DRY,EL_NINO,351002,wet_day_freq,14.33,1.13,-92.11
MIROC6,HOT_DRY,EL_NINO,351002,wet_day_freq,17.1,34.51,101.81
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,wet_day_freq,8.72,-5.48,-162.84
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,CDD,-20.99,-19.72,-6.05
CanESM5,HOT_DRY,EL_NINO,351003,CDD,-4.17,15.61,-474.34
CESM2,HOT_DRY,EL_NINO,351003,CDD,-11.46,-37.61,228.18
EC-Earth3,HOT_DRY,EL_NINO,351003,CDD,-15.41,-34.94,126.74
FGOALS-g3,HOT_DRY,EL_NINO,351003,CDD,12.4,23.12,86.45
MIROC6,HOT_DRY,EL_NINO,351003,CDD,-20.7,-8.94,-56.81
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,CDD,1.29,16.27,1161.24
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,CWD,-34.21,-42.71,24.85
CanESM5,HOT_DRY,EL_NINO,351003,CWD,-26.55,81.82,-408.17
CESM2,HOT_DRY,EL_NINO,351003,CWD,19.05,71.87,277.27
