model,scenario,window,index,delta_abs_Bias-corrected,delta_abs_Raw,delta_pct_Bias-corrected,delta_pct_Raw,sign_preserved,abs_pct_difference
CESM2,ssp245,Near-term,PRCPTOT,-96.1237307692304,-46.78524269230729,-8.440964581694118,-4.65017872919556,True,3.7907858524985576
CESM2,ssp245,Near-term,R10mm,-3.842307692307692,-2.30769230769231,-10.355550948481392,-12.381345439537776,True,2.0257944910563843
CESM2,ssp245,Near-term,R20mm,-1.7384615384615412,-1.3192307692307708,-10.79789775441951,-20.56354916067148,True,9.76565140625197
CESM2,ssp245,Near-term,R50mm,-0.05769230769230749,-0.0461538461538461,-2.4671052631578863,-7.94701986754966,True,5.479914604391773
CESM2,ssp245,Near-term,R95p,-29.77880769230768,0.42550769230774677,-7.715844103971342,0.32874749320828867,False,8.04459159717963
CESM2,ssp245,Near-term,R99p,-6.460769230769216,-2.6177769230769172,-4.014483495521039,-5.533597673459984,True,1.5191141779389454
CESM2,ssp245,Near-term,Rx1day,-9.715576923076938,-6.497034615384614,-12.331591192899191,-13.358399012450723,True,1.0268078195515322
CESM2,ssp245,Near-term,Rx5day,-13.397961538461544,-10.631546269230753,-7.501115433115362,-9.165981302101581,True,1.6648658689862197
CESM2,ssp245,Near-term,SDII,-0.16874115423498637,-0.04387459579062458,-1.356479242198864,-1.02304101097535,True,0.333438231223514
CESM2,ssp585,Long-term,CDD,12.57692307692308,11.765384615384619,21.2918348743326,88.74383521903108,True,67.45200034469849
CESM2,ssp585,Long-term,CWD,-2.138461538461536,-9.730769230769237,-18.54569713142093,-33.77837116154875,True,15.232674030127818
CESM2,ssp585,Long-term,PRCPTOT,-532.1250769230764,-411.74410961538433,-46.72778398626971,-40.92494962561879,True,5.802834360650927
CESM2,ssp585,Long-term,R10mm,-18.9576923076923,-11.411538461538463,-51.09360422929407,-61.22575319851424,True,10.132148969220168
CESM2,ssp585,Long-term,R20mm,-10.011538461538464,-4.469230769230769,-62.183468705207844,-69.66426858513188,True,7.480799879924035
CESM2,ssp585,Long-term,R50mm,-1.6038461538461535,-0.40384615384615374,-68.58552631578947,-69.53642384105959,True,0.950897525270122
CESM2,ssp585,Long-term,R95p,-248.99965384615385,-86.21449999999997,-64.51710662398473,-66.6093733805103,True,2.092266756525575
