model,station,variant,scale,n,r,rmse,mae,pbias_pct,nse,kge
CanESM5,351005,Raw,Daily,12410,0.046954044979233146,11.120934135414997,5.587714343271555,39.098837889586214,-0.4840160963742839,-0.06440462394114155
CanESM5,351005,Raw,Monthly,408,0.34226124089216425,117.01752948340479,84.07896323529413,39.09846798620363,-0.7803531095141458,0.21015424916574643
CanESM5,351005,Bias-corrected,Daily,12410,0.030577367450576952,12.924763693274796,4.978830781627719,-8.875199446867354,-1.0044780152884236,0.025969144902512786
CanESM5,351005,Bias-corrected,Monthly,408,0.35508937887899955,117.64851868499879,72.52811274509804,-8.875441773636382,-0.7996051375056776,0.27780871782958527
CanESM5,351006,Raw,Daily,12410,0.08158936347599227,9.114778419318794,4.682967526188557,34.12015671835058,-0.8650532058837888,0.02025598169725873
CanESM5,351006,Raw,Monthly,408,0.4423157572800796,107.06999485414286,74.81836029411765,34.102620176900395,-0.5570519895453807,0.30955459055022705
CanESM5,351006,Bias-corrected,Daily,12410,0.05277075008010168,11.051764783361643,4.724988718775181,-8.029584691242796,-1.741967237788542,-0.02122931909968573
CanESM5,351006,Bias-corrected,Monthly,408,0.4274899435311195,109.30203737696247,67.65963235294117,-8.041610049993585,-0.6226470502662538,0.33900150845554033
CanESM5,351007,Raw,Daily,12410,0.07882362772541956,9.306725444208393,4.724000564061241,27.894936696480535,-0.7880894965091947,0.036692538622386195
CanESM5,351007,Raw,Monthly,408,0.4537637299589562,103.71888738801316,73.1169730392157,27.877114407183658,-0.5679453495010482,0.3314697564221223
CanESM5,351007,Bias-corrected,Daily,12410,0.07046038643310215,9.499381197031251,4.330049959709911,-15.250108806744544,-0.8628851436791918,0.0580334137919678
CanESM5,351007,Bias-corrected,Monthly,408,0.4947562537431085,92.04397595075697,58.368676470588234,-15.261918790139818,-0.23482656278092584,0.44784577862817976
CanESM5,351008,Raw,Daily,12410,0.08335021193121035,9.057888577821837,4.6837599516518935,35.76888255555295,-0.8862229450316328,0.015944491172937614
CanESM5,351008,Raw,Monthly,408,0.5273341043295796,97.61817534593698,68.39797794117646,35.716746538111266,-0.6271847909063248,0.30126256014588415
CanESM5,351008,Bias-corrected,Daily,12410,0.06634204476901552,8.987685748221466,4.106029814665592,-16.885789707290876,-0.8570980478247932,0.05115368253929009
CanESM5,351008,Bias-corrected,Monthly,408,0.47857045944362786,88.51782916258658,58.39889705882353,-16.91770603329951,-0.33794115922915857,0.4157769428040361
CanESM5,351009,Raw,Daily,12410,0.15956196459053187,7.312899124883179,4.162761402095085,27.55249463519313,-2.201684647189155,-0.08891395985521222
CanESM5,351009,Raw,Monthly,408,0.5952159379130091,89.57829597525777,63.43067892156862,27.53196910368503,-0.43010757901168306,0.3677445788641256
CanESM5,351009,Bias-corrected,Daily,12410,0.16150656704372873,7.272006026113813,3.936535858178888,-16.56913285212641,-2.1659776755509643,-0.06537036279106534
CanESM5,351009,Bias-corrected,Monthly,408,0.6645542927753043,73.51140436234046,49.97718137254902,-16.582558406031016,0.036897402855164296,0.5440307592678146
CanESM5,351010,Raw,Daily,12410,0.14609293566662374,7.425789903416723,4.20137574536664,30.789705698497237,-2.1130095637411084,-0.08146632916320606
CanESM5,351010,Raw,Monthly,408,0.5631384813483049,93.07558250083692,66.06615931372549,30.7602794860257,-0.5555000214018606,0.3293496753551288
CanESM5,351010,Bias-corrected,Daily,12410,0.1327537840214116,7.720982069506901,4.032136180499597,-18.430400320056005,-2.3654274088555307,-0.1113002153371816
CanESM5,351010,Bias-corrected,Monthly,408,0.6070332711880227,78.94817574324485,51.97149509803921,-18.44875256237188,-0.1191355564913974,0.49298751656401174
CanESM5,351011,Raw,Daily,12410,0.03698105258030462,12.498699827012146,5.667259709911362,38.887573948785494,-0.3528403237660984,-0.10525047774033447
CanESM5,351011,Raw,Monthly,408,0.37669537181177587,120.70718531550501,83.67362990196078,38.817540777384416,-0.41352072935643713,0.26496394082540986
CanESM5,351011,Bias-corrected,Daily,12410,0.024248581345504554,11.928575937303773,4.914787268331991,7.955375824455949,-0.2322364830641621,-0.09645541646687761
CanESM5,351011,Bias-corrected,Monthly,408,0.2546928464677458,120.59356968252706,79.10625,7.900940016241962,-0.4108610290160015,0.248172005744274
CanESM5,351012,Raw,Daily,12410,0.05419533889939244,11.816165829066552,5.3674668009669615,62.98586287266926,-0.40277086744337653,-0.18332405134497054
CanESM5,351012,Raw,Monthly,408,0.43268285435097986,118.11864622823809,86.17614460784313,62.945244355280884,-0.5149085078159394,0.14754517573019232
CanESM5,351012,Bias-corrected,Daily,12410,0.01586290704358012,14.778880689958417,5.731025785656728,57.9237399042776,-1.1944044210196822,-0.14618711747623458
CanESM5,351012,Bias-corrected,Monthly,408,0.22364518803073938,161.56317535300875,102.09325980392157,57.88438294372731,-1.8342244701900485,-0.09526408116062912
CanESM5,351201,Raw,Daily,12410,0.0663108895133506,11.356038592521019,5.476954311039484,44.474963195386245,-0.4160231432153414,-0.07675496057876763
CanESM5,351201,Raw,Monthly,408,0.44658694424075773,112.70786551978952,80.53398284313725,44.47456414619055,-0.40135462776484254,0.28279940152276395
CanESM5,351201,Bias-corrected,Daily,12410,0.040823013805207364,14.529132772802859,5.722887993553585,33.443834640253904,-1.317907053005134,-0.03251693547946144
CanESM5,351201,Bias-corrected,Monthly,408,0.3142147049737449,149.71302755801926,93.29215686274509,33.44346605974898,-1.4726280273036383,0.07191842461420406
CESM2,351001,Raw,Daily,12410,0.06560245159992313,10.626340807325194,4.528133763094279,7.308425228458737,-0.18652943874183014,-0.06135575271209914
CESM2,351001,Raw,Monthly,408,0.4194966626592537,91.64694902942466,65.98895098039216,7.297023858712979,0.1370206895607594,0.29522848272621327
CESM2,351001,Bias-corrected,Daily,12410,0.06891647607303415,13.345093065251572,4.879425463336019,12.162359205648286,-0.8713466778903891,0.06099664776997771
CESM2,351001,Bias-corrected,Monthly,408,0.4883598221571516,106.40393398922032,68.2040931372549,12.15044211222212,-0.16326786412011662,0.46193638878048426
