model,station,index,bc_hist_mean,obs_mean,bias_abs,bias_pct
CanESM5,351001,R10mm,30.6,28.45,2.150000000000002,7.557117750439375
CanESM5,351001,R20mm,15.2,15.15,0.049999999999998934,0.330033003300323
CanESM5,351001,R50mm,2.45,2.95,-0.5,-16.94915254237288
CanESM5,351001,R95p,239.2935,267.175,-27.881500000000017,-10.435669505006087
CanESM5,351001,R99p,64.313,96.975,-32.66199999999999,-33.680845578757406
CanESM5,351001,Rx1day,80.7,102.19500000000001,-21.495000000000005,-21.033318655511525
CanESM5,351001,Rx5day,176.6325,170.39000000000001,6.242499999999978,3.663653970303409
CanESM5,351001,SDII,13.777259714997362,12.152706418698024,1.6245532962993376,13.36783133179139
CanESM5,351002,CDD,76.55,59.8,16.75,28.010033444816056
CanESM5,351002,CWD,6.95,9.75,-2.8,-28.71794871794872
CanESM5,351002,PRCPTOT,711.043,1046.465,-335.4219999999999,-32.05286368870434
CanESM5,351002,R10mm,24.3,32.1,-7.800000000000001,-24.29906542056075
CanESM5,351002,R20mm,9.8,16.1,-6.300000000000001,-39.1304347826087
CanESM5,351002,R50mm,0.9,3.1,-2.2,-70.96774193548387
CanESM5,351002,R95p,101.2875,292.915,-191.62750000000003,-65.42085587969207
CanESM5,351002,R99p,24.8275,96.6,-71.7725,-74.29865424430642
CanESM5,351002,Rx1day,57.902499999999996,81.535,-23.6325,-28.98448519040903
CanESM5,351002,Rx5day,128.50799999999998,157.66500000000002,-29.15700000000004,-18.493007325658855
CanESM5,351002,SDII,10.799918036238557,13.168351679857171,-2.368433643618614,-17.985801877097977
CanESM5,351003,CDD,69.3,44.7,24.599999999999994,55.03355704697985
CanESM5,351003,CWD,6.65,50.6,-43.95,-86.85770750988142
CanESM5,351003,PRCPTOT,866.2639999999999,1411.8899999999999,-545.626,-38.64507858260913
CanESM5,351003,R10mm,27.85,40.6,-12.75,-31.403940886699505
CanESM5,351003,R20mm,13.85,16.45,-2.5999999999999996,-15.805471124620057
CanESM5,351003,R50mm,2.05,2.95,-0.9000000000000004,-30.508474576271194
CanESM5,351003,R95p,241.362,310.125,-68.763,-22.1726723095526
CanESM5,351003,R99p,81.12100000000001,90.52000000000001,-9.399000000000001,-10.383340698188245
CanESM5,351003,Rx1day,79.793,76.995,2.798000000000002,3.6340022079355823
CanESM5,351003,Rx5day,161.251,134.19,27.061000000000007,20.16618227885834
CanESM5,351003,SDII,13.424398336480218,11.782532762553084,1.6418655739271344,13.934742274982385
CanESM5,351004,CDD,88.95,61.3,27.650000000000006,45.10603588907016
CanESM5,351004,CWD,5.65,7.65,-2.0,-26.143790849673202
CanESM5,351004,PRCPTOT,858.0615,1080.7050000000002,-222.64350000000013,-20.60169056310465
CanESM5,351004,R10mm,27.7,31.85,-4.150000000000002,-13.029827315541608
CanESM5,351004,R20mm,15.45,16.7,-1.25,-7.485029940119761
