model,scenario,station,index,future_mean,window,obs_baseline,model_baseline,delta_obs_abs,delta_obs_pct,delta_model_abs,delta_model_pct
ACCESS-ESM1-5,ssp245,351201,PRCPTOT,1365.592,Near-term,1090.825,1386.0455,274.76700000000005,25.188916645658107,-20.45349999999985,-1.4756730569090155
ACCESS-ESM1-5,ssp245,351201,R10mm,41.7,Near-term,31.15,43.15,10.550000000000004,33.868378812199055,-1.4499999999999957,-3.360370799536491
ACCESS-ESM1-5,ssp245,351201,R20mm,21.05,Near-term,15.45,22.8,5.600000000000001,36.245954692556644,-1.75,-7.675438596491228
ACCESS-ESM1-5,ssp245,351201,R50mm,4.3,Near-term,3.2,4.55,1.0999999999999996,34.374999999999986,-0.25,-5.4945054945054945
ACCESS-ESM1-5,ssp245,351201,R95p,452.7505,Near-term,323.06,457.38,129.6905,40.14440042097443,-4.629500000000007,-1.0121780576326047
ACCESS-ESM1-5,ssp245,351201,R99p,166.2395,Near-term,124.1,140.63899999999998,42.1395,33.95608380338437,25.60050000000001,18.202987791437664
ACCESS-ESM1-5,ssp245,351201,Rx1day,105.521,Near-term,98.265,87.291,7.256,7.38411438457233,18.230000000000004,20.88416904377313
ACCESS-ESM1-5,ssp245,351201,Rx5day,231.583,Near-term,180.43,229.337,51.15299999999999,28.350606883555944,2.2460000000000093,0.9793448069871017
ACCESS-ESM1-5,ssp245,351201,SDII,14.406799891547845,Near-term,11.589308549365157,14.749966898587834,2.817491342182688,24.311125466903075,-0.34316700703998926,-2.3265612011159438
ACCESS-ESM1-5,ssp585,351001,CDD,57.2,Near-term,57.05,63.45,0.15000000000000568,0.26292725679229745,-6.25,-9.850275807722616
ACCESS-ESM1-5,ssp585,351001,CWD,10.05,Near-term,8.6,8.35,1.450000000000001,16.860465116279084,1.700000000000001,20.359281437125762
ACCESS-ESM1-5,ssp585,351001,PRCPTOT,1157.031,Near-term,984.85,1086.7469999999998,172.18099999999993,17.482966949281607,70.2840000000001,6.467374651137764
ACCESS-ESM1-5,ssp585,351001,R10mm,37.7,Near-term,28.45,34.8,9.250000000000004,32.51318101933217,2.9000000000000057,8.33333333333335
ACCESS-ESM1-5,ssp585,351001,R20mm,18.95,Near-term,15.15,17.65,3.799999999999999,25.082508250825075,1.3000000000000007,7.365439093484423
ACCESS-ESM1-5,ssp585,351001,R50mm,3.3,Near-term,2.95,3.0,0.34999999999999964,11.864406779661005,0.2999999999999998,9.999999999999995
ACCESS-ESM1-5,ssp585,351001,R95p,290.3025,Near-term,267.175,288.5935,23.127499999999998,8.656311406381585,1.7090000000000032,0.5921824296112016
ACCESS-ESM1-5,ssp585,351001,R99p,70.7865,Near-term,96.975,92.115,-26.18849999999999,-27.00541376643464,-21.32849999999999,-23.15420941214785
ACCESS-ESM1-5,ssp585,351001,Rx1day,70.7055,Near-term,102.19500000000001,78.9725,-31.489500000000007,-30.81315132834288,-8.266999999999996,-10.468200956028992
ACCESS-ESM1-5,ssp585,351001,Rx5day,181.498,Near-term,170.39000000000001,212.067,11.107999999999976,6.519161922648027,-30.569000000000017,-14.41478400694121
ACCESS-ESM1-5,ssp585,351001,SDII,14.188700133425737,Near-term,12.152706418698024,14.136938067066959,2.035993714727713,16.753418083030088,0.051762066358778114,0.36614764889832596
ACCESS-ESM1-5,ssp585,351002,CDD,63.35,Near-term,59.8,76.75,3.5500000000000043,5.936454849498336,-13.399999999999999,-17.459283387622147
ACCESS-ESM1-5,ssp585,351002,CWD,10.05,Near-term,9.75,8.25,0.3000000000000007,3.076923076923084,1.8000000000000007,21.818181818181824
ACCESS-ESM1-5,ssp585,351002,PRCPTOT,882.2774999999999,Near-term,1046.465,819.5,-164.1875,-15.689726842273751,62.77749999999992,7.660463697376439
ACCESS-ESM1-5,ssp585,351002,R10mm,30.3,Near-term,32.1,28.45,-1.8000000000000007,-5.60747663551402,1.8500000000000014,6.502636203866437
ACCESS-ESM1-5,ssp585,351002,R20mm,12.8,Near-term,16.1,12.45,-3.3000000000000007,-20.49689440993789,0.3500000000000014,2.81124497991969
ACCESS-ESM1-5,ssp585,351002,R50mm,1.3,Near-term,3.1,1.1,-1.8,-58.064516129032256,0.19999999999999996,18.181818181818176
ACCESS-ESM1-5,ssp585,351002,R95p,138.626,Near-term,292.915,116.30199999999999,-154.28900000000002,-52.67364252428179,22.324000000000012,19.194854774638454
ACCESS-ESM1-5,ssp585,351002,R99p,15.3375,Near-term,96.6,27.75,-81.26249999999999,-84.12267080745342,-12.4125,-44.729729729729726
ACCESS-ESM1-5,ssp585,351002,Rx1day,54.534000000000006,Near-term,81.535,53.408,-27.00099999999999,-33.11583982338872,1.1260000000000048,2.108298382264838
ACCESS-ESM1-5,ssp585,351002,Rx5day,139.632,Near-term,157.66500000000002,147.716,-18.033000000000015,-11.437541623061563,-8.084000000000003,-5.472663760188472
ACCESS-ESM1-5,ssp585,351002,SDII,11.234844329222657,Near-term,13.168351679857171,10.994812242831845,-1.933507350634514,-14.682986888876023,0.24003208639081208,2.1831394760497425
ACCESS-ESM1-5,ssp585,351003,CDD,60.0,Near-term,44.7,70.8,15.299999999999997,34.22818791946308,-10.799999999999997,-15.25423728813559
ACCESS-ESM1-5,ssp585,351003,CWD,8.85,Near-term,50.6,8.2,-41.75,-82.5098814229249,0.6500000000000004,7.926829268292687
ACCESS-ESM1-5,ssp585,351003,PRCPTOT,990.1619999999999,Near-term,1411.8899999999999,1012.3855,-421.72799999999995,-29.869749059770946,-22.223500000000058,-2.195161823238288
