season_type,variable,model,p_val_el_vs_la,diagnostic_only
HOT_DRY,CWD,MRI-ESM2-0,0.5713582599031516,False
HOT_DRY,CDD,MRI-ESM2-0,1.0,False
RAINY,PRCPTOT,MRI-ESM2-0,0.7307692307692307,False
RAINY,Rx1day,MRI-ESM2-0,0.9452214452214452,False
RAINY,Rx5day,MRI-ESM2-0,0.8356643356643356,False
RAINY,SDII,MRI-ESM2-0,0.9452214452214452,False
RAINY,R95p,MRI-ESM2-0,0.9452214452214452,False
RAINY,R99p,MRI-ESM2-0,0.942978424057606,False
RAINY,CWD,MRI-ESM2-0,0.2342657342657342,False
RAINY,CDD,MRI-ESM2-0,0.6282051282051282,False
HOT_DRY,PRCPTOT,MRI-ESM2-0,0.8506311026434865,False
HOT_DRY,Rx1day,MRI-ESM2-0,0.4726680955783123,False
HOT_DRY,Rx5day,MRI-ESM2-0,0.4726680955783123,False
HOT_DRY,SDII,MRI-ESM2-0,0.343145193299992,False
HOT_DRY,R95p,MRI-ESM2-0,0.1871859634237624,False
HOT_DRY,R99p,MRI-ESM2-0,0.3354105003875558,False
HOT_DRY,CWD,MRI-ESM2-0,0.6709725656395622,False
HOT_DRY,CDD,MRI-ESM2-0,0.5713582599031516,False
