source_type,model,season_type,variable,n_el_nino,n_la_nina,n_neutral,mean_el_nino,mean_la_nina,mean_neutral,anom_el_nino,anom_la_nina,pct_change_el_nino,pct_change_la_nina,mwu_stat_el_vs_la,p_val_el_vs_la,diagnostic_only
QDM_CMIP6,CESM2,RAINY,SDII,6,7,8,11.275318442065805,12.70424181372644,12.18473564739033,-0.9094172053245266,0.5195061663361109,-7.463577640433269,4.263581758110414,12.0,0.2342657342657342,False
QDM_CMIP6,CESM2,RAINY,R95p,6,7,8,143.80076923076925,213.1898901098901,202.8403846153846,-59.03961538461536,10.34950549450548,-29.106440266598398,5.102290411315121,14.0,0.3659673659673659,False
QDM_CMIP6,CESM2,RAINY,R99p,6,7,8,43.27692307692308,69.64571428571429,66.15846153846154,-22.88153846153846,3.4872527472527537,-34.585959119131225,5.27106082299907,15.5,0.4744429004370553,False
QDM_CMIP6,CESM2,RAINY,CWD,6,7,8,10.333333333333334,12.593406593406591,10.317307692307692,0.0160256410256405,2.2760989010989,0.1553277415346332,22.06097723339101,9.0,0.0999453813185742,False
QDM_CMIP6,CESM2,RAINY,CDD,6,7,8,17.294871794871796,12.769230769230768,15.5,1.7948717948717956,-2.730769230769232,11.57981803143094,-17.617866004962785,35.0,0.0534551055676899,False
QDM_CMIP6,CESM2,HOT_DRY,PRCPTOT,8,12,8,205.1455769230769,115.43506410256413,136.86990384615385,68.27567307692306,-21.43483974358973,49.88362756042197,-15.66073997369296,65.0,0.2082876875446535,False
QDM_CMIP6,CESM2,HOT_DRY,Rx1day,8,12,8,46.299615384615386,33.44416666666667,36.77326923076923,9.526346153846156,-3.3291025641025627,25.905627519989967,-9.05305031002522,59.0,0.4268635389378423,False
QDM_CMIP6,CESM2,HOT_DRY,Rx5day,8,12,8,94.43663461538462,45.95314102564103,64.23413461538462,30.2025,-18.280993589743588,47.019392696490456,-28.45993598139817,71.0,0.0824958323410335,False
QDM_CMIP6,CESM2,HOT_DRY,SDII,8,12,8,11.75846877058162,8.922053255415367,12.344887438381408,-0.5864186677997889,-3.4228341829660405,-4.750295786226114,-27.72673465068729,66.0,0.1813447646264983,False
QDM_CMIP6,CESM2,HOT_DRY,R95p,8,12,8,64.29326923076924,22.767564102564105,23.80480769230769,40.48846153846155,-1.0372435897435857,170.08522842024485,-4.35728615475756,61.0,0.3311849615084903,False
QDM_CMIP6,CESM2,HOT_DRY,R99p,8,12,8,24.6725,8.646794871794873,7.69875,16.97375,0.9480448717948722,220.47410293878875,12.314270132097706,53.0,0.6837320643963538,False
QDM_CMIP6,CESM2,HOT_DRY,CWD,8,12,8,4.865384615384615,3.339743589743589,3.625,1.240384615384615,-0.2852564102564106,34.21750663129972,-7.869142351900981,69.0,0.1136029476053177,False
QDM_CMIP6,CESM2,HOT_DRY,CDD,8,12,8,71.84615384615384,83.08974358974359,91.75,-19.90384615384616,-8.660256410256409,-21.693565290295545,-9.438971564312162,31.0,0.2082876875446535,False
RAW_CMIP6,CanESM5,RAINY,PRCPTOT,6,7,8,1177.3153333333332,1224.462142857143,1013.53175,163.78358333333324,210.9303928571429,16.159689455543276,20.811424295010287,27.0,0.4452214452214452,False
RAW_CMIP6,CanESM5,RAINY,Rx1day,6,7,8,51.81916666666666,55.62185714285714,51.5335,0.2856666666666569,4.088357142857134,0.5543319717594515,7.933396999732473,23.0,0.8356643356643356,False
RAW_CMIP6,CanESM5,RAINY,Rx5day,6,7,8,134.97866666666667,170.7177142857143,109.520625,25.458041666666677,61.1970892857143,23.244974785951666,55.8772279520084,20.0,0.9452214452214452,False
RAW_CMIP6,CanESM5,RAINY,SDII,6,7,8,8.878965477757198,9.321533776962363,8.361544158706131,0.517421319051067,0.9599896182562322,6.188107235101095,11.48100877104955,23.0,0.8356643356643356,False
RAW_CMIP6,CanESM5,RAINY,R95p,6,7,8,308.612,405.8294285714285,211.12875000000005,97.48325,194.7006785714285,46.17241848871837,92.21893208358809,22.0,0.9452214452214452,False
