source_type,model,season_type,variable,anom_el_nino,anom_la_nina,asymmetry_sum_anom,asymmetry_pct,p_val_el_vs_la,significant_asymmetry_p05,low_n_flag
RAW_CMIP6,CESM2,RAINY,R95p,-37.36804861111111,-14.938479166666696,-52.3065277777778,-21.244739789352117,0.36596736596736595,False,False
RAW_CMIP6,CESM2,RAINY,R99p,-18.146670138888894,-9.271721726190478,-27.41839186507937,-29.615641059498373,0.18065268065268064,False,False
RAW_CMIP6,CESM2,RAINY,CWD,1.2395833333333357,6.822916666666668,8.062500000000004,41.324079017618814,0.36596736596736595,False,False
RAW_CMIP6,CESM2,RAINY,CDD,3.7916666666666714,-1.5892857142857117,2.2023809523809597,16.066000868432535,0.1525627236365771,False,False
RAW_CMIP6,CESM2,HOT_DRY,PRCPTOT,8.567250000000001,52.81238194444444,61.37963194444444,25.24385846250056,0.4726680955783123,False,False
RAW_CMIP6,CESM2,HOT_DRY,Rx1day,-5.315083333333334,2.669329861111109,-2.645753472222225,-8.156635682290531,0.3837421608319441,False,False
RAW_CMIP6,CESM2,HOT_DRY,Rx5day,-7.957645833333316,17.39129166666666,9.433645833333344,12.40142589763577,0.42686353893784235,False,False
RAW_CMIP6,CESM2,HOT_DRY,SDII,0.38617434965393915,1.287879816186181,1.6740541658401202,40.17155984913133,0.4726680955783123,False,False
RAW_CMIP6,CESM2,HOT_DRY,R95p,-14.256093749999998,19.073378472222224,4.817284722222226,9.612814443756426,0.4161290067702085,False,False
RAW_CMIP6,CESM2,HOT_DRY,R99p,-15.62415625,1.380281250000003,-14.243874999999997,-50.6791066709115,0.4078373860045269,False,False
RAW_CMIP6,CESM2,HOT_DRY,CWD,-0.13541666666666607,3.2673611111111107,3.1319444444444446,22.189421894218945,0.4726680955783123,False,False
RAW_CMIP6,CESM2,HOT_DRY,CDD,5.958333333333329,2.6770833333333286,8.635416666666657,17.552403133601505,1.0,False,False
QDM_CMIP6,CESM2,RAINY,PRCPTOT,-81.5740625000002,99.84599702380945,18.27193452380925,2.0491230880850066,0.2948717948717949,False,False
QDM_CMIP6,CESM2,RAINY,Rx1day,-6.058263888888895,3.2247321428571354,-2.8335317460317597,-5.525630377850455,0.18065268065268064,False,False
QDM_CMIP6,CESM2,RAINY,Rx5day,-28.65013888888889,4.050238095238086,-24.599900793650804,-17.83484633235114,0.18065268065268064,False,False
QDM_CMIP6,CESM2,RAINY,SDII,-1.0507901153833163,0.2912658324868236,-0.7595242828964928,-7.993038148993933,0.2948717948717949,False,False
QDM_CMIP6,CESM2,RAINY,R95p,-16.940451388888874,21.42058035714288,4.480128968254007,2.8925849443860914,0.23426573426573427,False,False
QDM_CMIP6,CESM2,RAINY,R99p,2.0143402777777766,-0.5360565476190473,1.4782837301587293,4.734026896501,0.5180082295198487,False,False
QDM_CMIP6,CESM2,RAINY,CWD,-0.6215277777777786,4.025297619047624,3.4037698412698454,13.746819720736442,0.5337995337995338,False,False
QDM_CMIP6,CESM2,RAINY,CDD,0.6145833333333339,-2.1235119047619033,-1.5089285714285694,-11.635111876075715,0.0999453813185742,False,False
QDM_CMIP6,CESM2,HOT_DRY,PRCPTOT,46.76135416666659,7.791076388888911,54.5524305555555,25.054183253336166,0.7920774787647853,False,False
QDM_CMIP6,CESM2,HOT_DRY,Rx1day,-4.298124999999999,-11.75965277777777,-16.05777777777777,-36.844730195909705,0.42686353893784235,False,False
QDM_CMIP6,CESM2,HOT_DRY,Rx5day,12.185416666666669,-6.086736111111122,6.098680555555546,8.338318037412803,0.5208065412399778,False,False
QDM_CMIP6,CESM2,HOT_DRY,SDII,1.3297108791017518,-0.34926705562927207,0.9804438234724797,11.82216731641945,0.5713582599031516,False,False
QDM_CMIP6,CESM2,HOT_DRY,R95p,19.26885416666667,-6.382777777777768,12.886076388888902,27.55041742944236,0.6671736522987992,False,False
QDM_CMIP6,CESM2,HOT_DRY,R99p,-3.962916666666665,-15.919895833333333,-19.8828125,-74.67576925334012,0.4591881861735847,False,False
QDM_CMIP6,CESM2,HOT_DRY,CWD,0.6875,0.26041666666666696,0.947916666666667,13.481481481481486,0.8168259887707218,False,False
