source_type,model,season_type,variable,n_el_nino,n_la_nina,n_neutral,mean_el_nino,mean_la_nina,mean_neutral,anom_el_nino,anom_la_nina,pct_change_el_nino,pct_change_la_nina,mwu_stat_el_vs_neu,p_val_el_vs_neu,mwu_stat_la_vs_neu,p_val_la_vs_neu,mwu_stat_el_vs_la,p_val_el_vs_la,low_n_flag
RAW_CMIP6,CESM2,RAINY,CDD,6,7,8,17.500000000000004,12.11904761904762,13.708333333333332,3.7916666666666714,-1.5892857142857117,27.65957446808514,-11.59357359965261,35.5,0.15512584494027964,21.5,0.4870641534695065,31.5,0.1525627236365771,False
RAW_CMIP6,CESM2,HOT_DRY,PRCPTOT,8,12,8,251.71404166666667,295.9591736111111,243.14679166666667,8.567250000000001,52.81238194444444,3.5234888115426846,21.720369650957874,31.0,0.959129759129759,63.0,0.2702706993728666,38.0,0.4726680955783123,False
RAW_CMIP6,CESM2,HOT_DRY,Rx1day,8,12,8,27.12173958333333,35.10615277777777,32.436822916666664,-5.315083333333334,2.669329861111109,-16.38595539084792,8.229319708557387,32.0,1.0,60.0,0.3837421608319441,36.0,0.3837421608319441,False
RAW_CMIP6,CESM2,HOT_DRY,Rx5day,8,12,8,68.11139583333335,93.46033333333332,76.06904166666666,-7.957645833333316,17.39129166666666,-10.461083325071446,22.862509222707214,32.0,1.0,61.0,0.34314519329999205,37.0,0.42686353893784235,False
RAW_CMIP6,CESM2,HOT_DRY,SDII,8,12,8,4.55343639306777,5.455141859600012,4.167262043413831,0.38617434965393915,1.287879816186181,9.266860246148195,30.904699602983136,36.0,0.7209013209013208,64.0,0.23797729618163055,38.0,0.4726680955783123,False
RAW_CMIP6,CESM2,HOT_DRY,R95p,8,12,8,35.8570625,69.18653472222222,50.113156249999996,-14.256093749999998,19.073378472222224,-28.44780655778391,38.06062100154034,34.0,0.8729594252880423,59.0,0.4143554061444077,37.0,0.4161290067702085,False
RAW_CMIP6,CESM2,HOT_DRY,R99p,8,12,8,12.481854166666666,29.48629166666667,28.106010416666667,-15.62415625,1.380281250000003,-55.59008916019965,4.910982489288148,31.0,0.9552709265200459,57.0,0.5028277071539042,37.0,0.4078373860045269,False
RAW_CMIP6,CESM2,HOT_DRY,CWD,8,12,8,13.979166666666666,17.381944444444443,14.114583333333332,-0.13541666666666607,3.2673611111111107,-0.9594095940959368,23.148831488314883,30.0,0.8784770784770783,56.0,0.5713582599031516,38.0,0.4726680955783123,False
RAW_CMIP6,CESM2,HOT_DRY,CDD,8,12,8,55.15625,51.875,49.19791666666667,5.958333333333329,2.6770833333333286,12.110946432352309,5.441456701249195,34.0,0.8747345961020656,50.0,0.910105580693816,48.0,1.0,False
QDM_CMIP6,CESM2,RAINY,PRCPTOT,6,7,8,810.1212499999998,991.5413095238094,891.6953125,-81.5740625000002,99.84599702380945,-9.148199094071183,11.197322182156189,17.0,0.4135864135864136,36.0,0.39689199689199695,13.0,0.2948717948717949,False
QDM_CMIP6,CESM2,RAINY,Rx1day,6,7,8,45.22152777777777,54.5045238095238,51.27979166666667,-6.058263888888895,3.2247321428571354,-11.814135143663112,6.288504765812658,17.0,0.4135864135864136,31.0,0.778865578865579,11.0,0.18065268065268064,False
QDM_CMIP6,CESM2,RAINY,Rx5day,6,7,8,109.28152777777778,141.98190476190476,137.93166666666667,-28.65013888888889,4.050238095238086,-20.77125549285677,2.936409160505627,11.0,0.1078921078921079,26.0,0.8665112665112666,11.0,0.18065268065268064,False
QDM_CMIP6,CESM2,RAINY,SDII,6,7,8,8.451532640227358,9.793588588097498,9.502322755610674,-1.0507901153833163,0.2912658324868236,-11.058244835589006,3.065206686595073,17.0,0.4135864135864136,36.0,0.39689199689199695,13.0,0.2948717948717949,False
QDM_CMIP6,CESM2,RAINY,R95p,6,7,8,137.9427777777778,176.30380952380955,154.88322916666667,-16.940451388888874,21.42058035714288,-10.937563401819059,13.830148346205148,18.0,0.4908424908424909,33.0,0.6125874125874127,12.0,0.23426573426573427,False
QDM_CMIP6,CESM2,RAINY,R99p,6,7,8,33.24111111111111,30.690714285714286,31.226770833333333,2.0143402777777766,-0.5360565476190473,6.45068389725251,-1.7166570007515098,19.0,0.5569090840710003,28.0,1.0,16.0,0.5180082295198487,False
QDM_CMIP6,CESM2,RAINY,CWD,6,7,8,24.138888888888886,28.78571428571429,24.760416666666664,-0.6215277777777786,4.025297619047624,-2.5101668770158496,16.25698659775229,20.0,0.662004662004662,38.0,0.280963480963481,16.0,0.5337995337995338,False
QDM_CMIP6,CESM2,RAINY,CDD,6,7,8,13.583333333333334,10.845238095238097,12.96875,0.6145833333333339,-2.1235119047619033,4.7389558232931766,-16.374067699368894,32.0,0.33238974330145876,15.0,0.14728619080024274,33.0,0.0999453813185742,False
QDM_CMIP6,CESM2,HOT_DRY,PRCPTOT,8,12,8,264.4991666666666,225.52888888888893,217.73781250000002,46.76135416666659,7.791076388888911,21.4759915284198,3.5781917249163646,38.0,0.5737373737373737,54.0,0.6784313725490196,52.0,0.7920774787647853,False
