model,season_type,variable,obs_anom_el,raw_anom_el,qdm_anom_el,dist_raw_el,dist_qdm_el,assessment_el
EC-Earth3,HOT_DRY,R99p,-18.86458333333334,5.4474374999999995,19.29208333333333,24.31202083333334,38.156666666666666,farther
EC-Earth3,HOT_DRY,CWD,-1.802083333333333,0.8958333333333339,-1.510416666666666,2.697916666666667,0.29166666666666696,closer
EC-Earth3,HOT_DRY,CDD,-4.020833333333336,-9.895833333333336,-9.468750000000007,5.875,5.447916666666671,closer
MIROC6,RAINY,PRCPTOT,-77.3249999999997,-55.747687499999984,-36.324270833333344,21.57731249999972,41.00072916666636,farther
MIROC6,RAINY,Rx1day,-13.091666666666676,-8.54319791666667,1.4386111111111077,4.548468750000005,14.530277777777783,farther
MIROC6,RAINY,Rx5day,-17.45069444444445,-8.821593749999977,12.911249999999981,8.629100694444475,30.361944444444433,farther
MIROC6,RAINY,SDII,-0.747409652979746,-0.181886912886573,-0.2283221135810951,0.565522740093173,0.5190875393986509,closer
MIROC6,RAINY,R95p,-60.97534722222221,-117.91369097222224,-43.764305555555524,56.93834375000003,17.211041666666688,closer
MIROC6,RAINY,R99p,-36.02638888888889,-22.148572916666666,-28.915868055555556,13.877815972222223,7.110520833333332,closer
MIROC6,RAINY,CWD,-1.7743055555555571,5.680555555555557,0.6111111111111107,7.454861111111114,2.385416666666668,closer
MIROC6,RAINY,CDD,1.322916666666666,1.3611111111111107,-0.46875,0.03819444444444464,1.791666666666666,farther
MIROC6,HOT_DRY,PRCPTOT,-75.15104166666666,84.58009374999995,70.11364583333332,159.7311354166666,145.26468749999998,closer
MIROC6,HOT_DRY,Rx1day,-9.634374999999999,9.355156250000004,11.66145833333334,18.989531250000002,21.295833333333338,farther
MIROC6,HOT_DRY,Rx5day,-27.990624999999994,41.420510416666666,36.4340625,69.41113541666667,64.4246875,closer
MIROC6,HOT_DRY,SDII,-2.057851545611433,1.2250325451445239,1.3991686069259428,3.2828840907559567,3.4570201525373756,farther
MIROC6,HOT_DRY,R95p,-42.014583333333334,38.27142708333334,36.811875,80.28601041666667,78.82645833333333,closer
MIROC6,HOT_DRY,R99p,-18.86458333333334,19.151125,15.607291666666665,38.015708333333336,34.471875000000004,closer
MIROC6,HOT_DRY,CWD,-1.802083333333333,2.416666666666668,1.3854166666666679,4.218750000000001,3.187500000000001,closer
MIROC6,HOT_DRY,CDD,-4.020833333333336,5.40625,-3.5729166666666643,9.427083333333336,0.4479166666666714,closer
