,Station,Year,Month,Monthly_mm
870,500003,1985,7,54.699999999999996
871,500003,1985,8,202.9
872,500003,1985,9,100.69999999999999
873,500003,1985,10,128.7
874,500003,1985,11,101.60000000000001
875,500003,1985,12,0.0
876,500003,1986,1,0.0
877,500003,1986,2,0.0
878,500003,1986,3,0.0
879,500003,1986,4,158.8
880,500003,1986,5,147.7
881,500003,1986,6,115.5
882,500003,1986,7,121.7
883,500003,1986,8,156.4
884,500003,1986,9,225.3
885,500003,1986,10,61.0
886,500003,1986,11,5.3
887,500003,1986,12,18.5
888,500003,1987,1,0.0
889,500003,1987,2,17.6
890,500003,1987,3,18.099999999999998
891,500003,1987,4,92.6
892,500003,1987,5,77.8
893,500003,1987,6,159.5
894,500003,1987,7,93.3
895,500003,1987,8,341.6
896,500003,1987,9,299.3
897,500003,1987,10,111.5
898,500003,1987,11,54.4
899,500003,1987,12,0.0
900,500003,1988,1,0.0
901,500003,1988,2,18.2
902,500003,1988,3,3.0
903,500003,1988,4,266.0
904,500003,1988,5,285.5
905,500003,1988,6,161.6
906,500003,1988,7,157.79999999999998
907,500003,1988,8,229.5
908,500003,1988,9,75.6
909,500003,1988,10,65.2
910,500003,1988,11,64.2
911,500003,1988,12,0.0
912,500003,1989,1,0.0
913,500003,1989,2,0.0
914,500003,1989,3,35.4
915,500003,1989,4,53.8
916,500003,1989,5,207.2
917,500003,1989,6,109.6
918,500003,1989,7,282.2
919,500003,1989,8,208.39999999999998
920,500003,1989,9,192.2
921,500003,1989,10,101.7
922,500003,1989,11,33.7
923,500003,1989,12,0.0
924,500003,1990,1,3.7
925,500003,1990,2,19.4
926,500003,1990,3,41.3
927,500003,1990,4,136.6
928,500003,1990,5,180.4
929,500003,1990,6,40.2
930,500003,1990,7,246.8
931,500003,1990,8,111.7
932,500003,1990,9,127.4
933,500003,1990,10,77.7
934,500003,1990,11,32.900000000000006
935,500003,1990,12,0.0
936,500003,1991,1,0.6
937,500003,1991,2,0.0
938,500003,1991,3,16.0
939,500003,1991,4,145.7
940,500003,1991,5,107.5
941,500003,1991,6,81.0
942,500003,1991,7,83.3
943,500003,1991,8,192.0
944,500003,1991,9,81.60000000000001
945,500003,1991,10,102.8
946,500003,1991,11,18.3
947,500003,1991,12,0.3
948,500003,1992,1,2.4
949,500003,1992,2,0.0
950,500003,1992,3,0.0
951,500003,1992,4,14.7
952,500003,1992,5,69.5
953,500003,1992,6,96.2
954,500003,1992,7,224.8
955,500003,1992,8,119.8
956,500003,1992,9,161.9
957,500003,1992,10,144.0
958,500003,1992,11,6.7
959,500003,1992,12,96.7
960,500003,1993,1,0.0
961,500003,1993,2,0.0
962,500003,1993,3,25.7
963,500003,1993,4,68.60000000000001
964,500003,1993,5,166.2
965,500003,1993,6,115.1
966,500003,1993,7,143.4
967,500003,1993,8,136.1
968,500003,1993,9,185.9
969,500003,1993,10,179.0
