station,model,scenario,scale,period,mk_trend,mk_p_value,mk_slope,mk_intercept,mk_z,mk_tau,mk_s_stat,mk_n,sp_rho,sp_p_value,sp_trend
331006,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0021502307218466132,-7.973571428571428,719.6817857142858,-3.0686573326022715,-0.39770114942528734,-173.0,30,-0.5568409343715239,0.0013933881771764109,decreasing
331007,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0002730933496506438,-10.056666666666668,844.5916666666667,-3.639570324714322,-0.47126436781609193,-205.0,30,-0.6662958843159065,5.831408260111191e-05,decreasing
331008,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.00047080045125880154,-10.614444444444441,930.3094444444444,-3.4968420766863093,-0.4528735632183908,-197.0,30,-0.6351501668520578,0.00016279476455324416,decreasing
331009,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0010279989595816108,-8.767999999999999,804.5609999999999,-3.2827497046442904,-0.42528735632183906,-185.0,30,-0.5959955506117909,0.0005102403871476396,decreasing
331010,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0019070443258202285,-7.75384615384615,672.6957692307692,-3.1043393946092745,-0.40229885057471265,-175.0,30,-0.5648498331479421,0.0011460101483294581,decreasing
331011,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0005378530133013371,-7.985000000000002,714.0525,-3.4611600146793062,-0.4482758620689655,-195.0,30,-0.6355951056729701,0.00016055086843835004,decreasing
331201,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0074472272290626584,-9.2025,740.9112499999999,-2.6761546505252367,-0.3471264367816092,-151.0,30,-0.5007786429365962,0.004823047698819639,decreasing
331301,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.010196053861281307,-8.85571428571428,765.717857142857,-2.569108464504227,-0.3333333333333333,-145.0,30,-0.4758620689655172,0.007861497272991718,decreasing
331401,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0060048070888685245,-9.84571428571428,835.962857142857,-2.747518774539243,-0.3563218390804598,-155.0,30,-0.5038932146829811,0.004525725461200766,decreasing
331402,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.02950999336955995,-9.954000000000008,802.4280000000001,-2.1766057824271927,-0.2827586206896552,-123.0,30,-0.4042269187986652,0.026726869121390138,decreasing
REGIONAL_MEAN,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0019070443258202285,-8.70672619047619,765.5050297619049,-3.1043393946092745,-0.40229885057471265,-175.0,30,-0.5577308120133482,0.0013637828214433277,decreasing
331002,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.9741177473553713,-0.5259999999999991,563.857,-0.03244428422615251,-0.010526315789473684,-2.0,20,-0.04210526315789473,0.8600949015145795,no trend
331003,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.9741177473553713,0.34719230769230935,488.67167307692307,0.03244428422615251,0.010526315789473684,2.0,20,-0.012030075187969924,0.9598534442846784,no trend
331004,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.8203382164336168,0.5725000000000027,416.33624999999995,0.22710998958306755,0.042105263157894736,8.0,20,0.030075187969924807,0.8998365956859304,no trend
331005,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,1.0,0.17999999999999736,418.665,0.0,0.0,0.0,20,-0.024060150375939848,0.9197997451459456,no trend
331006,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.9741177473553713,-0.8199999999999648,466.9749999999997,-0.03244428422615251,-0.010526315789473684,-2.0,20,-0.012030075187969924,0.9598534442846784,no trend
331007,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.9224620671867603,-0.6851190476190443,528.848630952381,-0.09733285267845752,-0.021052631578947368,-4.0,20,-0.04360902255639097,0.8551479470173744,no trend
331008,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.9224620671867603,-0.9019999999999981,593.499,-0.09733285267845752,-0.021052631578947368,-4.0,20,-0.030075187969924807,0.8998365956859304,no trend
331009,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.9224620671867603,0.38650000000000373,510.48825000000005,0.09733285267845752,0.021052631578947368,4.0,20,-0.003007518796992481,0.989959729518499,no trend
331010,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,1.0,-0.028846153846156034,429.0290384615385,0.0,0.0,0.0,20,-0.016541353383458645,0.9448174502147446,no trend
331011,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.8203382164336168,-0.2860714285714242,458.56767857142853,-0.22710998958306755,-0.042105263157894736,-8.0,20,-0.05563909774436089,0.8157739948259725,no trend
331201,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,1.0,0.16883333333333422,470.5160833333333,0.0,0.0,0.0,20,-0.037593984962406006,0.8749652018566715,no trend
331301,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.9741177473553713,-0.6657948717948703,498.4450512820513,-0.03244428422615251,-0.010526315789473684,-2.0,20,-0.06917293233082707,0.7719854265259409,no trend
331401,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.8711314915971582,-0.7793333333333334,543.9186666666667,-0.16222142113076254,-0.031578947368421054,-6.0,20,-0.07368421052631578,0.757528699864343,no trend
331402,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.06441101325280973,-9.891499999999997,444.15425,-1.849324200890693,-0.30526315789473685,-58.0,20,-0.4195488721804511,0.06554828518218499,no trend
REGIONAL_MEAN,ACCESS-ESM1-5,ssp585,wet,far_future,no trend,0.8203382164336168,-0.6368489010988976,485.21042170329656,-0.22710998958306755,-0.042105263157894736,-8.0,20,-0.08120300751879699,0.733607630478017,no trend
331002,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-8.039337121212121,1510.5705587121213,-8.734994286943428,-0.5394957983193277,-3852.0,120,-0.7405514271824432,4.1893127434998365e-22,decreasing
331003,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-6.977378870673952,1311.9490428051004,-8.548998563357513,-0.5280112044817927,-3770.0,120,-0.7283978054031528,4.1937832063821316e-21,decreasing
331004,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-6.100065217391304,1142.8038804347825,-8.412904131465378,-0.5196078431372549,-3710.0,120,-0.7230015973331481,1.1212657861834478e-20,decreasing
331005,ACCESS-ESM1-5,ssp585,wet,full,decreasing,1.7763568394002505e-15,-6.347145530145532,1158.1751590436593,-7.959256025158267,-0.49159663865546216,-3510.0,120,-0.6873880130564621,4.314589920112932e-18,decreasing
331006,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-6.725544969512194,1249.3799256859756,-8.42197709359152,-0.5201680672268908,-3714.0,120,-0.7193346760191679,2.1589200327989233e-20,decreasing
331007,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-7.2728831113929395,1403.62654512788,-9.097912771989117,-0.5619047619047619,-4012.0,120,-0.7617056740051391,5.501574211129573e-24,decreasing
331008,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-8.369223196320782,1592.0887801810863,-8.753140211195712,-0.5406162464985994,-3860.0,120,-0.7422390443780817,3.0116207410880454e-22,decreasing
331009,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-7.397904401457808,1389.9353118867396,-8.530852639105227,-0.526890756302521,-3762.0,120,-0.7279949996527536,4.516893242285338e-21,decreasing
331010,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-5.993346273291927,1137.2841032608696,-8.66241058993429,-0.5350140056022409,-3820.0,120,-0.7381623723869712,6.655424916740924e-22,decreasing
331011,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-6.473972211273155,1235.5513465707527,-8.925526491592414,-0.5512605042016807,-3936.0,120,-0.751677199805542,4.529744208316109e-23,decreasing
