year,mme_mean,mme_median,q25,q75,mme_min,mme_max,mme_std,scenario,scale
2004,1199.5374489795918,1270.6178571428572,1154.1825,1314.5914285714284,815.8328571428572,1372.7635714285716,188.62525411272838,ssp245,wet
2005,1364.9275510204081,1388.0378571428573,1199.4014285714284,1483.9310714285716,943.8457142857143,1855.9442857142858,289.617464262945,ssp245,wet
2006,1208.6686734693878,1171.720714285714,1023.0300000000001,1266.4103571428568,971.6178571428571,1738.4614285714285,268.9653211001273,ssp245,wet
2007,1158.7701020408165,1233.4607142857144,1004.9328571428572,1289.479642857143,849.9442857142858,1439.1607142857142,209.61902015835236,ssp245,wet
2008,1078.8069387755102,909.5085714285714,848.5221428571429,1297.169285714286,771.4100000000001,1579.3471428571427,334.04201806271925,ssp245,wet
2009,1164.2723469387754,1104.6328571428573,1060.4982142857143,1277.1721428571427,873.1164285714285,1496.8164285714283,209.16458681340433,ssp245,wet
2010,1036.6768367346938,1118.3357142857142,1011.0925,1169.1960714285715,536.7114285714285,1241.1135714285715,236.34951919480426,ssp245,wet
2011,1117.0980612244898,1100.3457142857142,948.227857142857,1269.3278571428573,671.1300000000001,1613.0992857142858,310.2579385390195,ssp245,wet
2012,1054.4091836734694,1009.5292857142857,925.0821428571428,1078.4960714285712,915.0514285714283,1449.1271428571429,190.0235727229099,ssp245,wet
2013,1097.373469387755,1001.4985714285715,907.6535714285714,1125.3789285714286,879.1785714285714,1734.8721428571423,299.5137509050214,ssp245,wet
2014,1136.4419387755102,1119.7592857142856,996.0042857142855,1281.724642857143,901.6085714285713,1378.267857142857,182.3555717191725,ssp245,wet
2015,1171.9419387755102,1269.057857142857,1049.1167857142857,1312.53,802.8492857142857,1408.392857142857,215.46794811151557,ssp245,wet
2016,1210.3922448979592,1097.5714285714287,1060.5735714285713,1306.3774999999998,1029.342142857143,1611.93,212.1880381022416,ssp245,wet
2017,1134.3842857142859,1149.9828571428573,842.4982142857143,1211.6614285714286,761.5057142857142,1920.882142857143,396.59639435468404,ssp245,wet
2018,1096.0939795918368,1092.7157142857143,1059.5807142857143,1227.8728571428574,635.7114285714285,1369.3235714285713,243.40329972213195,ssp245,wet
2019,1293.3742857142856,1230.7628571428572,1072.0885714285714,1515.3739285714287,700.24,1947.6921428571427,417.4151434841146,ssp245,wet
2020,1113.8676530612245,1092.152142857143,966.1871428571428,1238.5496428571428,874.5114285714286,1420.9364285714287,203.23477353735845,ssp245,wet
2021,1186.320612244898,1233.2957142857142,1079.2342857142858,1259.5032142857144,1007.805,1385.6685714285716,135.8023795961782,ssp245,wet
2022,1135.4120408163265,1172.075,980.275,1242.0064285714284,749.7571428571428,1581.4892857142859,275.6096293640738,ssp245,wet
2023,969.9025510204082,1024.1778571428572,892.9010714285714,1145.454642857143,361.88642857142855,1326.5421428571428,312.46874716098677,ssp245,wet
2024,1146.083469387755,1029.232857142857,1000.9335714285716,1310.7028571428573,789.3671428571428,1580.7114285714285,267.32436558091024,ssp245,wet
2025,1160.8501020408164,1139.155,1112.5760714285716,1342.6492857142857,694.3992857142857,1381.9457142857143,237.57009546107824,ssp245,wet
2026,1161.135612244898,1128.4450000000002,1032.940357142857,1248.3835714285715,952.3064285714289,1484.5499999999997,186.19764437734293,ssp245,wet
2027,1240.282448979592,1240.007857142857,1039.3435714285715,1425.23,891.68,1621.1421428571427,267.8414351425623,ssp245,wet
2028,1140.3094897959184,1080.6007142857143,1018.1407142857141,1242.710357142857,819.0735714285713,1560.7900000000002,237.84488390964455,ssp245,wet
2029,1195.848469387755,1141.8035714285713,1003.4910714285713,1337.6403571428573,902.6792857142858,1644.1935714285714,279.90174140320937,ssp245,wet
2030,1218.118469387755,1240.6142857142856,1063.0642857142857,1417.245357142857,860.6607142857144,1464.9350000000002,231.96251630485693,ssp245,wet
2031,1192.989081632653,1141.68,1033.69,1353.6264285714285,951.3957142857142,1483.215,207.6853306494183,ssp245,wet
2032,1122.6017346938775,1114.1942857142858,876.1889285714285,1355.2810714285715,720.3435714285714,1560.7342857142855,334.3287256957077,ssp245,wet
2033,1204.1707142857142,1213.3642857142856,1003.3214285714284,1390.9885714285715,886.6057142857142,1540.605,258.92612727286496,ssp245,wet
2034,1075.7414285714287,1119.0021428571429,877.3271428571429,1357.232857142857,532.5928571428573,1409.4750000000001,355.36782252891936,ssp245,wet
2035,1330.8454081632651,1357.1164285714287,1055.7189285714285,1548.9717857142855,999.532142857143,1749.8878571428572,299.71131461084013,ssp245,wet
2036,1077.9227551020408,1009.3028571428571,947.3335714285715,1211.8789285714286,749.4057142857143,1468.3257142857144,256.83324519915385,ssp245,wet
2037,994.7678571428571,966.5235714285712,872.9932142857143,1072.9932142857142,735.7907142857144,1369.087857142857,205.24188320515535,ssp245,wet
2038,988.1597959183674,1022.9742857142857,952.1671428571428,1143.6164285714285,546.4228571428572,1156.1542857142856,216.07131246187916,ssp245,wet
2039,1169.8317346938777,1199.0207142857141,1092.9832142857142,1276.6399999999999,868.6035714285715,1381.9514285714288,178.08488484764842,ssp245,wet
2040,1213.4685714285715,1214.582142857143,1067.1214285714286,1346.9846428571432,758.3807142857142,1693.105,300.7632766370745,ssp245,wet
2041,1294.5821428571428,1284.775,1210.775,1422.6574999999998,849.0457142857142,1661.3892857142857,263.41743308655856,ssp245,wet
2042,1255.075918367347,1286.4971428571428,1026.4446428571428,1457.525,922.2628571428571,1608.832142857143,269.53150009536716,ssp245,wet
2043,1152.1667346938775,1215.077857142857,998.2492857142859,1311.2207142857142,798.7535714285714,1432.3957142857141,249.73432671699746,ssp245,wet
2044,979.7759183673469,948.2742857142857,836.5985714285714,1005.7878571428571,784.1142857142859,1441.27,222.89972239055868,ssp245,wet
2045,1299.9094897959183,1315.0107142857141,1034.7975000000001,1373.0349999999999,675.6171428571428,2293.0735714285715,505.3465052526236,ssp245,wet
2046,1077.4227551020408,1034.907857142857,932.9571428571428,1351.9035714285715,535.2885714285713,1402.0414285714287,318.6094985194912,ssp245,wet
2047,1077.3643877551021,1184.9185714285716,936.1085714285715,1241.872142857143,694.0421428571428,1306.6285714285714,226.50344668783174,ssp245,wet
2048,1032.6805102040814,1047.5585714285714,925.0660714285714,1145.8442857142857,756.9557142857141,1282.4285714285713,180.17260606940943,ssp245,wet
2049,1194.5015306122448,1221.747857142857,977.1696428571429,1422.4328571428573,725.3757142857143,1615.1821428571427,318.7337019940119,ssp245,wet
2050,932.4127551020408,936.3035714285716,803.8521428571429,1042.182142857143,680.3757142857141,1218.1414285714286,197.7821379194918,ssp245,wet
2051,1257.1434693877552,1282.3864285714285,1006.6842857142858,1447.2185714285715,989.0078571428572,1620.804285714286,259.1112310705764,ssp245,wet
2052,1372.679387755102,1385.28,1342.9099999999999,1441.5457142857142,973.8114285714286,1680.7528571428572,212.8353952538487,ssp245,wet
2053,1054.9992857142856,1091.2392857142856,941.7425000000001,1120.9964285714286,854.7328571428571,1313.5449999999998,161.47144313035238,ssp245,wet
2054,1077.32306122449,1200.775,966.8914285714286,1270.6117857142858,520.6250000000001,1344.8549999999998,307.3709659161331,ssp245,wet
2055,1007.1502040816328,873.4171428571428,809.152142857143,1074.9828571428573,585.8378571428572,1822.5264285714286,398.34605428091777,ssp245,wet
2056,1060.050612244898,1127.722857142857,1015.7546428571429,1195.6175000000003,570.0271428571428,1299.8600000000001,247.57547123702733,ssp245,wet
2057,1030.1497959183673,1025.1857142857145,931.6203571428571,1209.011785714286,665.7285714285714,1238.8700000000001,212.20062719854255,ssp245,wet
2058,1047.4930612244898,1074.8885714285714,911.4200000000001,1188.9575,754.147142857143,1302.6607142857142,211.05873080439227,ssp245,wet
