source_type,season_type,metric,model,grid_signature,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
RAW,RAINY,Rx1day,EC-Earth3,grid_9303f05137547d56,EL_NINO,6,10,30.349666666666668,26.2409,4.108766666666668,15.657872506913511,True
RAW,RAINY,Rx1day,EC-Earth3,grid_9da29437bf4e821a,EL_NINO,6,10,33.28616666666667,24.025100000000002,9.261066666666665,38.547463555476,True
RAW,RAINY,Rx1day,EC-Earth3,grid_a66ff45ee66c4de6,EL_NINO,6,10,26.466166666666666,22.444799999999997,4.021366666666669,17.91669636916644,True
RAW,RAINY,Rx1day,EC-Earth3,grid_dc4d6a079af8a48b,EL_NINO,6,10,28.497816666666665,27.161099999999998,1.3367166666666677,4.921437889727102,True
RAW,RAINY,Rx1day,EC-Earth3,grid_e28e705640008453,EL_NINO,6,10,23.262816666666666,22.883200000000002,0.3796166666666636,1.6589317344893353,True
RAW,RAINY,Rx1day,FGOALS-g3,grid_55d8abe4f8a2fad6,EL_NINO,6,4,40.045966666666665,33.47795,6.568016666666665,19.6189332580599,True
RAW,RAINY,Rx1day,FGOALS-g3,grid_bec124c723ff4cc0,EL_NINO,6,4,31.908716666666663,41.33975,-9.431033333333339,-22.813474521092505,True
RAW,RAINY,Rx1day,MIROC6,grid_646dc39f1698cf7c,EL_NINO,12,4,54.42383333333333,70.624,-16.200166666666668,-22.93861388007854,True
RAW,RAINY,Rx1day,MIROC6,grid_e76c7caef96c7398,EL_NINO,12,4,47.287499999999994,65.392,-18.1045,-27.686108392463915,True
RAW,RAINY,Rx1day,MRI-ESM2-0,grid_6cf183365c07226e,EL_NINO,7,3,29.013714285714286,33.251333333333335,-4.237619047619049,-12.744207894277068,True
RAW,RAINY,Rx1day,MRI-ESM2-0,grid_734a0a607f8697f4,EL_NINO,7,3,26.742,39.76566666666667,-13.023666666666667,-32.751033135787154,True
RAW,RAINY,Rx1day,MRI-ESM2-0,grid_f7737890dbe1030c,EL_NINO,7,3,30.843285714285717,31.137333333333334,-0.29404761904761756,-0.9443571030947338,True
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_4c2bd7de50b3b1f5,LA_NINA,2,13,24.33,46.512692307692305,,,False
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_91a222defd5ca790,LA_NINA,2,13,54.338,40.66046153846154,,,False
RAW,RAINY,Rx1day,CESM2,grid_07764f63e0a851cb,LA_NINA,5,4,44.181400000000004,54.572,-10.3906,-19.04016711866891,True
RAW,RAINY,Rx1day,CESM2,grid_75b745206e31761f,LA_NINA,5,4,39.647000000000006,52.31525,-12.668249999999993,-24.215214492905975,True
RAW,RAINY,Rx1day,CESM2,grid_a881af875d124648,LA_NINA,5,4,41.951,55.404250000000005,-13.453250000000004,-24.281981977916864,True
RAW,RAINY,Rx1day,CanESM5,grid_a0c557522bffc319,LA_NINA,7,10,26.968,62.54879999999999,-35.580799999999996,-56.884864297956156,True
RAW,RAINY,Rx1day,EC-Earth3,grid_9303f05137547d56,LA_NINA,4,10,22.592,26.2409,-3.648900000000001,-13.905391964452443,True
RAW,RAINY,Rx1day,EC-Earth3,grid_9da29437bf4e821a,LA_NINA,4,10,24.36125,24.025100000000002,0.3361499999999964,1.3991617100448963,True
RAW,RAINY,Rx1day,EC-Earth3,grid_a66ff45ee66c4de6,LA_NINA,4,10,23.749000000000002,22.444799999999997,1.3042000000000051,5.810700028514424,True
RAW,RAINY,Rx1day,EC-Earth3,grid_dc4d6a079af8a48b,LA_NINA,4,10,22.1864,27.161099999999998,-4.974699999999999,-18.315532139714513,True
RAW,RAINY,Rx1day,EC-Earth3,grid_e28e705640008453,LA_NINA,4,10,21.80375,22.883200000000002,-1.0794500000000014,-4.71721612361908,True
RAW,RAINY,Rx1day,FGOALS-g3,grid_55d8abe4f8a2fad6,LA_NINA,6,4,33.29783333333334,33.47795,-0.18011666666666315,-0.5380158183719826,True
RAW,RAINY,Rx1day,FGOALS-g3,grid_bec124c723ff4cc0,LA_NINA,6,4,24.2636,41.33975,-17.076150000000002,-41.306853573134816,True
RAW,RAINY,Rx1day,MIROC6,grid_646dc39f1698cf7c,LA_NINA,12,4,67.11800000000001,70.624,-3.505999999999986,-4.9643180788400345,True
RAW,RAINY,Rx1day,MIROC6,grid_e76c7caef96c7398,LA_NINA,12,4,62.232,65.392,-3.1599999999999966,-4.832395400048931,True
RAW,RAINY,Rx1day,MRI-ESM2-0,grid_6cf183365c07226e,LA_NINA,12,3,34.98625,33.251333333333335,1.7349166666666633,5.217585259738947,True
