source_type,season_type,metric,phase,model,response_absolute,response_pct,n_grid_signatures,n_phase,n_neutral
QDM,HOT_DRY,Rx1day,LA_NINA,ACCESS-ESM1-5,-31.94301043166893,-46.760161263735554,2,8,12
QDM,HOT_DRY,Rx1day,LA_NINA,CESM2,11.117207720733482,22.968104259946017,3,11,5
QDM,HOT_DRY,Rx1day,LA_NINA,CanESM5,15.077898564828537,46.21230816808021,1,5,9
QDM,HOT_DRY,Rx1day,LA_NINA,EC-Earth3,-11.868724721272542,-21.025104428062708,5,10,11
QDM,HOT_DRY,Rx1day,LA_NINA,FGOALS-g3,40.86014011037477,86.81023896906359,2,11,6
QDM,HOT_DRY,Rx1day,LA_NINA,MIROC6,26.109291213342424,87.06539329956206,2,12,5
QDM,HOT_DRY,Rx1day,LA_NINA,MRI-ESM2-0,-55.64413710900771,-54.35811366771055,3,15,4
QDM,HOT_DRY,CDD,EL_NINO,ACCESS-ESM1-5,6.225000000000001,13.276595744680854,2,10,12
QDM,HOT_DRY,CDD,EL_NINO,CESM2,-0.9285714285714306,-1.8571428571428612,3,14,5
QDM,HOT_DRY,CDD,EL_NINO,CanESM5,3.2222222222222143,4.948805460750841,1,6,9
QDM,HOT_DRY,CDD,EL_NINO,EC-Earth3,2.444444444444443,7.1895424836601265,5,9,11
QDM,HOT_DRY,CDD,EL_NINO,FGOALS-g3,11.551282051282055,29.583830803343005,2,13,6
QDM,HOT_DRY,CDD,EL_NINO,MIROC6,3.450000000000003,16.086797143950026,2,11,5
QDM,HOT_DRY,CDD,EL_NINO,MRI-ESM2-0,5.666666666666664,13.654618473895576,3,12,4
QDM,HOT_DRY,CDD,LA_NINA,ACCESS-ESM1-5,-6.03125,-12.097352795645719,2,8,12
QDM,HOT_DRY,CDD,LA_NINA,CESM2,0.29999999999999716,0.5535055350553453,3,11,5
QDM,HOT_DRY,CDD,LA_NINA,CanESM5,-12.111111111111114,-18.600682593856657,1,5,9
QDM,HOT_DRY,CDD,LA_NINA,EC-Earth3,12.454545454545453,32.86699507389163,5,10,11
QDM,HOT_DRY,CDD,LA_NINA,FGOALS-g3,4.780303030303031,15.350147819660018,2,11,6
QDM,HOT_DRY,CDD,LA_NINA,MIROC6,-8.237499999999997,-9.723439691444593,2,12,5
QDM,HOT_DRY,CDD,LA_NINA,MRI-ESM2-0,2.6000000000000014,6.341463414634149,3,15,4
