Model,Scenario,Station,Index,Baseline_Period,Future_Period,Baseline_mean,Future_mean,Absolute_change,Relative_change_pct,Unit
CanESM5,SSP5-8.5,351006,CWD,1995-2014,2021-2050,7.15,7.366666666666666,0.2166666666666659,3.030303030303019,days
CanESM5,SSP5-8.5,351006,R10mm,1995-2014,2021-2050,29.25,30.166666666666668,0.9166666666666679,3.133903133903138,days
CanESM5,SSP5-8.5,351006,R20mm,1995-2014,2021-2050,14.3,13.733333333333333,-0.5666666666666682,-3.9627039627039733,days
CanESM5,SSP5-8.5,351006,R50mm,1995-2014,2021-2050,2.0,2.3666666666666667,0.3666666666666667,18.333333333333336,days
CanESM5,SSP5-8.5,351006,R95p,1995-2014,2021-2050,525.2520000000001,527.0343333333333,1.782333333333213,0.33932918548300867,mm
CanESM5,SSP5-8.5,351006,R99p,1995-2014,2021-2050,272.5915,284.2956666666667,11.704166666666708,4.293665307490039,mm
CanESM5,SSP5-8.5,351007,PRCPTOT,1995-2014,2021-2050,876.5720000000001,901.1416666666667,24.569666666666535,2.8029262475491494,mm
CanESM5,SSP5-8.5,351007,SDII,1995-2014,2021-2050,8.56596401064646,8.425693367736532,-0.14027064290992897,-1.6375348149442313,mm day-1
CanESM5,SSP5-8.5,351007,Rx1day,1995-2014,2021-2050,52.5665,61.836666666666666,9.270166666666668,17.635122495632523,mm
CanESM5,SSP5-8.5,351007,Rx5day,1995-2014,2021-2050,124.4825,130.66233333333332,6.17983333333332,4.9644193628287665,mm
CanESM5,SSP5-8.5,351007,CDD,1995-2014,2021-2050,52.25,54.06666666666667,1.81666666666667,3.476874003189799,days
CanESM5,SSP5-8.5,351007,CWD,1995-2014,2021-2050,10.2,10.866666666666667,0.6666666666666679,6.535947712418313,days
CanESM5,SSP5-8.5,351007,R10mm,1995-2014,2021-2050,29.1,28.766666666666666,-0.3333333333333357,-1.1454753722795041,days
CanESM5,SSP5-8.5,351007,R20mm,1995-2014,2021-2050,9.85,10.033333333333333,0.18333333333333357,1.861252115059224,days
CanESM5,SSP5-8.5,351007,R50mm,1995-2014,2021-2050,0.65,0.8333333333333334,0.18333333333333335,28.205128205128208,days
CanESM5,SSP5-8.5,351007,R95p,1995-2014,2021-2050,324.7275,341.99833333333333,17.270833333333314,5.318561973757478,mm
CanESM5,SSP5-8.5,351007,R99p,1995-2014,2021-2050,101.60900000000001,125.06533333333333,23.45633333333332,23.084897335209792,mm
CanESM5,SSP5-8.5,351008,PRCPTOT,1995-2014,2021-2050,806.3855000000001,829.923,23.53749999999991,2.918889290544027,mm
CanESM5,SSP5-8.5,351008,SDII,1995-2014,2021-2050,8.183013308644885,8.024343606100475,-0.15866970254440993,-1.939013130734915,mm day-1
CanESM5,SSP5-8.5,351008,Rx1day,1995-2014,2021-2050,50.132999999999996,58.20633333333333,8.073333333333338,16.10383047759627,mm
CanESM5,SSP5-8.5,351008,Rx5day,1995-2014,2021-2050,119.50550000000001,121.53833333333334,2.032833333333329,1.7010374696840973,mm
CanESM5,SSP5-8.5,351008,CDD,1995-2014,2021-2050,55.95,56.766666666666666,0.8166666666666629,1.459636580280005,days
CanESM5,SSP5-8.5,351008,CWD,1995-2014,2021-2050,9.65,10.833333333333334,1.1833333333333336,12.262521588946461,days
CanESM5,SSP5-8.5,351008,R10mm,1995-2014,2021-2050,26.45,26.2,-0.25,-0.945179584120983,days
CanESM5,SSP5-8.5,351008,R20mm,1995-2014,2021-2050,8.4,8.7,0.29999999999999893,3.5714285714285587,days
CanESM5,SSP5-8.5,351008,R50mm,1995-2014,2021-2050,0.5,0.7,0.19999999999999996,39.99999999999999,days
CanESM5,SSP5-8.5,351008,R95p,1995-2014,2021-2050,298.432,311.13966666666664,12.707666666666626,4.2581447923368225,mm
CanESM5,SSP5-8.5,351008,R99p,1995-2014,2021-2050,70.6415,89.78566666666667,19.144166666666678,27.100453227446586,mm
CanESM5,SSP5-8.5,351009,PRCPTOT,1995-2014,2021-2050,864.425,883.4363333333333,19.01133333333337,2.1993039689196134,mm
CanESM5,SSP5-8.5,351009,SDII,1995-2014,2021-2050,8.18405946985008,8.075850502022448,-0.10820896782763256,-1.322191856330863,mm day-1
CanESM5,SSP5-8.5,351009,Rx1day,1995-2014,2021-2050,50.283,57.392,7.109000000000002,14.137979038641294,mm
CanESM5,SSP5-8.5,351009,Rx5day,1995-2014,2021-2050,117.94449999999999,120.21366666666667,2.2691666666666777,1.9239274969724556,mm
CanESM5,SSP5-8.5,351009,CDD,1995-2014,2021-2050,53.8,54.56666666666667,0.7666666666666728,1.4250309789343363,days
CanESM5,SSP5-8.5,351009,CWD,1995-2014,2021-2050,10.35,11.3,0.9500000000000011,9.178743961352668,days
CanESM5,SSP5-8.5,351009,R10mm,1995-2014,2021-2050,28.4,28.3,-0.09999999999999787,-0.35211267605633056,days
CanESM5,SSP5-8.5,351009,R20mm,1995-2014,2021-2050,9.35,9.433333333333334,0.08333333333333393,0.8912655971479565,days
CanESM5,SSP5-8.5,351009,R50mm,1995-2014,2021-2050,0.55,0.6666666666666666,0.11666666666666659,21.212121212121197,days
CanESM5,SSP5-8.5,351009,R95p,1995-2014,2021-2050,471.062,470.0823333333334,-0.979666666666617,-0.20796979307747535,mm
CanESM5,SSP5-8.5,351009,R99p,1995-2014,2021-2050,290.577,302.6263333333334,12.04933333333338,4.146692041466936,mm
CanESM5,SSP5-8.5,351010,PRCPTOT,1995-2014,2021-2050,815.5699999999999,846.2743333333333,30.704333333333352,3.7647698337767888,mm
CanESM5,SSP5-8.5,351010,SDII,1995-2014,2021-2050,8.960823014489772,8.856420857024675,-0.10440215746509729,-1.1650956312414338,mm day-1
CanESM5,SSP5-8.5,351010,Rx1day,1995-2014,2021-2050,53.658500000000004,63.711999999999996,10.053499999999993,18.736080956418817,mm
CanESM5,SSP5-8.5,351010,Rx5day,1995-2014,2021-2050,125.4435,130.036,4.592500000000001,3.6610107339160667,mm
CanESM5,SSP5-8.5,351010,CDD,1995-2014,2021-2050,57.25,56.1,-1.1499999999999986,-2.008733624454146,days
CanESM5,SSP5-8.5,351010,CWD,1995-2014,2021-2050,9.2,9.7,0.5,5.434782608695652,days
CanESM5,SSP5-8.5,351010,R10mm,1995-2014,2021-2050,27.15,27.233333333333334,0.0833333333333357,0.3069367710251776,days
CanESM5,SSP5-8.5,351010,R20mm,1995-2014,2021-2050,9.65,9.666666666666666,0.01666666666666572,0.1727115716752924,days
CanESM5,SSP5-8.5,351010,R50mm,1995-2014,2021-2050,0.65,0.9,0.25,38.46153846153846,days
CanESM5,SSP5-8.5,351010,R95p,1995-2014,2021-2050,449.758,459.697,9.939000000000021,2.2098550776195247,mm
CanESM5,SSP5-8.5,351010,R99p,1995-2014,2021-2050,273.67199999999997,295.661,21.989000000000033,8.03480078341958,mm
CanESM5,SSP5-8.5,351011,PRCPTOT,1995-2014,2021-2050,1056.78,998.2793333333334,-58.500666666666575,-5.535746954585304,mm
CanESM5,SSP5-8.5,351011,SDII,1995-2014,2021-2050,5.989167055177175,5.77251944586223,-0.2166476093149452,-3.6173245347643124,mm day-1
CanESM5,SSP5-8.5,351011,Rx1day,1995-2014,2021-2050,36.5535,37.294,0.7404999999999973,2.0257978032199304,mm
CanESM5,SSP5-8.5,351011,Rx5day,1995-2014,2021-2050,99.4275,88.935,-10.492499999999993,-10.552915440899142,mm
CanESM5,SSP5-8.5,351011,CDD,1995-2014,2021-2050,38.75,39.13333333333333,0.38333333333333286,0.9892473118279558,days
CanESM5,SSP5-8.5,351011,CWD,1995-2014,2021-2050,26.9,23.633333333333333,-3.2666666666666657,-12.143742255266416,days
CanESM5,SSP5-8.5,351011,R10mm,1995-2014,2021-2050,29.9,27.366666666666667,-2.5333333333333314,-8.472686733556293,days
CanESM5,SSP5-8.5,351011,R20mm,1995-2014,2021-2050,6.1,5.3,-0.7999999999999998,-13.114754098360654,days
CanESM5,SSP5-8.5,351011,R50mm,1995-2014,2021-2050,0.2,0.26666666666666666,0.06666666666666665,33.33333333333332,days
CanESM5,SSP5-8.5,351011,R95p,1995-2014,2021-2050,18.782999999999998,22.957666666666668,4.1746666666666705,22.22577153099436,mm
CanESM5,SSP5-8.5,351011,R99p,1995-2014,2021-2050,0.0,0.0,0.0,,mm
CanESM5,SSP5-8.5,351012,PRCPTOT,1995-2014,2021-2050,1267.258,1302.7353333333333,35.47733333333326,2.7995351643732582,mm
CanESM5,SSP5-8.5,351012,SDII,1995-2014,2021-2050,13.554050259730364,13.235106617109127,-0.3189436426212371,-2.3531242433771378,mm day-1
CanESM5,SSP5-8.5,351012,Rx1day,1995-2014,2021-2050,82.00750000000001,89.376,7.368499999999997,8.985153796908815,mm
CanESM5,SSP5-8.5,351012,Rx5day,1995-2014,2021-2050,180.065,186.95133333333334,6.88633333333334,3.824359721952262,mm
CanESM5,SSP5-8.5,351012,CDD,1995-2014,2021-2050,60.0,59.233333333333334,-0.7666666666666657,-1.2777777777777761,days
CanESM5,SSP5-8.5,351012,CWD,1995-2014,2021-2050,9.4,9.633333333333333,0.2333333333333325,2.48226950354609,days
CanESM5,SSP5-8.5,351012,R10mm,1995-2014,2021-2050,40.55,41.5,0.9500000000000028,2.342786683107282,days
CanESM5,SSP5-8.5,351012,R20mm,1995-2014,2021-2050,20.35,20.2,-0.15000000000000213,-0.7371007371007475,days
CanESM5,SSP5-8.5,351012,R50mm,1995-2014,2021-2050,3.25,3.6666666666666665,0.4166666666666665,12.820512820512816,days
CanESM5,SSP5-8.5,351012,R95p,1995-2014,2021-2050,308.486,323.40700000000004,14.92100000000005,4.836848349682011,mm
CanESM5,SSP5-8.5,351012,R99p,1995-2014,2021-2050,58.05,55.575,-2.4749999999999943,-4.263565891472859,mm
CanESM5,SSP5-8.5,351201,PRCPTOT,1995-2014,2021-2050,1222.179,1221.994,-0.1850000000001728,-0.015136898932167284,mm
CanESM5,SSP5-8.5,351201,SDII,1995-2014,2021-2050,14.180846408992059,13.388429900967695,-0.7924165080243633,-5.5879351991422235,mm day-1
CanESM5,SSP5-8.5,351201,Rx1day,1995-2014,2021-2050,92.909,93.11733333333333,0.2083333333333286,0.2242337484348433,mm
CanESM5,SSP5-8.5,351201,Rx5day,1995-2014,2021-2050,203.1585,186.66266666666667,-16.495833333333337,-8.119686517341552,mm
