Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,R50mm,1.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,R95p,50.51,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,Rx1day,50.51,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,Rx5day,119.03,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,SDII,6.481914893617021,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,CDD,42.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,CWD,52.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,PRCPTOT,1374.3000000000002,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,R10mm,52.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,R20mm,8.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,R95p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,Rx1day,32.83,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,Rx5day,103.61,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2022,OK,SDII,7.195287958115184,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,CDD,33.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,CWD,17.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,PRCPTOT,638.2,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,R10mm,14.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,R20mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,R95p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,Rx1day,18.85,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,Rx5day,45.22,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2023,OK,SDII,4.69264705882353,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,CDD,28.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,CWD,30.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,PRCPTOT,1472.6200000000001,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,R10mm,55.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,R20mm,12.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,R50mm,1.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,R95p,52.08,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,Rx1day,52.08,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,Rx5day,159.85999999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2024,OK,SDII,7.3631,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,CDD,29.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,CWD,22.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,PRCPTOT,1095.35,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,R10mm,29.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,R20mm,5.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,R50mm,1.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,R95p,53.27,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,Rx1day,53.27,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,Rx5day,113.88,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2025,OK,SDII,5.795502645502645,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,CDD,31.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,CWD,24.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,PRCPTOT,990.34,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,R10mm,28.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,R20mm,2.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,R95p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,R99p,0.0,mm
