Model,Scenario,Index,n_stations,median_sen_slope,median_mmk_z,median_mmk_p_descriptive_only
MIROC6,SSP5-8.5,CDD,13,0.16666666666666666,0.9182550508659977,0.11328132247560942
MIROC6,SSP5-8.5,CWD,13,0.0,0.8333329089434488,0.22930705807194085
MIROC6,SSP5-8.5,PRCPTOT,13,-11.694444444444445,-4.573888624228582,4.7875440307142344e-06
MIROC6,SSP5-8.5,R10mm,13,-0.36363636363636365,-4.217506637524156,2.470185509231775e-05
MIROC6,SSP5-8.5,R20mm,13,-0.2727272727272727,-5.819791205031962,5.892118472146707e-09
MIROC6,SSP5-8.5,R50mm,13,0.0,-1.0327998584217721,0.3016975700215222
MIROC6,SSP5-8.5,R95p,13,-7.738461538461531,-4.969682768375829,6.706253095777492e-07
MIROC6,SSP5-8.5,R99p,13,0.0,-0.9585086120048117,0.33780635093866185
MIROC6,SSP5-8.5,Rx1day,13,-0.12294117647058801,-0.7967768988702669,0.42558061388082424
MIROC6,SSP5-8.5,Rx5day,13,-1.4549999999999983,-2.709683186081797,0.0067347503503863235
MIROC6,SSP5-8.5,SDII,13,-0.06942486085343244,-4.605448420316719,4.11577995296704e-06
MRI-ESM2-0,SSP2-4.5,CDD,13,-0.23076923076923078,-0.9193462521579194,0.125215498575165
MRI-ESM2-0,SSP2-4.5,CWD,13,-0.14285714285714285,-3.7089575665251955,0.00020811429843747828
MRI-ESM2-0,SSP2-4.5,PRCPTOT,13,-17.69857142857142,-5.450680759697495,5.017737248979159e-08
MRI-ESM2-0,SSP2-4.5,R10mm,13,-0.5882352941176471,-5.138093946881354,2.775391307446996e-07
MRI-ESM2-0,SSP2-4.5,R20mm,13,-0.3333333333333333,-4.97216465408413,6.620943431148167e-07
MRI-ESM2-0,SSP2-4.5,R50mm,13,0.0,-3.329776257481126,0.0008691579547497682
MRI-ESM2-0,SSP2-4.5,R95p,13,-8.971904761904762,-4.753561130081758,1.998646366009998e-06
MRI-ESM2-0,SSP2-4.5,R99p,13,0.0,-2.586428666089587,0.009697624121273785
MRI-ESM2-0,SSP2-4.5,Rx1day,13,-0.9774999999999991,-3.9123190085544395,9.141404546346058e-05
MRI-ESM2-0,SSP2-4.5,Rx5day,13,-3.4425000000000026,-5.4724331851652535,4.438981427464232e-08
MRI-ESM2-0,SSP2-4.5,SDII,13,-0.12000722163865556,-3.953426962410383,7.703978746961053e-05
MRI-ESM2-0,SSP5-8.5,CDD,13,0.3333333333333333,2.4934806628549926,0.01264974743231007
MRI-ESM2-0,SSP5-8.5,CWD,13,0.047619047619047616,1.7728410172062785,0.07625505457322064
MRI-ESM2-0,SSP5-8.5,PRCPTOT,13,2.903636363636379,0.6998061518663394,0.4840483723436998
MRI-ESM2-0,SSP5-8.5,R10mm,13,0.13636363636363635,1.0000918521311821,0.3172660588509145
MRI-ESM2-0,SSP5-8.5,R20mm,13,0.058823529411764705,1.057939658511397,0.29008295319820976
MRI-ESM2-0,SSP5-8.5,R50mm,13,0.0,-0.4196534601966752,0.6704186615668595
MRI-ESM2-0,SSP5-8.5,R95p,13,0.0,0.0,0.6503981006286226
MRI-ESM2-0,SSP5-8.5,R99p,13,0.0,-0.07006533382749926,0.40180318094638257
MRI-ESM2-0,SSP5-8.5,Rx1day,13,-0.19000000000000009,-1.485733897211961,0.13734952083999383
MRI-ESM2-0,SSP5-8.5,Rx5day,13,-0.5881818181818168,-1.2573228174373736,0.20863676488211447
MRI-ESM2-0,SSP5-8.5,SDII,13,0.008356275303643638,0.31894153727694785,0.5790229904175863
