scenario,index,method,n_models,gauges_min,gauges_max,median,q25,q75,mean,sd,min,max,estimator
ssp245,Rx5day,qm,7,13,13,0.8265398188377807,0.3120721164143999,1.7059201548287928,-0.11541645572131919,6.706745877194557,-13.944307190227894,8.273867638854494,model_level_gauge_mean_then_ensemble_median
ssp245,Rx5day,detqm,7,13,13,1.0855499961953468,-1.4146937181328507,1.3796125075107264,-0.7078981995174596,5.559599008705724,-11.936948681653663,5.966273710080348,model_level_gauge_mean_then_ensemble_median
ssp245,Rx5day,qdm,7,13,13,-0.14955668779472162,-1.5136383378280058,0.658082474062589,-0.17549821735446564,4.47167568272351,-7.231721470085434,7.86390236392973,model_level_gauge_mean_then_ensemble_median
ssp245,CDD,qm,7,13,13,-2.4060890217654323,-5.734914680979708,0.3027737044096147,-1.3753543160623403,5.7824832281942875,-6.3841058300009434,10.02699659247018,model_level_gauge_mean_then_ensemble_median
ssp245,CDD,detqm,7,13,13,-3.103405259853754,-6.2345635357547255,0.6904635367302592,-1.6800278684494039,6.1819090856252075,-7.5955864137133196,10.02699659247018,model_level_gauge_mean_then_ensemble_median
ssp245,CDD,qdm,7,13,13,-3.320676750286378,-5.435944536178133,1.256504997309957,-1.0706069658873605,6.2147593385343445,-6.7198924994758995,10.905199566287106,model_level_gauge_mean_then_ensemble_median
ssp245,CWD,qm,7,13,13,2.7995651765820444,-1.9648847232597928,6.6990937132918065,2.600873367145969,6.2488888907846825,-5.828907021675578,11.76703743505129,model_level_gauge_mean_then_ensemble_median
ssp245,CWD,detqm,7,13,13,2.7885401655570323,-2.1102547162020047,6.713210858207654,2.9046630571185115,6.527124192935273,-5.03663556078288,13.374824511044123,model_level_gauge_mean_then_ensemble_median
ssp245,CWD,qdm,7,13,13,1.728911401798914,-1.8853405392526335,7.078643740716556,2.7923835052036496,6.624305325071567,-5.622683341537712,13.0538500732365,model_level_gauge_mean_then_ensemble_median
ssp585,wet_day_pct,qm,7,13,13,-0.9686951177219373,-1.752831693047973,-0.11078080638156762,-0.7865661254226202,1.4320163818249705,-2.341832128159425,1.531789366782103,model_level_gauge_mean_then_ensemble_median
ssp585,wet_day_pct,detqm,7,13,13,-1.2488604175376947,-1.6161898103527979,-0.07463949937060377,-0.7314552766677271,1.4894991099175792,-2.336704777092404,1.8470368774028125,model_level_gauge_mean_then_ensemble_median
ssp585,wet_day_pct,qdm,7,13,13,-1.481603938330037,-1.7350180889624094,-0.10707669856334723,-0.738410937893556,1.5897140057048544,-2.2815523442381607,2.2784692923648184,model_level_gauge_mean_then_ensemble_median
ssp585,PRCPTOT,qm,7,13,13,1.008896828594333,-0.23415643684410026,2.050354723074983,2.1746904772167635,4.144137563699896,-0.6469359047365709,11.228475844197819,model_level_gauge_mean_then_ensemble_median
ssp585,PRCPTOT,detqm,7,13,13,1.189065386635054,-0.045012594682938084,1.721660533850419,1.7268237446890988,2.8541472739648444,-0.34141183698023736,7.886816784833913,model_level_gauge_mean_then_ensemble_median
ssp585,PRCPTOT,qdm,7,13,13,-0.07391359224445716,-0.35834741194015507,0.6407457224689146,1.1973566388440486,3.268174000383425,-0.5761142832106245,8.466727726305903,model_level_gauge_mean_then_ensemble_median
ssp585,SDII,qm,7,13,13,1.4611759401683613,0.07553273100916824,3.057444209947718,3.0693299229778632,5.926643725523634,-2.055455938652753,15.81363557741566,model_level_gauge_mean_then_ensemble_median
ssp585,SDII,detqm,7,13,13,1.1675204377917865,0.22433955440868333,2.169979426194134,2.5194696162937755,4.32297865343632,-0.3243258953206189,12.004454810379626,model_level_gauge_mean_then_ensemble_median
ssp585,SDII,qdm,7,13,13,1.1244619839412382,0.0934644095247722,1.8598327188940345,2.082373300755392,4.778438752899408,-2.7421301552211585,12.287687019730054,model_level_gauge_mean_then_ensemble_median
ssp585,q50,qm,7,13,13,2.3302278281606217,2.1616620011458667,3.78975233787974,3.382326895219754,3.1339461843680327,-0.2966374911946565,9.739869251521096,model_level_gauge_mean_then_ensemble_median
ssp585,q50,detqm,7,13,13,1.8800824244027186,0.8053539408019984,4.053904949685265,2.6151912436254854,3.1695098718987107,-1.0778758022405586,7.785614302241711,model_level_gauge_mean_then_ensemble_median
ssp585,q50,qdm,7,13,13,1.8367091013517187,0.4259975947974549,3.633201495454427,2.756861448572587,3.2483899379138452,0.07965180340092716,9.263271054751698,model_level_gauge_mean_then_ensemble_median
ssp585,q90,qm,7,13,13,1.206322616579576,-2.052946894226438,4.031906670237238,4.3709728784823225,11.661952349899797,-4.226994679331089,29.65956266010617,model_level_gauge_mean_then_ensemble_median
ssp585,q90,detqm,7,13,13,1.455212398193131,-0.7959800363104355,4.212963511492236,4.010936056533902,8.76296867442735,-2.86426740704647,22.65164045422705,model_level_gauge_mean_then_ensemble_median
ssp585,q90,qdm,7,13,13,1.7023144108647776,-0.7229860170177498,3.967980125597512,4.148323414666824,9.415829346837201,-3.4281928968388162,24.274154171482277,model_level_gauge_mean_then_ensemble_median
ssp585,q95,qm,7,13,13,2.7173226087012003,1.7891786419688518,5.12720670581565,3.316271606210232,4.283499215331736,-3.6039140305753707,10.267721969776792,model_level_gauge_mean_then_ensemble_median
ssp585,q95,detqm,7,13,13,2.7753882468530455,1.723151584641859,3.1708372523337296,2.2050979584584067,2.45705576215293,-2.532689136522867,5.4050089249274915,model_level_gauge_mean_then_ensemble_median
ssp585,q95,qdm,7,13,13,0.7580313566909361,0.5070188513316897,2.6861509325187987,1.2586732813386572,2.3865685087699764,-2.9186869179079458,4.585028962886634,model_level_gauge_mean_then_ensemble_median
ssp585,q99,qm,7,13,13,3.6039063961872135,-1.324221115977641,7.5338028539186475,4.415241687279136,7.405803561483674,-3.0021134141651507,17.885735353049874,model_level_gauge_mean_then_ensemble_median
ssp585,q99,detqm,7,13,13,3.711159423369911,-1.1907408915481486,6.645425201067255,3.587471018301379,5.747376348560144,-2.6255865813473296,13.117355667048857,model_level_gauge_mean_then_ensemble_median
ssp585,q99,qdm,7,13,13,0.03453223991936075,-1.7184341092021043,2.994191755755015,0.8316600999690662,3.6095767849542892,-3.414411293889077,6.649984460647359,model_level_gauge_mean_then_ensemble_median
ssp585,Rx1day,qm,7,13,13,0.8187809775299252,0.6386769531007539,3.13049924729913,1.9854774706858396,2.0832343098181743,-0.12399102327354126,5.665199939744723,model_level_gauge_mean_then_ensemble_median
ssp585,Rx1day,detqm,7,13,13,1.3390022007664453,0.5777405139348137,3.1523175666994314,2.1477371855734297,2.1709222207242975,0.08156735370733646,6.153474583271737,model_level_gauge_mean_then_ensemble_median
ssp585,Rx1day,qdm,7,13,13,0.026415836434669597,-0.7056006271980437,1.1033181895528226,0.15908402018922846,1.7817091754461334,-2.649883405801046,2.9416205859814184,model_level_gauge_mean_then_ensemble_median
ssp585,R10mm,qm,7,13,13,3.709064302003334,-0.5622546826430851,6.883405051281029,5.1703634537609435,10.74517831509211,-6.742597057295071,26.583776194342455,model_level_gauge_mean_then_ensemble_median
ssp585,R10mm,detqm,7,13,13,4.260609041776372,-1.4179770096521993,8.175500971564968,4.622923694270538,7.568075907064065,-3.0944436618484867,17.679252556140337,model_level_gauge_mean_then_ensemble_median
ssp585,R10mm,qdm,7,13,13,0.47657721979414747,-0.0443297185796295,6.507539714522844,4.563186322202706,8.019639415171875,-2.2502903030355155,20.789597346773878,model_level_gauge_mean_then_ensemble_median
ssp585,R20mm,qm,7,13,13,6.534472409798834,4.398083596221226,10.372328047652875,6.723650979481175,5.860760589838637,-2.94744072137988,13.937701880201063,model_level_gauge_mean_then_ensemble_median
ssp585,R20mm,detqm,7,13,13,5.244302408431422,2.220620054776136,7.931746633642273,5.461534170083139,5.879661566642096,-2.713956993627976,15.395660398941704,model_level_gauge_mean_then_ensemble_median
ssp585,R20mm,qdm,7,13,13,5.730146727385814,-1.0291371626153254,9.455291900171295,4.285335642882367,7.247011486798494,-6.074855384541252,13.489748682220066,model_level_gauge_mean_then_ensemble_median
ssp585,R50mm,qm,6,9,12,5.289117306777122,4.030736364653273,13.120426116412897,14.593906814199464,31.33950844034198,-17.098312112609776,74.74137994734885,model_level_gauge_mean_then_ensemble_median
ssp585,R50mm,detqm,6,9,12,9.674400724678158,-0.7854313385377902,20.256811754753713,11.689612032561584,22.668496631436252,-17.238871398141136,48.51550207231853,model_level_gauge_mean_then_ensemble_median
ssp585,R50mm,qdm,6,9,12,8.37847400066826,-10.856629476620625,18.384216512986605,5.188871632712728,19.625061889745606,-19.569850187225395,29.494998600789447,model_level_gauge_mean_then_ensemble_median
ssp585,R95p,qm,7,6,13,-2.851213737511635,-6.952922638661425,6.043354434673667,2.9015493021919707,17.07745976267972,-12.42226601655601,37.40346127738696,model_level_gauge_mean_then_ensemble_median
ssp585,R95p,detqm,7,6,13,-1.7439587713160103,-4.063470146350048,6.80390837624616,1.5394033482142995,9.314058611362425,-9.255640460564946,16.294546209588827,model_level_gauge_mean_then_ensemble_median
ssp585,R95p,qdm,7,6,13,-6.212692152664136,-8.231160534041248,-3.048622298870046,-6.487040275792646,5.47273677250833,-16.34043441861126,-0.2965896934505364,model_level_gauge_mean_then_ensemble_median
ssp585,R99p,qm,7,5,13,13.86232537960298,-18.448897942227077,17.461878379480865,4.835471492520337,28.24973727640859,-28.400369048315408,50.36038324184721,model_level_gauge_mean_then_ensemble_median
ssp585,R99p,detqm,7,5,13,4.746946452725909,-14.566820642739252,24.41943630596838,5.142251760719456,29.753414914770673,-36.75114499611795,48.29472954196998,model_level_gauge_mean_then_ensemble_median
ssp585,R99p,qdm,7,5,13,-5.977576369348134,-15.708167852986296,21.18316202970707,5.180148762441706,34.967779609689345,-37.26483877476053,68.55346812775906,model_level_gauge_mean_then_ensemble_median
ssp585,Rx5day,qm,7,13,13,1.0162619699819024,-0.1921841432864182,4.735450196396835,2.2189891960481,3.1404277176955158,-1.2881499977849746,6.718280293918938,model_level_gauge_mean_then_ensemble_median
ssp585,Rx5day,detqm,7,13,13,1.3616834178991797,-0.41878253816500005,3.174940595147964,1.7959766883248232,2.6582603413752075,-0.7430076885379253,6.440844974946578,model_level_gauge_mean_then_ensemble_median
ssp585,Rx5day,qdm,7,13,13,-0.3033771943390822,-0.6453672817897197,1.3530181639426697,0.21567001946655845,1.4217737285086796,-1.7080821552475665,2.1058477215466587,model_level_gauge_mean_then_ensemble_median
ssp585,CDD,qm,7,13,13,2.5854281641763204,-3.678815446050357,7.085960049403024,1.0508980384129962,9.212833772329946,-14.151607081667125,12.108175979676446,model_level_gauge_mean_then_ensemble_median
ssp585,CDD,detqm,7,13,13,2.6120274033739856,-3.29380627871467,6.824057088453342,1.0377298364247503,9.341242227935382,-14.760706582365051,12.35228641448697,model_level_gauge_mean_then_ensemble_median
ssp585,CDD,qdm,7,13,13,2.2499156090987316,-3.0305649553631113,6.772977328522371,0.9155368450054456,9.198489543709469,-14.930066124102895,11.604083683723761,model_level_gauge_mean_then_ensemble_median
ssp585,CWD,qm,7,13,13,-1.9678210060284718,-4.496577770847411,3.6439124610915794,0.25007915921865476,9.076593525621293,-10.847087553201238,16.270793293271957,model_level_gauge_mean_then_ensemble_median
ssp585,CWD,detqm,7,13,13,-1.6065444371304176,-4.603952891034813,3.7925808930586333,0.36132089916743915,9.374563685682794,-11.139015410907803,16.89755013816265,model_level_gauge_mean_then_ensemble_median
ssp585,CWD,qdm,7,13,13,-1.5652645055200092,-4.175270947097486,3.5232818281884075,0.5758170315390575,9.472762374924585,-10.955842533641096,17.855804497752665,model_level_gauge_mean_then_ensemble_median
