model,station,scenario,window,index,raw_change_pct,method,bc_change_pct,S_mod,S_bc,PE_pct
ACCESS-ESM1-5,351002,ssp245,Near,q99,49.529161964556415,qm,17.784860050044358,1.495291619645564,1.1778486005004436,-21.229505667955625
ACCESS-ESM1-5,351002,ssp245,Near,wet_day_pct,3.037636007424769,qm,4.7198102299113325,1.0303763600742477,1.0471981022991133,1.6325823142578104
ACCESS-ESM1-5,351002,ssp585,Near,CDD,-4.912280701754387,qm,-15.037593984962406,0.950877192982456,0.849624060150376,-10.648392198207691
ACCESS-ESM1-5,351002,ssp585,Near,CWD,15.032679738562086,qm,17.764471057884244,1.1503267973856208,1.1776447105788423,2.3747958628198256
ACCESS-ESM1-5,351002,ssp585,Near,PRCPTOT,13.92299981782927,qm,17.60134338358753,1.1392299981782927,1.1760134338358754,3.228798022910381
ACCESS-ESM1-5,351002,ssp585,Near,PRCPTOT_dry,30.061403948049247,qm,47.43906999609214,1.3006140394804926,1.474390699960921,13.361124453941828
ACCESS-ESM1-5,351002,ssp585,Near,PRCPTOT_wet,5.42555108325048,qm,5.059279460960608,1.054255510832505,1.050592794609606,-0.3474220609012055
ACCESS-ESM1-5,351002,ssp585,Near,R10mm,22.59507829977628,qm,22.919857069933645,1.2259507829977627,1.2291985706993365,0.2649199092342088
ACCESS-ESM1-5,351002,ssp585,Near,R20mm,20.325203252032537,qm,19.20398009950248,1.2032520325203253,1.1920398009950248,-0.9318273497378108
ACCESS-ESM1-5,351002,ssp585,Near,R50mm,83.33333333333331,qm,16.31205673758865,1.833333333333333,1.1631205673758864,-36.55705996131528
ACCESS-ESM1-5,351002,ssp585,Near,R95p,15.163433040343357,qm,16.37693440068426,1.1516343304034335,1.1637693440068426,1.0537210712673013
ACCESS-ESM1-5,351002,ssp585,Near,R99p,-12.12010252654706,qm,4.093658463842264,0.8787989747345294,1.0409365846384226,18.44990886031385
ACCESS-ESM1-5,351002,ssp585,Near,Rx1day,13.721900006068642,qm,8.748842947586219,1.1372190000606863,1.0874884294758622,-4.372998567749089
ACCESS-ESM1-5,351002,ssp585,Near,Rx5day,1.8897889877579084,qm,1.0232022140494146,1.0188978898775791,1.010232022140494,-0.8505138565088406
ACCESS-ESM1-5,351002,ssp585,Near,SDII,7.215903405891462,qm,9.300125032968998,1.0721590340589149,1.09300125032969,1.943948202522915
ACCESS-ESM1-5,351002,ssp585,Near,q50,3.49864554276904,qm,10.085564002272502,1.0349864554276904,1.100855640022725,6.364255710748914
ACCESS-ESM1-5,351002,ssp585,Near,q90,8.370492682401412,qm,10.36389975114266,1.0837049268240142,1.1036389975114267,1.8394371192749623
ACCESS-ESM1-5,351002,ssp585,Near,q95,12.714182549808925,qm,13.461859986620764,1.1271418254980892,1.1346185998662075,0.6633392709754634
